Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Amulet_norm_base_01_icon	0.000000	0.000000	0.031250	0.500000	0	0	64	64	
Amulet_norm_base_02_icon	0.031250	0.000000	0.062500	0.500000	64	0	128	64	
Amulet_norm_base_03_icon	0.062500	0.000000	0.093750	0.500000	128	0	192	64	
Amulet_norm_base_04_icon	0.093750	0.000000	0.125000	0.500000	192	0	256	64	
Amulet_norm_base_05_icon	0.125000	0.000000	0.156250	0.500000	256	0	320	64	
Amulet_norm_base_06_icon	0.156250	0.000000	0.187500	0.500000	320	0	384	64	
Amulet_norm_base_07_icon	0.187500	0.000000	0.218750	0.500000	384	0	448	64	
Amulet_norm_base_08_icon	0.218750	0.000000	0.250000	0.500000	448	0	512	64	
Amulet_norm_base_09_icon	0.250000	0.000000	0.281250	0.500000	512	0	576	64	
Amulet_norm_base_10_icon	0.281250	0.000000	0.312500	0.500000	576	0	640	64	
Amulet_norm_base_11_icon	0.312500	0.000000	0.343750	0.500000	640	0	704	64	
Amulet_norm_base_12_icon	0.343750	0.000000	0.375000	0.500000	704	0	768	64	
Amulet_norm_base_13_icon	0.375000	0.000000	0.406250	0.500000	768	0	832	64	
Amulet_norm_base_14_icon	0.406250	0.000000	0.437500	0.500000	832	0	896	64	
Amulet_norm_base_15_icon	0.437500	0.000000	0.468750	0.500000	896	0	960	64	
Amulet_Flavor_of_Time_icon	0.468750	0.000000	0.500000	0.500000	960	0	1024	64	
Amulet_Eye_of_Etlich_icon	0.500000	0.000000	0.531250	0.500000	1024	0	1088	64	
Amulet_Holy_Beacon_icon	0.531250	0.000000	0.562500	0.500000	1088	0	1152	64	
Amulet_Holy_Tome_Templar_icon	0.562500	0.000000	0.593750	0.500000	1152	0	1216	64	
Amulet_Kymbo's_Gold_icon	0.593750	0.000000	0.625000	0.500000	1216	0	1280	64	
Amulet_Mara's_Kaleidoscope_icon	0.625000	0.000000	0.656250	0.500000	1280	0	1344	64	
Amulet_Moonlight_Ward_icon	0.656250	0.000000	0.687500	0.500000	1344	0	1408	64	
Amulet_Murlocket_icon	0.687500	0.000000	0.718750	0.500000	1408	0	1472	64	
Amulet_Ouroboros_icon	0.718750	0.000000	0.750000	0.500000	1472	0	1536	64	
Amulet_Rondel's_locket_icon	0.750000	0.000000	0.781250	0.500000	1536	0	1600	64	
Amulet_Skull_Grasp_icon	0.781250	0.000000	0.812500	0.500000	1600	0	1664	64	
Amulet_squirt's_Necklace_icon	0.812500	0.000000	0.843750	0.500000	1664	0	1728	64	
Amulet_Star_of_Azkaranth_icon	0.843750	0.000000	0.875000	0.500000	1728	0	1792	64	
Amulet_Talisman_of_Aranoch_icon	0.875000	0.000000	0.906250	0.500000	1792	0	1856	64	
Amulet_Zephirian_icon	0.906250	0.000000	0.937500	0.500000	1856	0	1920	64	
Amulet_Magic_Root_Enchantress_Charm_icon	0.937500	0.000000	0.968750	0.500000	1920	0	1984	64	
Amulet_HwaninsSplendor_icon	0.968750	0.000000	1.000000	0.500000	1984	0	2048	64	
Amulet_TalRashas_Adjudication_icon	0.000000	0.500000	0.031250	1.000000	0	64	64	128	
