Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
QuiltedLeatherIcon	0.000000	0.000000	0.625000	0.058594	0	0	80	120	
LeatherArmorIcon	0.000000	0.058594	0.750000	0.128906	0	120	96	264	
HardLeatherIcon	0.000000	0.128906	0.750000	0.199219	0	264	96	408	
StuddedLeatherIcon	0.000000	0.199219	0.750000	0.269531	0	408	96	552	
RingMailIcon	0.000000	0.269531	0.750000	0.339844	0	552	96	696	
ScaleMailIcon	0.000000	0.339844	0.750000	0.410156	0	696	96	840	
ChainMailIcon	0.000000	0.410156	0.750000	0.480469	0	840	96	984	
PlateMailIcon	0.000000	0.480469	0.750000	0.550781	0	984	96	1128	
LightBreastPlateIcon	0.000000	0.550781	0.750000	0.621094	0	1128	96	1272	
HeavyBreastPlateIcon	0.000000	0.621094	0.750000	0.691406	0	1272	96	1416	
LightFullPlateIcon	0.000000	0.691406	0.750000	0.761719	0	1416	96	1560	
HeavyFullPlateIcon	0.000000	0.761719	0.750000	0.832031	0	1560	96	1704	
GothicPlateIcon	0.000000	0.832031	0.750000	0.902344	0	1704	96	1848	
AncientPlateIcon	0.000000	0.902344	0.750000	0.972656	0	1848	96	1992	
ShoulderPad	0.000000	0.972656	0.937500	0.992188	0	1992	120	2032	
