Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Belt_norm_base_01_Barb	0.000000	0.000000	0.031250	1.000000	0	0	64	64	
Belt_norm_base_02_Barb	0.031250	0.000000	0.062500	1.000000	64	0	128	64	
Belt_norm_base_03_Barb	0.062500	0.000000	0.093750	1.000000	128	0	192	64	
Belt_norm_base_04_Barb	0.093750	0.000000	0.125000	1.000000	192	0	256	64	
Belt_norm_base_05_Barb	0.125000	0.000000	0.156250	1.000000	256	0	320	64	
Belt_norm_base_06_Barb	0.156250	0.000000	0.187500	1.000000	320	0	384	64	
Belt_nightmare_base_01_Barb	0.187500	0.000000	0.218750	1.000000	384	0	448	64	
Belt_nightmare_base_02_Barb	0.218750	0.000000	0.250000	1.000000	448	0	512	64	
Belt_nightmare_base_03_Barb	0.250000	0.000000	0.281250	1.000000	512	0	576	64	
Belt_nightmare_base_04_Barb	0.281250	0.000000	0.312500	1.000000	576	0	640	64	
Belt_nightmare_base_05_Barb	0.312500	0.000000	0.343750	1.000000	640	0	704	64	
Belt_hell_base_01_Barb	0.343750	0.000000	0.375000	1.000000	704	0	768	64	
Belt_hell_base_02_Barb	0.375000	0.000000	0.406250	1.000000	768	0	832	64	
Belt_hell_base_03_Barb	0.406250	0.000000	0.437500	1.000000	832	0	896	64	
Belt_hell_base_04_Barb	0.437500	0.000000	0.468750	1.000000	896	0	960	64	
Belt_hell_base_05_Barb	0.468750	0.000000	0.500000	1.000000	960	0	1024	64	
Belt_hell_base_06_Barb	0.500000	0.000000	0.531250	1.000000	1024	0	1088	64	
Belt_BarbBelt_norm_base_01_icon	0.531250	0.000000	0.562500	1.000000	1088	0	1152	64	
Belt_BarbBelt_norm_base_02_icon	0.562500	0.000000	0.593750	1.000000	1152	0	1216	64	
Belt_BarbBelt_norm_base_03_icon	0.593750	0.000000	0.625000	1.000000	1216	0	1280	64	
Belt_BarbBelt_norm_base_04_icon	0.625000	0.000000	0.656250	1.000000	1280	0	1344	64	
Belt_BarbBelt_norm_base_05_icon	0.656250	0.000000	0.687500	1.000000	1344	0	1408	64	
Belt_BarbBelt_norm_base_06_icon	0.687500	0.000000	0.718750	1.000000	1408	0	1472	64	
Belt_BarbBelt_norm_base_07_icon	0.718750	0.000000	0.750000	1.000000	1472	0	1536	64	
