Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
p1_Belt_norm_unique_01_icon	0.000000	0.000000	0.031250	1.000000	0	0	64	64	
p1_Belt_norm_unique_02_icon	0.031250	0.000000	0.062500	1.000000	64	0	128	64	
p1_Belt_norm_unique_03_icon	0.062500	0.000000	0.093750	1.000000	128	0	192	64	
p1_Belt_norm_unique_04_icon	0.093750	0.000000	0.125000	1.000000	192	0	256	64	
p1_Belt_norm_unique_05_icon	0.125000	0.000000	0.156250	1.000000	256	0	320	64	
p1_Belt_norm_unique_06_icon	0.156250	0.000000	0.187500	1.000000	320	0	384	64	
p3_Belt_norm_unique_01_icon	0.187500	0.000000	0.218750	1.000000	384	0	448	64	
p3_Belt_norm_unique_02_icon	0.218750	0.000000	0.250000	1.000000	448	0	512	64	
p3_Belt_norm_unique_03_icon	0.250000	0.000000	0.281250	1.000000	512	0	576	64	
p3_Belt_norm_unique_04_icon	0.281250	0.000000	0.312500	1.000000	576	0	640	64	
P4_Unique_Belt_01_icon	0.312500	0.000000	0.343750	1.000000	640	0	704	64	
p4_Unique_Belt_06_icon	0.343750	0.000000	0.375000	1.000000	704	0	768	64	
p6_belt_norm_base_01_NM_icon	0.375000	0.000000	0.406250	1.000000	768	0	832	64	
p6_belt_norm_base_03_NM_icon	0.406250	0.000000	0.437500	1.000000	832	0	896	64	
p6_belt_norm_base_06_NM_icon	0.437500	0.000000	0.468750	1.000000	896	0	960	64	
p6_belt_nightmare_base_01_NM_icon	0.468750	0.000000	0.500000	1.000000	960	0	1024	64	
p6_belt_hell_base_01_NM_icon	0.500000	0.000000	0.531250	1.000000	1024	0	1088	64	
p6_belt_hell_base_03_NM_icon	0.531250	0.000000	0.562500	1.000000	1088	0	1152	64	
