Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Belt_norm_base_01_icon	0.468750	0.000000	0.531250	0.250000	480	0	544	64	
Belt_norm_base_02_icon	0.406250	0.000000	0.468750	0.250000	416	0	480	64	
Belt_norm_base_03_icon	0.343750	0.000000	0.406250	0.250000	352	0	416	64	
Belt_norm_base_04_icon	0.156250	0.000000	0.218750	0.250000	160	0	224	64	
Belt_norm_base_05_icon	0.218750	0.000000	0.281250	0.250000	224	0	288	64	
Belt_norm_base_06_icon	0.281250	0.000000	0.343750	0.250000	288	0	352	64	
Belt_ArmorSet05_Barbarian_Male	0.000000	0.000000	0.078125	0.312500	0	0	80	80	
Belt_ArmorSet05_Wizard_Male	0.078125	0.000000	0.156250	0.312500	80	0	160	80	
Belt_norm_unique_01_icon	0.531250	0.000000	0.593750	0.250000	544	0	608	64	
Belt_norm_unique_02_icon	0.593750	0.000000	0.656250	0.250000	608	0	672	64	
Belt_norm_unique_03_icon	0.656250	0.000000	0.718750	0.250000	672	0	736	64	
Belt_norm_unique_04_icon	0.718750	0.000000	0.781250	0.250000	736	0	800	64	
Belt_norm_unique_05_icon	0.781250	0.000000	0.843750	0.250000	800	0	864	64	
Belt_norm_unique_06_icon	0.843750	0.000000	0.906250	0.250000	864	0	928	64	
Belt_norm_unique_07_icon	0.906250	0.000000	0.968750	0.250000	928	0	992	64	
Belt_norm_unique_08_icon	0.000000	0.312500	0.062500	0.562500	0	80	64	144	
Belt_norm_unique_09_icon	0.062500	0.312500	0.125000	0.562500	64	80	128	144	
Belt_Hellcat_Waistguard_icon	0.125000	0.312500	0.187500	0.562500	128	80	192	144	
Belt_Dread_Iron_icon	0.187500	0.312500	0.250000	0.562500	192	80	256	144	
Belt_Pride_of_Cassius_icon	0.250000	0.312500	0.312500	0.562500	256	80	320	144	
Belt_Thundergods_Vigor_icon	0.312500	0.312500	0.375000	0.562500	320	80	384	144	
Belt_Quickdraw_icon	0.375000	0.312500	0.437500	0.562500	384	80	448	144	
Belt_Angel_Hair_Band_icon	0.437500	0.312500	0.500000	0.562500	448	80	512	144	
Belt_Lamentation_icon	0.500000	0.312500	0.562500	0.562500	512	80	576	144	
Belt_Girdle_of_Giants_icon	0.562500	0.312500	0.625000	0.562500	576	80	640	144	
Belt_Inna'sBlessing_icon	0.625000	0.312500	0.687500	0.562500	640	80	704	144	
Belt_ImmortalKingsDetail_icon	0.687500	0.312500	0.750000	0.562500	704	80	768	144	
Belt_HwaninsMajesty_icon	0.750000	0.312500	0.812500	0.562500	768	80	832	144	
Belt_TalRashasWrappings_icon	0.812500	0.312500	0.875000	0.562500	832	80	896	144	
Belt_normal_unique_13_icon	0.875000	0.312500	0.937500	0.562500	896	80	960	144	
Belt_unique_ShwashbucklerBelt	0.937500	0.312500	1.000000	0.562500	960	80	1024	144	
Belt_norm_unique_Demonbelt	0.000000	0.562500	0.062500	0.812500	0	144	64	208	
