Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
x1_Belt_hell_base_07_all	0.000000	0.000000	0.031250	1.000000	0	0	64	64	
x1_Belt_hell_base_08_all	0.031250	0.000000	0.062500	1.000000	64	0	128	64	
x1_BarbBelt_norm_unique_10	0.062500	0.000000	0.093750	1.000000	128	0	192	64	
x1_BarbBelt_norm_unique_11	0.093750	0.000000	0.125000	1.000000	192	0	256	64	
x1_BarbBelt_norm_unique_13	0.125000	0.000000	0.156250	1.000000	256	0	320	64	
x1_BarbBelt_norm_unique_14	0.156250	0.000000	0.187500	1.000000	320	0	384	64	
x1_BarbBelt_norm_base_01	0.187500	0.000000	0.218750	1.000000	384	0	448	64	
x1_BarbBelt_norm_base_02	0.218750	0.000000	0.250000	1.000000	448	0	512	64	
x1_Belt_Nightmare_Base_01_Crusader	0.250000	0.000000	0.281250	1.000000	512	0	576	64	
x1_Belt_Nightmare_Base_02_Crusader	0.281250	0.000000	0.312500	1.000000	576	0	640	64	
x1_Belt_nightmare_base_04_Crusader	0.312500	0.000000	0.343750	1.000000	640	0	704	64	
x1_Belt_norm_base_05_Crusader	0.343750	0.000000	0.375000	1.000000	704	0	768	64	
x1_Belt_norm_base_06_Crusader	0.375000	0.000000	0.406250	1.000000	768	0	832	64	
x1_Belt_norm_set_02	0.406250	0.000000	0.437500	1.000000	832	0	896	64	
x1_Belt_norm_unique_15	0.437500	0.000000	0.468750	1.000000	896	0	960	64	
x1_Belt_norm_unique_16	0.468750	0.000000	0.500000	1.000000	960	0	1024	64	
x1_Belt_norm_unique_17	0.500000	0.000000	0.531250	1.000000	1024	0	1088	64	
x1_Belt_norm_unique_18	0.531250	0.000000	0.562500	1.000000	1088	0	1152	64	
x1_Belt_norm_unique_19	0.562500	0.000000	0.593750	1.000000	1152	0	1216	64	
x1_Belt_norm_unique_20	0.593750	0.000000	0.625000	1.000000	1216	0	1280	64	
x1_Belt_norm_unique_21	0.625000	0.000000	0.656250	1.000000	1280	0	1344	64	
x1_Belt_norm_unique_22	0.656250	0.000000	0.687500	1.000000	1344	0	1408	64	
