Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Boots_norm_base_01_Monk_male	0.000000	0.000000	0.031250	1.000000	0	0	64	128	
Boots_norm_base_02_Monk_male	0.031250	0.000000	0.062500	1.000000	64	0	128	128	
Boots_norm_base_03_Monk_male	0.062500	0.000000	0.093750	1.000000	128	0	192	128	
Boots_norm_base_04_Monk_male	0.093750	0.000000	0.125000	1.000000	192	0	256	128	
Boots_norm_base_05_Monk_male	0.125000	0.000000	0.156250	1.000000	256	0	320	128	
Boots_norm_base_06_Monk_male	0.156250	0.000000	0.187500	1.000000	320	0	384	128	
Boots_nightmare_base_01_Monk_male	0.187500	0.000000	0.218750	1.000000	384	0	448	128	
Boots_nightmare_base_02_Monk_male	0.218750	0.000000	0.250000	1.000000	448	0	512	128	
Boots_nightmare_base_03_Monk_male	0.250000	0.000000	0.281250	1.000000	512	0	576	128	
Boots_nightmare_base_04_Monk_male	0.281250	0.000000	0.312500	1.000000	576	0	640	128	
Boots_nightmare_base_05_Monk_male	0.312500	0.000000	0.343750	1.000000	640	0	704	128	
Boots_hell_base_01_Monk_male	0.343750	0.000000	0.375000	1.000000	704	0	768	128	
Boots_hell_base_02_Monk_male	0.375000	0.000000	0.406250	1.000000	768	0	832	128	
Boots_hell_base_03_Monk_male	0.406250	0.000000	0.437500	1.000000	832	0	896	128	
Boots_hell_base_04_Monk_male	0.437500	0.000000	0.468750	1.000000	896	0	960	128	
Boots_hell_base_05_Monk_male	0.468750	0.000000	0.500000	1.000000	960	0	1024	128	
Boots_hell_base_06_Monk_male	0.500000	0.000000	0.531250	1.000000	1024	0	1088	128	
