Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
x1_Bracers_hell_base_07	0.000000	0.000000	0.062500	1.000000	0	0	64	128	
x1_Bracers_hell_base_08	0.062500	0.000000	0.125000	1.000000	64	0	128	128	
x1_Bracers_norm_set_02	0.125000	0.000000	0.187500	1.000000	128	0	192	128	
x1_bracers_norm_set_12	0.187500	0.000000	0.250000	1.000000	192	0	256	128	
x1_Bracers_norm_unique_11	0.250000	0.000000	0.312500	1.000000	256	0	320	128	
x1_Bracers_norm_unique_12	0.312500	0.000000	0.375000	1.000000	320	0	384	128	
x1_Bracers_norm_unique_13	0.375000	0.000000	0.437500	1.000000	384	0	448	128	
x1_Bracers_norm_unique_14	0.437500	0.000000	0.500000	1.000000	448	0	512	128	
x1_Bracers_norm_unique_15	0.500000	0.000000	0.562500	1.000000	512	0	576	128	
x1_Bracers_norm_unique_16	0.562500	0.000000	0.625000	1.000000	576	0	640	128	
x1_Bracers_norm_unique_17	0.625000	0.000000	0.687500	1.000000	640	0	704	128	
x1_Bracers_norm_unique_18	0.687500	0.000000	0.750000	1.000000	704	0	768	128	
