Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Charm_1A_Icon	0.000000	0.000000	0.019531	0.625000	0	0	40	40	
Charm_1B_Icon	0.019531	0.000000	0.039063	0.625000	40	0	80	40	
Charm_1C_Icon	0.039063	0.000000	0.058594	0.625000	80	0	120	40	
Charm_1D_Icon	0.058594	0.000000	0.078125	0.625000	120	0	160	40	
Charm_1E_Icon	0.078125	0.000000	0.097656	0.625000	160	0	200	40	
Charm_1F_Icon	0.097656	0.000000	0.117188	0.625000	200	0	240	40	
Charm_1G_Icon	0.117188	0.000000	0.136719	0.625000	240	0	280	40	
Charm_2A_Icon	0.136719	0.000000	0.156250	0.625000	280	0	320	40	
Charm_2B_Icon	0.156250	0.000000	0.175781	0.625000	320	0	360	40	
Charm_2C_Icon	0.175781	0.000000	0.195313	0.625000	360	0	400	40	
Charm_2D_Icon	0.195313	0.000000	0.214844	0.625000	400	0	440	40	
Charm_2E_Icon	0.214844	0.000000	0.234375	0.625000	440	0	480	40	
Charm_2F_Icon	0.234375	0.000000	0.253906	0.625000	480	0	520	40	
Charm_2G_Icon	0.253906	0.000000	0.273438	0.625000	520	0	560	40	
Charm_3A_Icon	0.273438	0.000000	0.292969	0.625000	560	0	600	40	
Charm_3B_Icon	0.292969	0.000000	0.312500	0.625000	600	0	640	40	
Charm_3C_Icon	0.312500	0.000000	0.332031	0.625000	640	0	680	40	
Charm_3D_Icon	0.332031	0.000000	0.351563	0.625000	680	0	720	40	
Charm_3E_Icon	0.351563	0.000000	0.371094	0.625000	720	0	760	40	
Charm_3F_Icon	0.371094	0.000000	0.390625	0.625000	760	0	800	40	
Charm_3G_Icon	0.390625	0.000000	0.410156	0.625000	800	0	840	40	
Charm_4A_Icon	0.410156	0.000000	0.429688	0.625000	840	0	880	40	
Charm_4B_Icon	0.429688	0.000000	0.449219	0.625000	880	0	920	40	
Charm_4C_Icon	0.449219	0.000000	0.468750	0.625000	920	0	960	40	
Charm_4D_Icon	0.468750	0.000000	0.488281	0.625000	960	0	1000	40	
Charm_4E_Icon	0.488281	0.000000	0.507813	0.625000	1000	0	1040	40	
Charm_4F_Icon	0.507813	0.000000	0.527344	0.625000	1040	0	1080	40	
Charm_4G_Icon	0.527344	0.000000	0.546875	0.625000	1080	0	1120	40	
Charm_5A_Icon	0.546875	0.000000	0.566406	0.625000	1120	0	1160	40	
Charm_5B_Icon	0.566406	0.000000	0.585938	0.625000	1160	0	1200	40	
Charm_5C_Icon	0.585938	0.000000	0.605469	0.625000	1200	0	1240	40	
Charm_5D_Icon	0.605469	0.000000	0.625000	0.625000	1240	0	1280	40	
Charm_5E_Icon	0.625000	0.000000	0.644531	0.625000	1280	0	1320	40	
Charm_5F_Icon	0.644531	0.000000	0.664063	0.625000	1320	0	1360	40	
Charm_5G_Icon	0.664063	0.000000	0.683594	0.625000	1360	0	1400	40	
Charm_6A_Icon	0.683594	0.000000	0.703125	0.625000	1400	0	1440	40	
Charm_6B_Icon	0.703125	0.000000	0.722656	0.625000	1440	0	1480	40	
Charm_6C_Icon	0.722656	0.000000	0.742188	0.625000	1480	0	1520	40	
Charm_6D_Icon	0.742188	0.000000	0.761719	0.625000	1520	0	1560	40	
Charm_6E_Icon	0.761719	0.000000	0.781250	0.625000	1560	0	1600	40	
Charm_6F_Icon	0.781250	0.000000	0.800781	0.625000	1600	0	1640	40	
Charm_6G_Icon	0.800781	0.000000	0.820313	0.625000	1640	0	1680	40	
Charm_Unknown_Icon	0.820313	0.000000	0.839844	0.625000	1680	0	1720	40	
