Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
chestArmor_norm_base_01_DH_male	0.000000	0.000000	0.040039	0.320313	0	0	82	164	
chestArmor_norm_base_02_DH_male	0.040039	0.000000	0.080078	0.320313	82	0	164	164	
chestArmor_norm_base_03_DH_male	0.080078	0.000000	0.120117	0.320313	164	0	246	164	
chestArmor_norm_base_04_DH_male	0.120117	0.000000	0.160156	0.320313	246	0	328	164	
chestArmor_norm_base_05_DH_male	0.160156	0.000000	0.200195	0.320313	328	0	410	164	
chestArmor_norm_base_06_DH_male	0.200195	0.000000	0.240234	0.320313	410	0	492	164	
chestArmor_nightmare_base_01_DH_male	0.240234	0.000000	0.280273	0.320313	492	0	574	164	
chestArmor_nightmare_base_02_DH_male	0.280273	0.000000	0.320313	0.320313	574	0	656	164	
chestArmor_nightmare_base_03_DH_male	0.320313	0.000000	0.360352	0.320313	656	0	738	164	
chestArmor_nightmare_base_04_DH_male	0.360352	0.000000	0.400391	0.320313	738	0	820	164	
chestArmor_nightmare_base_05_DH_male	0.400391	0.000000	0.440430	0.320313	820	0	902	164	
chestArmor_hell_base_01_DH_male	0.440430	0.000000	0.480469	0.320313	902	0	984	164	
chestArmor_hell_base_02_DH_male	0.480469	0.000000	0.520508	0.320313	984	0	1066	164	
chestArmor_hell_base_03_DH_male	0.520508	0.000000	0.560547	0.320313	1066	0	1148	164	
chestArmor_hell_base_04_DH_male	0.560547	0.000000	0.600586	0.320313	1148	0	1230	164	
chestArmor_hell_base_05_DH_male	0.600586	0.000000	0.640625	0.320313	1230	0	1312	164	
chestArmor_hell_base_06_DH_male	0.640625	0.000000	0.680664	0.320313	1312	0	1394	164	
chestArmor_DH_cloak_01	0.680664	0.000000	0.720703	0.320313	1394	0	1476	164	
chestArmor_DH_cloak_02	0.720703	0.000000	0.760742	0.320313	1476	0	1558	164	
chestArmor_DH_cloak_03	0.760742	0.000000	0.800781	0.320313	1558	0	1640	164	
chestArmor_DH_cloak_04	0.800781	0.000000	0.840820	0.320313	1640	0	1722	164	
chestArmor_DH_cloak_01_female	0.840820	0.000000	0.880859	0.320313	1722	0	1804	164	
chestArmor_DH_cloak_02_female	0.880859	0.000000	0.920898	0.320313	1804	0	1886	164	
chestArmor_DH_cloak_03_female	0.920898	0.000000	0.960938	0.320313	1886	0	1968	164	
chestArmor_norm_base_01_DH_female	0.000000	0.320313	0.040039	0.640625	0	164	82	328	
chestArmor_norm_base_02_DH_female	0.040039	0.320313	0.080078	0.640625	82	164	164	328	
chestArmor_norm_base_03_DH_female	0.080078	0.320313	0.120117	0.640625	164	164	246	328	
chestArmor_norm_base_05_DH_female	0.120117	0.320313	0.160156	0.640625	246	164	328	328	
chestArmor_nightmare_base_01_DH_female	0.160156	0.320313	0.200195	0.640625	328	164	410	328	
chestArmor_nightmare_base_02_DH_female	0.200195	0.320313	0.240234	0.640625	410	164	492	328	
chestArmor_nightmare_base_03_DH_female	0.240234	0.320313	0.280273	0.640625	492	164	574	328	
chestArmor_hell_base_01_DH_female	0.280273	0.320313	0.320313	0.640625	574	164	656	328	
chestArmor_hell_base_02_DH_female	0.320313	0.320313	0.360352	0.640625	656	164	738	328	
chestArmor_hell_base_03_DH_female	0.360352	0.320313	0.400391	0.640625	738	164	820	328	
chestArmor_hell_base_04_DH_female	0.400391	0.320313	0.440430	0.640625	820	164	902	328	
chestArmor_hell_base_05_DH_female	0.440430	0.320313	0.480469	0.640625	902	164	984	328	
chestArmor_hell_base_06_DH_female	0.480469	0.320313	0.520508	0.640625	984	164	1066	328	
chestArmor_DH_cloak_darkknight	0.520508	0.320313	0.560547	0.640625	1066	164	1148	328	
chestArmor_DH_cloak_BeckonSail	0.560547	0.320313	0.600586	0.640625	1148	164	1230	328	
chestArmor_DH_Cloak_Natalya'sShadow_male	0.600586	0.320313	0.640625	0.640625	1230	164	1312	328	
chestArmor_DH_Cloak_Natalya'sShadow_female	0.640625	0.320313	0.680664	0.640625	1312	164	1394	328	
chestArmor_DH_cloak_Inquisition	0.680664	0.320313	0.720703	0.640625	1394	164	1476	328	
