Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
chestArmor_norm_base_01_Wizard_male	0.000000	0.000000	0.080078	0.320313	0	0	82	164	
chestArmor_norm_base_02_Wizard_male	0.080078	0.000000	0.160156	0.320313	82	0	164	164	
chestArmor_norm_base_03_Wizard_male	0.160156	0.000000	0.240234	0.320313	164	0	246	164	
chestArmor_norm_base_04_Wizard_male	0.240234	0.000000	0.320313	0.320313	246	0	328	164	
chestArmor_norm_base_05_Wizard_male	0.320313	0.000000	0.400391	0.320313	328	0	410	164	
chestArmor_norm_base_06_Wizard_male	0.400391	0.000000	0.480469	0.320313	410	0	492	164	
chestArmor_nightmare_base_01_Wizard_male	0.480469	0.000000	0.560547	0.320313	492	0	574	164	
chestArmor_nightmare_base_02_Wizard_male	0.560547	0.000000	0.640625	0.320313	574	0	656	164	
chestArmor_nightmare_base_03_Wizard_male	0.640625	0.000000	0.720703	0.320313	656	0	738	164	
chestArmor_nightmare_base_04_Wizard_male	0.720703	0.000000	0.800781	0.320313	738	0	820	164	
chestArmor_nightmare_base_05_Wizard_male	0.800781	0.000000	0.880859	0.320313	820	0	902	164	
chestArmor_hell_base_01_Wizard_male	0.880859	0.000000	0.960938	0.320313	902	0	984	164	
chestArmor_hell_base_02_Wizard_male	0.000000	0.320313	0.080078	0.640625	0	164	82	328	
chestArmor_hell_base_03_Wizard_male	0.080078	0.320313	0.160156	0.640625	82	164	164	328	
chestArmor_hell_base_04_Wizard_male	0.160156	0.320313	0.240234	0.640625	164	164	246	328	
chestArmor_hell_base_05_Wizard_male	0.240234	0.320313	0.320313	0.640625	246	164	328	328	
chestArmor_hell_base_06_Wizard_male	0.320313	0.320313	0.400391	0.640625	328	164	410	328	
chestArmor_norm_base_01_Wizard_female	0.400391	0.320313	0.480469	0.640625	410	164	492	328	
chestArmor_norm_base_02_Wizard_female	0.480469	0.320313	0.560547	0.640625	492	164	574	328	
chestArmor_norm_base_03_Wizard_female	0.560547	0.320313	0.640625	0.640625	574	164	656	328	
chestArmor_norm_base_04_Wizard_female	0.640625	0.320313	0.720703	0.640625	656	164	738	328	
chestArmor_norm_base_06_Wizard_female	0.720703	0.320313	0.800781	0.640625	738	164	820	328	
chestArmor_nightmare_base_01_Wizard_female	0.800781	0.320313	0.880859	0.640625	820	164	902	328	
chestArmor_nightmare_base_02_Wizard_female	0.880859	0.320313	0.960938	0.640625	902	164	984	328	
chestArmor_nightmare_base_05_Wizard_female	0.000000	0.640625	0.080078	0.960938	0	328	82	492	
chestArmor_hell_base_01_Wizard_female	0.080078	0.640625	0.160156	0.960938	82	328	164	492	
chestArmor_hell_base_02_Wizard_female	0.160156	0.640625	0.240234	0.960938	164	328	246	492	
chestArmor_hell_base_03_Wizard_female	0.240234	0.640625	0.320313	0.960938	246	328	328	492	
chestArmor_hell_base_04_Wizard_female	0.320313	0.640625	0.400391	0.960938	328	328	410	492	
chestArmor_hell_base_05_Wizard_female	0.400391	0.640625	0.480469	0.960938	410	328	492	492	
chestArmor_hell_base_06_Wizard_female	0.480469	0.640625	0.560547	0.960938	492	328	574	492	
