Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
x1_chestArmor_Hell_Base_01_Crusader_male	0.000000	0.000000	0.040039	0.160156	0	0	82	164	
x1_chestArmor_Hell_Base_02_Crusader_male	0.040039	0.000000	0.080078	0.160156	82	0	164	164	
x1_chestArmor_Hell_Base_03_Crusader_male	0.080078	0.000000	0.120117	0.160156	164	0	246	164	
x1_chestArmor_Hell_Base_04_Crusader_female	0.120117	0.000000	0.160156	0.160156	246	0	328	164	
x1_chestArmor_Hell_Base_04_Crusader_male	0.160156	0.000000	0.200195	0.160156	328	0	410	164	
x1_chestArmor_Hell_Base_05_Crusader_female	0.200195	0.000000	0.240234	0.160156	410	0	492	164	
x1_chestArmor_Hell_Base_05_Crusader_male	0.240234	0.000000	0.280273	0.160156	492	0	574	164	
x1_chestArmor_Hell_Base_06_Crusader_female	0.280273	0.000000	0.320313	0.160156	574	0	656	164	
x1_chestArmor_Hell_Base_06_Crusader_male	0.320313	0.000000	0.360352	0.160156	656	0	738	164	
x1_chestArmor_Hell_Base_07_Barbarian_female	0.360352	0.000000	0.400391	0.160156	738	0	820	164	
x1_chestArmor_Hell_Base_07_Barbarian_male	0.400391	0.000000	0.440430	0.160156	820	0	902	164	
x1_chestArmor_Hell_Base_07_Crusader_male	0.440430	0.000000	0.480469	0.160156	902	0	984	164	
x1_chestArmor_Hell_Base_07_DH_female	0.480469	0.000000	0.520508	0.160156	984	0	1066	164	
x1_chestArmor_Hell_Base_07_DH_male	0.520508	0.000000	0.560547	0.160156	1066	0	1148	164	
x1_chestArmor_Hell_Base_07_monk_male	0.560547	0.000000	0.600586	0.160156	1148	0	1230	164	
x1_chestArmor_Hell_Base_07_witchdoctor_female	0.600586	0.000000	0.640625	0.160156	1230	0	1312	164	
x1_chestArmor_Hell_Base_07_witchdoctor_male	0.640625	0.000000	0.680664	0.160156	1312	0	1394	164	
x1_chestArmor_Hell_Base_07_Wizard_female	0.680664	0.000000	0.720703	0.160156	1394	0	1476	164	
x1_chestArmor_Hell_Base_07_Wizard_male	0.720703	0.000000	0.760742	0.160156	1476	0	1558	164	
x1_chestArmor_Hell_Base_08_Barbarian_female	0.760742	0.000000	0.800781	0.160156	1558	0	1640	164	
x1_chestArmor_Hell_Base_08_Barbarian_male	0.800781	0.000000	0.840820	0.160156	1640	0	1722	164	
x1_chestArmor_Hell_Base_08_Crusader_male	0.840820	0.000000	0.880859	0.160156	1722	0	1804	164	
x1_chestArmor_Hell_Base_08_DH_male	0.880859	0.000000	0.920898	0.160156	1804	0	1886	164	
x1_chestArmor_Hell_Base_08_monk_male	0.920898	0.000000	0.960938	0.160156	1886	0	1968	164	
x1_chestArmor_Hell_Base_08_witchdoctor_female	0.000000	0.160156	0.040039	0.320313	0	164	82	328	
x1_chestArmor_Hell_Base_08_witchdoctor_male	0.040039	0.160156	0.080078	0.320313	82	164	164	328	
