Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
XBow_norm_base_01_icon	0.000000	0.000000	0.031250	1.000000	0	0	64	128	
XBow_norm_base_02_icon	0.031250	0.000000	0.062500	1.000000	64	0	128	128	
XBow_norm_base_03_icon	0.062500	0.000000	0.093750	1.000000	128	0	192	128	
XBow_norm_base_04_icon	0.093750	0.000000	0.125000	1.000000	192	0	256	128	
XBow_norm_base_05_icon	0.125000	0.000000	0.156250	1.000000	256	0	320	128	
XBow_norm_base_06_icon	0.156250	0.000000	0.187500	1.000000	320	0	384	128	
XBow_norm_base_07_icon	0.187500	0.000000	0.218750	1.000000	384	0	448	128	
XBow_norm_base_08_icon	0.218750	0.000000	0.250000	1.000000	448	0	512	128	
x1_XBow_norm_base_01_icon	0.250000	0.000000	0.281250	1.000000	512	0	576	128	
x1_XBow_norm_base_02_icon	0.281250	0.000000	0.312500	1.000000	576	0	640	128	
XBow_norm_unique_01_icon	0.312500	0.000000	0.343750	1.000000	640	0	704	128	
XBow_norm_unique_02_icon	0.343750	0.000000	0.375000	1.000000	704	0	768	128	
XBow_norm_unique_03_icon	0.375000	0.000000	0.406250	1.000000	768	0	832	128	
XBow_norm_unique_04_icon	0.406250	0.000000	0.437500	1.000000	832	0	896	128	
XBow_norm_unique_05_icon	0.437500	0.000000	0.468750	1.000000	896	0	960	128	
XBow_norm_unique_06_icon	0.468750	0.000000	0.500000	1.000000	960	0	1024	128	
XBow_norm_unique_07_icon	0.500000	0.000000	0.531250	1.000000	1024	0	1088	128	
x1_XBow_norm_unique_08_icon	0.531250	0.000000	0.562500	1.000000	1088	0	1152	128	
x1_XBow_norm_unique_09_icon	0.562500	0.000000	0.593750	1.000000	1152	0	1216	128	
