Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
p1_unique_gem_001	0.000000	0.000000	0.031250	1.000000	0	0	64	64	
p1_unique_gem_002	0.031250	0.000000	0.062500	1.000000	64	0	128	64	
p1_unique_gem_003	0.062500	0.000000	0.093750	1.000000	128	0	192	64	
p1_unique_gem_004	0.093750	0.000000	0.125000	1.000000	192	0	256	64	
p1_unique_gem_005	0.125000	0.000000	0.156250	1.000000	256	0	320	64	
p1_unique_gem_006	0.156250	0.000000	0.187500	1.000000	320	0	384	64	
p1_unique_gem_007	0.187500	0.000000	0.218750	1.000000	384	0	448	64	
p1_unique_gem_008	0.218750	0.000000	0.250000	1.000000	448	0	512	64	
p1_unique_gem_009	0.250000	0.000000	0.281250	1.000000	512	0	576	64	
p1_unique_gem_010	0.281250	0.000000	0.312500	1.000000	576	0	640	64	
p1_unique_gem_011	0.312500	0.000000	0.343750	1.000000	640	0	704	64	
p1_unique_gem_012	0.343750	0.000000	0.375000	1.000000	704	0	768	64	
p1_unique_gem_013	0.375000	0.000000	0.406250	1.000000	768	0	832	64	
p1_unique_gem_014	0.406250	0.000000	0.437500	1.000000	832	0	896	64	
p1_unique_gem_015	0.437500	0.000000	0.468750	1.000000	896	0	960	64	
p1_unique_gem_016	0.468750	0.000000	0.500000	1.000000	960	0	1024	64	
p1_unique_gem_017	0.500000	0.000000	0.531250	1.000000	1024	0	1088	64	
p1_unique_gem_018	0.531250	0.000000	0.562500	1.000000	1088	0	1152	64	
p1_unique_gem_019	0.562500	0.000000	0.593750	1.000000	1152	0	1216	64	
p1_unique_gem_020	0.593750	0.000000	0.625000	1.000000	1216	0	1280	64	
p2_unique_gem_021	0.625000	0.000000	0.656250	1.000000	1280	0	1344	64	
p4_unique_gem_022	0.656250	0.000000	0.687500	1.000000	1344	0	1408	64	
p4_unique_gem_023	0.687500	0.000000	0.718750	1.000000	1408	0	1472	64	
p4_unique_gem_024	0.718750	0.000000	0.750000	1.000000	1472	0	1536	64	
p4_unique_gem_025	0.750000	0.000000	0.781250	1.000000	1536	0	1600	64	
p4_unique_gem_026	0.781250	0.000000	0.812500	1.000000	1600	0	1664	64	
p4_unique_gem_027	0.812500	0.000000	0.843750	1.000000	1664	0	1728	64	
