Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
GemAmethyst_01	0.000000	0.000000	0.031250	0.250000	0	0	64	64	
GemAmethyst_02	0.031250	0.000000	0.062500	0.250000	64	0	128	64	
GemAmethyst_03	0.062500	0.000000	0.093750	0.250000	128	0	192	64	
GemAmethyst_04	0.093750	0.000000	0.125000	0.250000	192	0	256	64	
GemAmethyst_05	0.125000	0.000000	0.156250	0.250000	256	0	320	64	
GemAmethyst_06	0.156250	0.000000	0.187500	0.250000	320	0	384	64	
GemAmethyst_07	0.187500	0.000000	0.218750	0.250000	384	0	448	64	
GemAmethyst_08	0.218750	0.000000	0.250000	0.250000	448	0	512	64	
GemAmethyst_09	0.250000	0.000000	0.281250	0.250000	512	0	576	64	
GemAmethyst_10	0.281250	0.000000	0.312500	0.250000	576	0	640	64	
GemAmethyst_11	0.312500	0.000000	0.343750	0.250000	640	0	704	64	
GemAmethyst_12	0.343750	0.000000	0.375000	0.250000	704	0	768	64	
GemAmethyst_13	0.375000	0.000000	0.406250	0.250000	768	0	832	64	
GemAmethyst_14	0.406250	0.000000	0.437500	0.250000	832	0	896	64	
GemAmethyst_15	0.437500	0.000000	0.468750	0.250000	896	0	960	64	
GemAmethyst_16_x1	0.468750	0.000000	0.500000	0.250000	960	0	1024	64	
GemAmethyst_17_x1	0.500000	0.000000	0.531250	0.250000	1024	0	1088	64	
GemAmethyst_18_x1	0.531250	0.000000	0.562500	0.250000	1088	0	1152	64	
GemAmethyst_19_x1	0.562500	0.000000	0.593750	0.250000	1152	0	1216	64	
GemEmerald_01	0.593750	0.000000	0.625000	0.250000	1216	0	1280	64	
GemEmerald_02	0.625000	0.000000	0.656250	0.250000	1280	0	1344	64	
GemEmerald_03	0.656250	0.000000	0.687500	0.250000	1344	0	1408	64	
GemEmerald_04	0.687500	0.000000	0.718750	0.250000	1408	0	1472	64	
GemEmerald_05	0.718750	0.000000	0.750000	0.250000	1472	0	1536	64	
GemEmerald_06	0.750000	0.000000	0.781250	0.250000	1536	0	1600	64	
GemEmerald_07	0.781250	0.000000	0.812500	0.250000	1600	0	1664	64	
GemEmerald_08	0.812500	0.000000	0.843750	0.250000	1664	0	1728	64	
GemEmerald_09	0.843750	0.000000	0.875000	0.250000	1728	0	1792	64	
GemEmerald_10	0.875000	0.000000	0.906250	0.250000	1792	0	1856	64	
GemEmerald_11	0.906250	0.000000	0.937500	0.250000	1856	0	1920	64	
GemEmerald_12	0.937500	0.000000	0.968750	0.250000	1920	0	1984	64	
GemEmerald_13	0.968750	0.000000	1.000000	0.250000	1984	0	2048	64	
GemEmerald_14	0.000000	0.250000	0.031250	0.500000	0	64	64	128	
GemEmerald_15	0.031250	0.250000	0.062500	0.500000	64	64	128	128	
GemEmerald_16_x1	0.062500	0.250000	0.093750	0.500000	128	64	192	128	
GemEmerald_17_x1	0.093750	0.250000	0.125000	0.500000	192	64	256	128	
GemEmerald_18_x1	0.125000	0.250000	0.156250	0.500000	256	64	320	128	
GemEmerald_19_x1	0.156250	0.250000	0.187500	0.500000	320	64	384	128	
GemRuby_01	0.187500	0.250000	0.218750	0.500000	384	64	448	128	
GemRuby_02	0.218750	0.250000	0.250000	0.500000	448	64	512	128	
GemRuby_03	0.250000	0.250000	0.281250	0.500000	512	64	576	128	
GemRuby_04	0.281250	0.250000	0.312500	0.500000	576	64	640	128	
GemRuby_05	0.312500	0.250000	0.343750	0.500000	640	64	704	128	
GemRuby_06	0.343750	0.250000	0.375000	0.500000	704	64	768	128	
GemRuby_07	0.375000	0.250000	0.406250	0.500000	768	64	832	128	
GemRuby_08	0.406250	0.250000	0.437500	0.500000	832	64	896	128	
GemRuby_09	0.437500	0.250000	0.468750	0.500000	896	64	960	128	
GemRuby_10	0.468750	0.250000	0.500000	0.500000	960	64	1024	128	
GemRuby_11	0.500000	0.250000	0.531250	0.500000	1024	64	1088	128	
GemRuby_12	0.531250	0.250000	0.562500	0.500000	1088	64	1152	128	
GemRuby_13	0.562500	0.250000	0.593750	0.500000	1152	64	1216	128	
GemRuby_14	0.593750	0.250000	0.625000	0.500000	1216	64	1280	128	
GemRuby_15	0.625000	0.250000	0.656250	0.500000	1280	64	1344	128	
GemRuby_16_x1	0.656250	0.250000	0.687500	0.500000	1344	64	1408	128	
GemRuby_17_x1	0.687500	0.250000	0.718750	0.500000	1408	64	1472	128	
GemRuby_18_x1	0.718750	0.250000	0.750000	0.500000	1472	64	1536	128	
GemRuby_19_x1	0.750000	0.250000	0.781250	0.500000	1536	64	1600	128	
GemTopaz_01	0.781250	0.250000	0.812500	0.500000	1600	64	1664	128	
GemTopaz_02	0.812500	0.250000	0.843750	0.500000	1664	64	1728	128	
GemTopaz_03	0.843750	0.250000	0.875000	0.500000	1728	64	1792	128	
GemTopaz_04	0.875000	0.250000	0.906250	0.500000	1792	64	1856	128	
GemTopaz_05	0.906250	0.250000	0.937500	0.500000	1856	64	1920	128	
GemTopaz_06	0.937500	0.250000	0.968750	0.500000	1920	64	1984	128	
GemTopaz_07	0.968750	0.250000	1.000000	0.500000	1984	64	2048	128	
GemTopaz_08	0.000000	0.500000	0.031250	0.750000	0	128	64	192	
GemTopaz_09	0.031250	0.500000	0.062500	0.750000	64	128	128	192	
GemTopaz_10	0.062500	0.500000	0.093750	0.750000	128	128	192	192	
GemTopaz_11	0.093750	0.500000	0.125000	0.750000	192	128	256	192	
GemTopaz_12	0.125000	0.500000	0.156250	0.750000	256	128	320	192	
