Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Helm_norm_unique_01	0.000000	0.000000	0.062500	1.000000	0	0	64	128	
Helm_norm_unique_02	0.062500	0.000000	0.125000	1.000000	64	0	128	128	
Helm_norm_unique_03	0.125000	0.000000	0.187500	1.000000	128	0	192	128	
Helm_norm_unique_04	0.187500	0.000000	0.250000	1.000000	192	0	256	128	
Helm_norm_unique_07	0.250000	0.000000	0.312500	1.000000	256	0	320	128	
Helm_norm_unique_08	0.312500	0.000000	0.375000	1.000000	320	0	384	128	
Helm_norm_unique_09	0.375000	0.000000	0.437500	1.000000	384	0	448	128	
Helm_norm_unique_10	0.437500	0.000000	0.500000	1.000000	448	0	512	128	
Helm_norm_unique_11	0.500000	0.000000	0.562500	1.000000	512	0	576	128	
Helm_norm_unique_12	0.562500	0.000000	0.625000	1.000000	576	0	640	128	
