Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Orb_norm_base_01	0.003906	0.015625	0.066406	0.515625	4	4	68	132	
Orb_norm_base_02	0.074219	0.015625	0.136719	0.515625	76	4	140	132	
Orb_norm_base_03	0.144531	0.015625	0.207031	0.515625	148	4	212	132	
Orb_norm_base_04	0.214844	0.015625	0.277344	0.515625	220	4	284	132	
Orb_norm_base_07	0.285156	0.015625	0.347656	0.515625	292	4	356	132	
Orb_norm_base_08	0.355469	0.015625	0.417969	0.515625	364	4	428	132	
Orb_norm_base_09	0.425781	0.015625	0.488281	0.515625	436	4	500	132	
Orb_unique_base_01	0.496094	0.015625	0.558594	0.515625	508	4	572	132	
Orb_unique_base_02	0.566406	0.015625	0.628906	0.515625	580	4	644	132	
Orb_unique_base_03	0.636719	0.015625	0.699219	0.515625	652	4	716	132	
Orb_unique_base_04	0.707031	0.015625	0.769531	0.515625	724	4	788	132	
Orb_unique_base_05	0.777344	0.015625	0.839844	0.515625	796	4	860	132	
Orb_unique_base_06	0.847656	0.015625	0.910156	0.515625	868	4	932	132	
