Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Amulet_PH_icon	0.500000	0.570313	0.562500	0.695313	512	292	576	356	
Axe_PH_icon	0.222656	0.000000	0.285156	0.250000	228	0	292	128	
Belt_PH_icon	0.437500	0.570313	0.500000	0.695313	448	292	512	356	
Belt_BarbBelt_PH_icon	0.375000	0.570313	0.437500	0.695313	384	292	448	356	
Boots_PH_icon	0.472656	0.000000	0.535156	0.250000	484	0	548	128	
Bow_PH_icon	0.285156	0.000000	0.347656	0.250000	292	0	356	128	
Bracers_PH_icon	0.347656	0.000000	0.410156	0.250000	356	0	420	128	
CeremonialDagger_PH_icon	0.410156	0.000000	0.472656	0.250000	420	0	484	128	
chestArmor_PH_icon	0.080078	0.000000	0.160156	0.320313	82	0	164	164	
cloak_PH_icon	0.000000	0.000000	0.080078	0.320313	0	0	82	164	
Combat_Staves_PH_icon	0.660156	0.000000	0.722656	0.250000	676	0	740	128	
Dagger_PH_icon	0.722656	0.000000	0.785156	0.250000	740	0	804	128	
FistWeapons_PH_icon	0.785156	0.000000	0.847656	0.250000	804	0	868	128	
Gloves_PH_icon	0.847656	0.000000	0.910156	0.250000	868	0	932	128	
HandXBow_PH_icon	0.910156	0.000000	0.972656	0.250000	932	0	996	128	
Helm_PH_icon	0.000000	0.320313	0.062500	0.570313	0	164	64	292	
Mace_PH_icon	0.062500	0.320313	0.125000	0.570313	64	164	128	292	
MightyWeapon_1H_PH_icon	0.125000	0.320313	0.187500	0.570313	128	164	192	292	
MightyWeapons_2H_PH_icon	0.187500	0.320313	0.250000	0.570313	192	164	256	292	
Mojo_PH_icon	0.250000	0.320313	0.312500	0.570313	256	164	320	292	
orb_PH_icon	0.597656	0.000000	0.660156	0.250000	612	0	676	128	
Pants_PH_icon	0.375000	0.320313	0.437500	0.570313	384	164	448	292	
Polearm_PH_icon	0.437500	0.320313	0.500000	0.570313	448	164	512	292	
Quiver_PH_icon	0.500000	0.320313	0.562500	0.570313	512	164	576	292	
Ring_PH_icon	0.562500	0.570313	0.625000	0.695313	576	292	640	356	
Shield_PH_icon	0.625000	0.320313	0.687500	0.570313	640	164	704	292	
shoulderPads_PH_icon	0.687500	0.320313	0.750000	0.570313	704	164	768	292	
Spear_PH_icon	0.312500	0.570313	0.375000	0.765625	320	292	384	392	
SpiritStone_PH_icon	0.812500	0.320313	0.875000	0.570313	832	164	896	292	
Staff_PH_icon	0.875000	0.320313	0.937500	0.570313	896	164	960	292	
Sword_PH_icon	0.937500	0.320313	1.000000	0.570313	960	164	1024	292	
twoHandedAxe_PH_icon	0.000000	0.570313	0.062500	0.820313	0	292	64	420	
twoHandedMace_PH_icon	0.062500	0.570313	0.125000	0.820313	64	292	128	420	
twoHandedSword_PH_icon	0.125000	0.570313	0.187500	0.820313	128	292	192	420	
voodooMask_PH_icon	0.187500	0.570313	0.250000	0.820313	192	292	256	420	
Wand_PH_icon	0.250000	0.570313	0.312500	0.820313	256	292	320	420	
WizardHat_PH_icon	0.750000	0.320313	0.812500	0.570313	768	164	832	292	
x1_cruShield_PH_icon	0.562500	0.320313	0.625000	0.570313	576	164	640	292	
x1_Flail_1H_PH_icon	0.160156	0.000000	0.222656	0.250000	164	0	228	128	
x1_Flail_2H_PH_icon	0.535156	0.000000	0.597656	0.250000	548	0	612	128	
XBow_PH_icon	0.312500	0.320313	0.375000	0.570313	320	164	384	292	
