Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Polearm_norm_base_01_Icon	0.000000	0.000000	0.062500	1.000000	0	0	64	128	
Polearm_norm_base_02_Icon	0.062500	0.000000	0.125000	1.000000	64	0	128	128	
Polearm_norm_base_03_Icon	0.125000	0.000000	0.187500	1.000000	128	0	192	128	
Polearm_norm_base_04_Icon	0.187500	0.000000	0.250000	1.000000	192	0	256	128	
Polearm_norm_base_05_Icon	0.250000	0.000000	0.312500	1.000000	256	0	320	128	
Polearm_norm_base_06_Icon	0.312500	0.000000	0.375000	1.000000	320	0	384	128	
Polearm_norm_base_07_Icon	0.375000	0.000000	0.437500	1.000000	384	0	448	128	
Polearm_norm_base_08_Icon	0.437500	0.000000	0.500000	1.000000	448	0	512	128	
x1_Polearm_norm_base_01_Icon	0.500000	0.000000	0.562500	1.000000	512	0	576	128	
x1_Polearm_norm_base_02_Icon	0.562500	0.000000	0.625000	1.000000	576	0	640	128	
Polearm_norm_unique_01_Icon	0.625000	0.000000	0.687500	1.000000	640	0	704	128	
Polearm_norm_unique_02_Icon	0.687500	0.000000	0.750000	1.000000	704	0	768	128	
Polearm_norm_unique_03_Icon	0.750000	0.000000	0.812500	1.000000	768	0	832	128	
Polearm_norm_unique_04_Icon	0.812500	0.000000	0.875000	1.000000	832	0	896	128	
x1Polearm_norm_unique_05_Icon	0.875000	0.000000	0.937500	1.000000	896	0	960	128	
x1Polearm_norm_unique_06_Icon	0.937500	0.000000	1.000000	1.000000	960	0	1024	128	
