Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
QuestItem_Scabbard01	0.000000	0.000000	0.062500	0.500000	0	0	64	128	
QuestItem_SwordOfJustice_Blade	0.500000	0.500000	0.562500	0.750000	512	128	576	192	
QuestItem_SwordOfJustice_Hilt	0.437500	0.500000	0.500000	0.750000	448	128	512	192	
QuestItem_SwordOfJustice_Shard	0.375000	0.500000	0.437500	0.750000	384	128	448	192	
QuestItem_Soulstone	0.312500	0.500000	0.375000	0.750000	320	128	384	192	
QuestItem_Crucible	0.250000	0.500000	0.312500	0.750000	256	128	320	192	
QuestItem_Devils_Fang_Icon	0.187500	0.500000	0.250000	0.750000	192	128	256	192	
QuestItem_InfernalMachine_Icon	0.125000	0.500000	0.187500	0.750000	128	128	192	192	
QuestItem_VengefulEye_Icon	0.000000	0.500000	0.062500	0.750000	0	128	64	192	
QuestItem_Writhing_Spine_Icon	0.937500	0.000000	1.000000	0.250000	960	0	1024	64	
QuestItem_DemonKey_Terror	0.875000	0.000000	0.937500	0.250000	896	0	960	64	
QuestItem_DemonKey_Destruction	0.812500	0.000000	0.875000	0.250000	832	0	896	64	
QuestItem_DemonKey_Hate	0.062500	0.500000	0.125000	0.750000	64	128	128	192	
QuestItem_Book01	0.500000	0.000000	0.562500	0.390625	512	0	576	100	
QuestItem_Doll	0.687500	0.000000	0.750000	0.390625	704	0	768	100	
QuestItem_MysteryBox	0.625000	0.000000	0.687500	0.390625	640	0	704	100	
QuestItem_SkeletonKingCrown	0.562500	0.000000	0.625000	0.390625	576	0	640	100	
ScrollOfBlizzcon	0.750000	0.000000	0.812500	0.390625	768	0	832	100	
QuestItem_Note01	0.437500	0.000000	0.500000	0.500000	448	0	512	128	
QuestItem_Poster01	0.375000	0.000000	0.437500	0.500000	384	0	448	128	
QuestItem_Map01_Treasure	0.312500	0.000000	0.375000	0.500000	320	0	384	128	
QuestItem_Crystal01_Teal	0.250000	0.000000	0.312500	0.500000	256	0	320	128	
QuestItem_SeveredHead01	0.187500	0.000000	0.250000	0.500000	192	0	256	128	
QuestItem_Cage01_Scavenger	0.125000	0.000000	0.187500	0.500000	128	0	192	128	
QuestItem_RygnarIdol	0.062500	0.000000	0.125000	0.500000	64	0	128	128	
QuestItem_ZK_Head.tga	0.562500	0.500000	0.625000	0.750000	576	128	640	192	
QuestItem_ZK_Eye_Red.tga	0.625000	0.500000	0.687500	0.750000	640	128	704	192	
QuestItem_ZK_Eye_Blue.tga	0.687500	0.500000	0.750000	0.750000	704	128	768	192	
QuestItem_Key01	0.750000	0.500000	0.812500	0.750000	768	128	832	192	
QuestItem_NephalemKey	0.812500	0.500000	0.875000	0.750000	832	128	896	192	
QuestItem_black_mushroom	0.875000	0.500000	0.937500	0.750000	896	128	960	192	
QuestItem_ZKblood	0.265625	0.750000	0.312500	0.937500	272	192	320	240	
QuestItem_ZKblood2	0.218750	0.750000	0.265625	0.937500	224	192	272	240	
QuestItem_Matriarchsbones1	0.359375	0.750000	0.406250	0.937500	368	192	416	240	
QuestItem_Matriarchsbones2	0.312500	0.750000	0.359375	0.937500	320	192	368	240	
QuestItem_Cow_gem	0.125000	0.750000	0.171875	0.937500	128	192	176	240	
QuestItem_Cow_Bone	0.171875	0.750000	0.218750	0.937500	176	192	224	240	
Feature_Unlock_Blacksmith	0.000000	0.750000	0.062500	1.000000	0	192	64	256	
Feature_Unlock_Jeweler	0.937500	0.500000	1.000000	0.750000	960	128	1024	192	
Feature_Unlock_TownPortal	0.062500	0.750000	0.125000	1.000000	64	192	128	256	
