Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
RiftKeystone_101	0.000000	0.000000	0.031250	0.500000	0	0	64	64	
RiftKeystone_102	0.031250	0.000000	0.062500	0.500000	64	0	128	64	
RiftKeystone_103	0.062500	0.000000	0.093750	0.500000	128	0	192	64	
RiftKeystone_104	0.093750	0.000000	0.125000	0.500000	192	0	256	64	
RiftKeystone_105	0.125000	0.000000	0.156250	0.500000	256	0	320	64	
RiftKeystone_106	0.156250	0.000000	0.187500	0.500000	320	0	384	64	
RiftKeystone_107	0.187500	0.000000	0.218750	0.500000	384	0	448	64	
RiftKeystone_108	0.218750	0.000000	0.250000	0.500000	448	0	512	64	
RiftKeystone_109	0.250000	0.000000	0.281250	0.500000	512	0	576	64	
RiftKeystone_110	0.281250	0.000000	0.312500	0.500000	576	0	640	64	
RiftKeystone_111	0.312500	0.000000	0.343750	0.500000	640	0	704	64	
RiftKeystone_112	0.343750	0.000000	0.375000	0.500000	704	0	768	64	
RiftKeystone_113	0.375000	0.000000	0.406250	0.500000	768	0	832	64	
RiftKeystone_114	0.406250	0.000000	0.437500	0.500000	832	0	896	64	
RiftKeystone_115	0.437500	0.000000	0.468750	0.500000	896	0	960	64	
RiftKeystone_116	0.468750	0.000000	0.500000	0.500000	960	0	1024	64	
RiftKeystone_117	0.500000	0.000000	0.531250	0.500000	1024	0	1088	64	
RiftKeystone_118	0.531250	0.000000	0.562500	0.500000	1088	0	1152	64	
RiftKeystone_119	0.562500	0.000000	0.593750	0.500000	1152	0	1216	64	
RiftKeystone_120	0.593750	0.000000	0.625000	0.500000	1216	0	1280	64	
RiftKeystone_121	0.625000	0.000000	0.656250	0.500000	1280	0	1344	64	
RiftKeystone_122	0.656250	0.000000	0.687500	0.500000	1344	0	1408	64	
RiftKeystone_123	0.687500	0.000000	0.718750	0.500000	1408	0	1472	64	
RiftKeystone_124	0.718750	0.000000	0.750000	0.500000	1472	0	1536	64	
RiftKeystone_125	0.750000	0.000000	0.781250	0.500000	1536	0	1600	64	
RiftKeystone_126	0.781250	0.000000	0.812500	0.500000	1600	0	1664	64	
RiftKeystone_127	0.812500	0.000000	0.843750	0.500000	1664	0	1728	64	
RiftKeystone_128	0.843750	0.000000	0.875000	0.500000	1728	0	1792	64	
RiftKeystone_129	0.875000	0.000000	0.906250	0.500000	1792	0	1856	64	
RiftKeystone_130	0.906250	0.000000	0.937500	0.500000	1856	0	1920	64	
RiftKeystone_131	0.937500	0.000000	0.968750	0.500000	1920	0	1984	64	
RiftKeystone_132	0.968750	0.000000	1.000000	0.500000	1984	0	2048	64	
RiftKeystone_133	0.000000	0.500000	0.031250	1.000000	0	64	64	128	
RiftKeystone_134	0.031250	0.500000	0.062500	1.000000	64	64	128	128	
RiftKeystone_135	0.062500	0.500000	0.093750	1.000000	128	64	192	128	
RiftKeystone_136	0.093750	0.500000	0.125000	1.000000	192	64	256	128	
RiftKeystone_137	0.125000	0.500000	0.156250	1.000000	256	64	320	128	
RiftKeystone_138	0.156250	0.500000	0.187500	1.000000	320	64	384	128	
RiftKeystone_139	0.187500	0.500000	0.218750	1.000000	384	64	448	128	
RiftKeystone_140	0.218750	0.500000	0.250000	1.000000	448	64	512	128	
RiftKeystone_141	0.250000	0.500000	0.281250	1.000000	512	64	576	128	
RiftKeystone_142	0.281250	0.500000	0.312500	1.000000	576	64	640	128	
RiftKeystone_143	0.312500	0.500000	0.343750	1.000000	640	64	704	128	
RiftKeystone_144	0.343750	0.500000	0.375000	1.000000	704	64	768	128	
RiftKeystone_145	0.375000	0.500000	0.406250	1.000000	768	64	832	128	
RiftKeystone_146	0.406250	0.500000	0.437500	1.000000	832	64	896	128	
RiftKeystone_147	0.437500	0.500000	0.468750	1.000000	896	64	960	128	
RiftKeystone_148	0.468750	0.500000	0.500000	1.000000	960	64	1024	128	
RiftKeystone_149	0.500000	0.500000	0.531250	1.000000	1024	64	1088	128	
RiftKeystone_150	0.531250	0.500000	0.562500	1.000000	1088	64	1152	128	
