Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
RiftKeystone_00	0.000000	0.000000	0.031250	0.250000	0	0	64	64	
RiftKeystone_01	0.031250	0.000000	0.062500	0.250000	64	0	128	64	
RiftKeystone_02	0.062500	0.000000	0.093750	0.250000	128	0	192	64	
RiftKeystone_03	0.093750	0.000000	0.125000	0.250000	192	0	256	64	
RiftKeystone_04	0.125000	0.000000	0.156250	0.250000	256	0	320	64	
RiftKeystone_05	0.156250	0.000000	0.187500	0.250000	320	0	384	64	
RiftKeystone_06	0.187500	0.000000	0.218750	0.250000	384	0	448	64	
RiftKeystone_07	0.218750	0.000000	0.250000	0.250000	448	0	512	64	
RiftKeystone_08	0.250000	0.000000	0.281250	0.250000	512	0	576	64	
RiftKeystone_09	0.281250	0.000000	0.312500	0.250000	576	0	640	64	
RiftKeystone_10	0.312500	0.000000	0.343750	0.250000	640	0	704	64	
RiftKeystone_11	0.343750	0.000000	0.375000	0.250000	704	0	768	64	
RiftKeystone_12	0.375000	0.000000	0.406250	0.250000	768	0	832	64	
RiftKeystone_13	0.406250	0.000000	0.437500	0.250000	832	0	896	64	
RiftKeystone_14	0.437500	0.000000	0.468750	0.250000	896	0	960	64	
RiftKeystone_15	0.468750	0.000000	0.500000	0.250000	960	0	1024	64	
RiftKeystone_16	0.500000	0.000000	0.531250	0.250000	1024	0	1088	64	
RiftKeystone_17	0.531250	0.000000	0.562500	0.250000	1088	0	1152	64	
RiftKeystone_18	0.562500	0.000000	0.593750	0.250000	1152	0	1216	64	
RiftKeystone_19	0.593750	0.000000	0.625000	0.250000	1216	0	1280	64	
RiftKeystone_20	0.625000	0.000000	0.656250	0.250000	1280	0	1344	64	
RiftKeystone_21	0.656250	0.000000	0.687500	0.250000	1344	0	1408	64	
RiftKeystone_22	0.687500	0.000000	0.718750	0.250000	1408	0	1472	64	
RiftKeystone_23	0.718750	0.000000	0.750000	0.250000	1472	0	1536	64	
RiftKeystone_24	0.750000	0.000000	0.781250	0.250000	1536	0	1600	64	
RiftKeystone_25	0.781250	0.000000	0.812500	0.250000	1600	0	1664	64	
RiftKeystone_26	0.812500	0.000000	0.843750	0.250000	1664	0	1728	64	
RiftKeystone_27	0.843750	0.000000	0.875000	0.250000	1728	0	1792	64	
RiftKeystone_28	0.875000	0.000000	0.906250	0.250000	1792	0	1856	64	
RiftKeystone_29	0.906250	0.000000	0.937500	0.250000	1856	0	1920	64	
RiftKeystone_30	0.937500	0.000000	0.968750	0.250000	1920	0	1984	64	
RiftKeystone_31	0.968750	0.000000	1.000000	0.250000	1984	0	2048	64	
RiftKeystone_32	0.000000	0.250000	0.031250	0.500000	0	64	64	128	
RiftKeystone_33	0.031250	0.250000	0.062500	0.500000	64	64	128	128	
RiftKeystone_34	0.062500	0.250000	0.093750	0.500000	128	64	192	128	
RiftKeystone_35	0.093750	0.250000	0.125000	0.500000	192	64	256	128	
RiftKeystone_36	0.125000	0.250000	0.156250	0.500000	256	64	320	128	
RiftKeystone_37	0.156250	0.250000	0.187500	0.500000	320	64	384	128	
RiftKeystone_38	0.187500	0.250000	0.218750	0.500000	384	64	448	128	
RiftKeystone_39	0.218750	0.250000	0.250000	0.500000	448	64	512	128	
RiftKeystone_40	0.250000	0.250000	0.281250	0.500000	512	64	576	128	
RiftKeystone_41	0.281250	0.250000	0.312500	0.500000	576	64	640	128	
RiftKeystone_42	0.312500	0.250000	0.343750	0.500000	640	64	704	128	
RiftKeystone_43	0.343750	0.250000	0.375000	0.500000	704	64	768	128	
RiftKeystone_44	0.375000	0.250000	0.406250	0.500000	768	64	832	128	
RiftKeystone_45	0.406250	0.250000	0.437500	0.500000	832	64	896	128	
RiftKeystone_46	0.437500	0.250000	0.468750	0.500000	896	64	960	128	
RiftKeystone_47	0.468750	0.250000	0.500000	0.500000	960	64	1024	128	
RiftKeystone_48	0.500000	0.250000	0.531250	0.500000	1024	64	1088	128	
RiftKeystone_49	0.531250	0.250000	0.562500	0.500000	1088	64	1152	128	
RiftKeystone_50	0.562500	0.250000	0.593750	0.500000	1152	64	1216	128	
RiftKeystone_51	0.593750	0.250000	0.625000	0.500000	1216	64	1280	128	
RiftKeystone_52	0.625000	0.250000	0.656250	0.500000	1280	64	1344	128	
RiftKeystone_53	0.656250	0.250000	0.687500	0.500000	1344	64	1408	128	
RiftKeystone_54	0.687500	0.250000	0.718750	0.500000	1408	64	1472	128	
RiftKeystone_55	0.718750	0.250000	0.750000	0.500000	1472	64	1536	128	
RiftKeystone_56	0.750000	0.250000	0.781250	0.500000	1536	64	1600	128	
RiftKeystone_57	0.781250	0.250000	0.812500	0.500000	1600	64	1664	128	
RiftKeystone_58	0.812500	0.250000	0.843750	0.500000	1664	64	1728	128	
RiftKeystone_59	0.843750	0.250000	0.875000	0.500000	1728	64	1792	128	
RiftKeystone_60	0.875000	0.250000	0.906250	0.500000	1792	64	1856	128	
RiftKeystone_61	0.906250	0.250000	0.937500	0.500000	1856	64	1920	128	
RiftKeystone_62	0.937500	0.250000	0.968750	0.500000	1920	64	1984	128	
RiftKeystone_63	0.968750	0.250000	1.000000	0.500000	1984	64	2048	128	
RiftKeystone_64	0.000000	0.500000	0.031250	0.750000	0	128	64	192	
RiftKeystone_65	0.031250	0.500000	0.062500	0.750000	64	128	128	192	
RiftKeystone_66	0.062500	0.500000	0.093750	0.750000	128	128	192	192	
RiftKeystone_67	0.093750	0.500000	0.125000	0.750000	192	128	256	192	
RiftKeystone_68	0.125000	0.500000	0.156250	0.750000	256	128	320	192	
RiftKeystone_69	0.156250	0.500000	0.187500	0.750000	320	128	384	192	
RiftKeystone_70	0.187500	0.500000	0.218750	0.750000	384	128	448	192	
RiftKeystone_71	0.218750	0.500000	0.250000	0.750000	448	128	512	192	
RiftKeystone_72	0.250000	0.500000	0.281250	0.750000	512	128	576	192	
RiftKeystone_73	0.281250	0.500000	0.312500	0.750000	576	128	640	192	
RiftKeystone_74	0.312500	0.500000	0.343750	0.750000	640	128	704	192	
RiftKeystone_75	0.343750	0.500000	0.375000	0.750000	704	128	768	192	
RiftKeystone_76	0.375000	0.500000	0.406250	0.750000	768	128	832	192	
RiftKeystone_77	0.406250	0.500000	0.437500	0.750000	832	128	896	192	
RiftKeystone_78	0.437500	0.500000	0.468750	0.750000	896	128	960	192	
