Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
p1_Ring_norm_unique_01_icon	0.000000	0.000000	0.062500	1.000000	0	0	64	64	
p1_Ring_norm_unique_02_icon	0.062500	0.000000	0.125000	1.000000	64	0	128	64	
p2_Ring_norm_unique_01_icon	0.125000	0.000000	0.187500	1.000000	128	0	192	64	
p2_Ring_norm_unique_02_Cooldown_icon	0.187500	0.000000	0.250000	1.000000	192	0	256	64	
p2_Ring_norm_unique_03_icon	0.250000	0.000000	0.312500	1.000000	256	0	320	64	
p2_Ring_norm_unique_04_icon	0.312500	0.000000	0.375000	1.000000	320	0	384	64	
p2_Ring_norm_unique_05_icon_LittleFinger	0.375000	0.000000	0.437500	1.000000	384	0	448	64	
p6_Ring_norm_unique_06_icon	0.437500	0.000000	0.500000	1.000000	448	0	512	64	
p6_Ring_norm_unique_07_icon	0.500000	0.000000	0.562500	1.000000	512	0	576	64	
p6_Ring_norm_unique_08_icon	0.562500	0.000000	0.625000	1.000000	576	0	640	64	
p6_Ring_norm_unique_09_icon	0.625000	0.000000	0.687500	1.000000	640	0	704	64	
p2_Ring_norm_unique_745_x1	0.687500	0.000000	0.750000	1.000000	704	0	768	64	
