Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
RingArcaneBand2Icon	0.000000	0.000000	0.031250	0.500000	0	0	64	64	
RingArcaneBandIcon	0.031250	0.000000	0.062500	0.500000	64	0	128	64	
RingArgus2Icon	0.062500	0.000000	0.093750	0.500000	128	0	192	64	
RingArgusIcon	0.093750	0.000000	0.125000	0.500000	192	0	256	64	
RingBoneHoopIcon	0.125000	0.000000	0.156250	0.500000	256	0	320	64	
RingFaceted3Icon	0.156250	0.000000	0.187500	0.500000	320	0	384	64	
RingFaceted2Icon	0.187500	0.000000	0.218750	0.500000	384	0	448	64	
RingFacetedIcon	0.218750	0.000000	0.250000	0.500000	448	0	512	64	
RingGemmed3Icon	0.250000	0.000000	0.281250	0.500000	512	0	576	64	
RingGemmed2Icon	0.281250	0.000000	0.312500	0.500000	576	0	640	64	
RingGemmedIcon	0.312500	0.000000	0.343750	0.500000	640	0	704	64	
RingRedGemIcon	0.343750	0.000000	0.375000	0.500000	704	0	768	64	
RingReptileIcon	0.375000	0.000000	0.406250	0.500000	768	0	832	64	
RingRunicBand2Icon	0.406250	0.000000	0.437500	0.500000	832	0	896	64	
RingRunicBandIcon	0.437500	0.000000	0.468750	0.500000	896	0	960	64	
RingScriptBand2Icon	0.468750	0.000000	0.500000	0.500000	960	0	1024	64	
RingScriptBandIcon	0.500000	0.000000	0.531250	0.500000	1024	0	1088	64	
RingSkullBandIcon	0.531250	0.000000	0.562500	0.500000	1088	0	1152	64	
RingSkullIcon	0.562500	0.000000	0.593750	0.500000	1152	0	1216	64	
RingSpikedIcon	0.593750	0.000000	0.625000	0.500000	1216	0	1280	64	
RingSpineHoopIcon	0.625000	0.000000	0.656250	0.500000	1280	0	1344	64	
RingSwirlBand2Icon	0.656250	0.000000	0.687500	0.500000	1344	0	1408	64	
RingSwirlBandIcon	0.687500	0.000000	0.718750	0.500000	1408	0	1472	64	
Ring_Unity_ring	0.718750	0.000000	0.750000	0.500000	1472	0	1536	64	
Ring_Stone_of_Jordan_ring	0.750000	0.000000	0.781250	0.500000	1536	0	1600	64	
Ring_Stolen_ring	0.781250	0.000000	0.812500	0.500000	1600	0	1664	64	
Ring_Puzzle_ring	0.812500	0.000000	0.843750	0.500000	1664	0	1728	64	
Ring_Nagelring_ring	0.843750	0.000000	0.875000	0.500000	1728	0	1792	64	
Ring_Heirophants_Seal	0.875000	0.000000	0.906250	0.500000	1792	0	1856	64	
Ring_Band_of_Untold_Secrets	0.906250	0.000000	0.937500	0.500000	1856	0	1920	64	
Ring_Eternal_Union	0.937500	0.000000	0.968750	0.500000	1920	0	1984	64	
Ring_Astral_Ring	0.968750	0.000000	1.000000	0.500000	1984	0	2048	64	
Ring_Bulkathos	0.000000	0.500000	0.031250	1.000000	0	64	64	128	
Ring_ManaldHeal	0.031250	0.500000	0.062500	1.000000	64	64	128	128	
Ring_skull_grasp	0.062500	0.500000	0.093750	1.000000	128	64	192	128	
Ring_obsidian_ring_of_the_zodiac	0.093750	0.500000	0.125000	1.000000	192	64	256	128	
Ring_ocysoj	0.125000	0.500000	0.156250	1.000000	256	64	320	128	
Ring_band_of_hollow_whispers	0.156250	0.500000	0.187500	1.000000	320	64	384	128	
Ring_Leoric's_signet	0.187500	0.500000	0.218750	1.000000	384	64	448	128	
Ring_Broken_promises	0.218750	0.500000	0.250000	1.000000	448	64	512	128	
Ring_Justice_lantern	0.250000	0.500000	0.281250	1.000000	512	64	576	128	
Ring_Natalya's_Wrath_Mark_unique	0.281250	0.500000	0.312500	1.000000	576	64	640	128	
Ring_Hellfire	0.312500	0.500000	0.343750	1.000000	640	64	704	128	
