Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
x1_Ring_norm_set_001	0.000000	0.000000	0.062500	1.000000	0	0	64	64	
x1_Ring_norm_set_002	0.062500	0.000000	0.125000	1.000000	64	0	128	64	
x1_Ring_norm_unique_025	0.125000	0.000000	0.187500	1.000000	128	0	192	64	
x1_Ring_norm_unique_026	0.187500	0.000000	0.250000	1.000000	192	0	256	64	
x1_Ring_norm_unique_027	0.250000	0.000000	0.312500	1.000000	256	0	320	64	
x1_Ring_norm_unique_028	0.312500	0.000000	0.375000	1.000000	320	0	384	64	
x1_Ring_norm_unique_029	0.375000	0.000000	0.437500	1.000000	384	0	448	64	
x1_Ring_norm_unique_030	0.437500	0.000000	0.500000	1.000000	448	0	512	64	
x1_Ring_norm_unique_031	0.500000	0.000000	0.562500	1.000000	512	0	576	64	
x1_Ring_norm_unique_032	0.562500	0.000000	0.625000	1.000000	576	0	640	64	
x1_Ring_norm_unique_033	0.625000	0.000000	0.687500	1.000000	640	0	704	64	
