Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
shoulderPads_norm_base_02_WD	0.000000	0.000000	0.062500	1.000000	0	0	64	128	
shoulderPads_norm_base_03_WD	0.062500	0.000000	0.125000	1.000000	64	0	128	128	
shoulderPads_norm_base_04_WD	0.125000	0.000000	0.187500	1.000000	128	0	192	128	
shoulderPads_norm_base_05_WD	0.187500	0.000000	0.250000	1.000000	192	0	256	128	
shoulderPads_norm_base_06_WD	0.250000	0.000000	0.312500	1.000000	256	0	320	128	
shoulderPads_nightmare_base_01_WD	0.312500	0.000000	0.375000	1.000000	320	0	384	128	
shoulderPads_nightmare_base_02_WD	0.375000	0.000000	0.437500	1.000000	384	0	448	128	
shoulderPads_nightmare_base_03_WD	0.437500	0.000000	0.500000	1.000000	448	0	512	128	
shoulderPads_nightmare_base_04_WD	0.500000	0.000000	0.562500	1.000000	512	0	576	128	
shoulderPads_nightmare_base_05_WD	0.562500	0.000000	0.625000	1.000000	576	0	640	128	
shoulderPads_hell_base_01_WD	0.625000	0.000000	0.687500	1.000000	640	0	704	128	
shoulderPads_hell_base_02_WD	0.687500	0.000000	0.750000	1.000000	704	0	768	128	
shoulderPads_hell_base_03_WD	0.750000	0.000000	0.812500	1.000000	768	0	832	128	
shoulderPads_hell_base_04_WD	0.812500	0.000000	0.875000	1.000000	832	0	896	128	
shoulderPads_hell_base_05_WD	0.875000	0.000000	0.937500	1.000000	896	0	960	128	
shoulderPads_hell_base_06_WD	0.937500	0.000000	1.000000	1.000000	960	0	1024	128	
