Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Spear_norm_base_01_icon	0.500000	0.000000	0.562500	0.781250	512	0	576	100	
Spear_norm_base_02_icon	0.062500	0.000000	0.125000	0.781250	64	0	128	100	
Spear_norm_base_03_icon	0.125000	0.000000	0.187500	0.781250	128	0	192	100	
Spear_norm_base_04_icon	0.187500	0.000000	0.250000	0.781250	192	0	256	100	
Spear_norm_base_05_icon	0.250000	0.000000	0.312500	0.781250	256	0	320	100	
x1_Spear_norm_base_01_icon	0.312500	0.000000	0.375000	0.781250	320	0	384	100	
x1_Spear_norm_base_02_icon	0.375000	0.000000	0.437500	0.781250	384	0	448	100	
Spear_norm_unique_01_icon	0.437500	0.000000	0.500000	0.781250	448	0	512	100	
Spear_norm_unique_02_icon	0.000000	0.000000	0.062500	1.000000	0	0	64	128	
Spear_norm_unique_03_icon	0.562500	0.000000	0.625000	0.781250	576	0	640	100	
Spear_norm_unique_04_icon	0.625000	0.000000	0.687500	0.781250	640	0	704	100	
x1_Spear_norm_unique_05_icon	0.687500	0.000000	0.750000	0.781250	704	0	768	100	
x1_Spear_norm_unique_06_icon	0.750000	0.000000	0.812500	0.781250	768	0	832	100	
p6_spear_norm_unique_01_icon	0.812500	0.000000	0.875000	0.781250	832	0	896	100	
