Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Sword_norm_base_01	0.000000	0.000000	0.031250	0.500000	0	0	64	128	
Sword_norm_base_02	0.031250	0.000000	0.062500	0.500000	64	0	128	128	
Sword_norm_base_03	0.062500	0.000000	0.093750	0.500000	128	0	192	128	
Sword_norm_base_04	0.093750	0.000000	0.125000	0.500000	192	0	256	128	
Sword_norm_base_05	0.125000	0.000000	0.156250	0.500000	256	0	320	128	
Sword_norm_base_06	0.156250	0.000000	0.187500	0.500000	320	0	384	128	
Sword_norm_base_07	0.187500	0.000000	0.218750	0.500000	384	0	448	128	
Sword_norm_base_08	0.218750	0.000000	0.250000	0.500000	448	0	512	128	
x1_Sword_norm_base_01	0.250000	0.000000	0.281250	0.500000	512	0	576	128	
x1_Sword_norm_base_02	0.281250	0.000000	0.312500	0.500000	576	0	640	128	
Sword_norm_unique_01	0.312500	0.000000	0.343750	0.500000	640	0	704	128	
Sword_norm_unique_02	0.343750	0.000000	0.375000	0.500000	704	0	768	128	
Sword_norm_unique_03	0.375000	0.000000	0.406250	0.500000	768	0	832	128	
Sword_norm_unique_04	0.406250	0.000000	0.437500	0.500000	832	0	896	128	
Sword_norm_unique_05	0.437500	0.000000	0.468750	0.500000	896	0	960	128	
Sword_norm_unique_06	0.468750	0.000000	0.500000	0.500000	960	0	1024	128	
Sword_norm_unique_07	0.500000	0.000000	0.531250	0.500000	1024	0	1088	128	
Sword_norm_unique_08	0.531250	0.000000	0.562500	0.500000	1088	0	1152	128	
Sword_norm_unique_09	0.562500	0.000000	0.593750	0.500000	1152	0	1216	128	
Sword_norm_unique_010	0.593750	0.000000	0.625000	0.500000	1216	0	1280	128	
Sword_norm_unique_011	0.625000	0.000000	0.656250	0.500000	1280	0	1344	128	
x1_Sword_norm_unique_012	0.656250	0.000000	0.687500	0.500000	1344	0	1408	128	
x1_Sword_norm_unique_013	0.687500	0.000000	0.718750	0.500000	1408	0	1472	128	
x1_Sword_norm_unique_014	0.718750	0.000000	0.750000	0.500000	1472	0	1536	128	
x1_Sword_norm_unique_015	0.750000	0.000000	0.781250	0.500000	1536	0	1600	128	
x1_Sword_norm_unique_016	0.781250	0.000000	0.812500	0.500000	1600	0	1664	128	
x1_Sword_norm_unique_017	0.812500	0.000000	0.843750	0.500000	1664	0	1728	128	
x1_Sword_norm_unique_018	0.843750	0.000000	0.875000	0.500000	1728	0	1792	128	
x1_Sword_norm_unique_019	0.875000	0.000000	0.906250	0.500000	1792	0	1856	128	
x1_Sword_norm_unique_020	0.906250	0.000000	0.937500	0.500000	1856	0	1920	128	
x1_Sword_norm_unique_021	0.937500	0.000000	0.968750	0.500000	1920	0	1984	128	
x1_Sword_norm_unique_022	0.968750	0.000000	1.000000	0.500000	1984	0	2048	128	
x1_Sword_norm_unique_023	0.000000	0.500000	0.031250	1.000000	0	128	64	256	
Sword_norm_set_01	0.031250	0.500000	0.062500	1.000000	64	128	128	256	
x1_Sword_norm_set_02	0.062500	0.500000	0.093750	1.000000	128	128	192	256	
x1_Sword_norm_set_03	0.093750	0.500000	0.125000	1.000000	192	128	256	256	
x1_Sword_norm_promo_01_icon	0.125000	0.500000	0.156250	1.000000	256	128	320	256	
x1_Sword_norm_promo_02_icon	0.156250	0.500000	0.187500	1.000000	320	128	384	256	
