Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
DyeBottle01_DarkLeather	0.000000	0.000000	0.062500	0.500000	0	0	128	128	
DyeBottle02_Creme	0.062500	0.000000	0.125000	0.500000	128	0	256	128	
DyeBottle03_LightGrey	0.125000	0.000000	0.187500	0.500000	256	0	384	128	
DyeBottle04_PhthaloBlue	0.187500	0.000000	0.250000	0.500000	384	0	512	128	
DyeBottle05_BloodRed	0.250000	0.000000	0.312500	0.500000	512	0	640	128	
DyeBottle06_ForestGreen	0.312500	0.000000	0.375000	0.500000	640	0	768	128	
DyeBottle07_DarkGrey	0.375000	0.000000	0.437500	0.500000	768	0	896	128	
DyeBottle08_LightLeather	0.437500	0.000000	0.500000	0.500000	896	0	1024	128	
DyeBottle09_Orange	0.500000	0.000000	0.562500	0.500000	1024	0	1152	128	
DyeBottle10_Pink	0.562500	0.000000	0.625000	0.500000	1152	0	1280	128	
DyeBottle11_CadmiumYellow	0.625000	0.000000	0.687500	0.500000	1280	0	1408	128	
DyeBottle12_LeafGreen	0.687500	0.000000	0.750000	0.500000	1408	0	1536	128	
DyeBottle13_Fuschia	0.750000	0.000000	0.812500	0.500000	1536	0	1664	128	
DyeBottle14_EmeraldGreen	0.812500	0.000000	0.875000	0.500000	1664	0	1792	128	
DyeBottle15_Royalblue	0.875000	0.000000	0.937500	0.500000	1792	0	1920	128	
DyeBottle16_MustardYellow	0.937500	0.000000	1.000000	0.500000	1920	0	2048	128	
DyeBottle17_Violet	0.000000	0.500000	0.062500	1.000000	0	128	128	256	
DyeBottle18_Crimson	0.062500	0.500000	0.125000	1.000000	128	128	256	256	
DyeBottle19_White	0.125000	0.500000	0.187500	1.000000	256	128	384	256	
DyeBottle20_Black	0.187500	0.500000	0.250000	1.000000	384	128	512	256	
DyeBottle21_DyeRemover	0.250000	0.500000	0.312500	1.000000	512	128	640	256	
DyeBottle22_VanishingDye	0.312500	0.500000	0.375000	1.000000	640	128	768	256	
x1_DyeBottle22_MidnightBlue	0.500000	0.500000	0.531250	0.750000	1024	128	1088	192	
DyeBottle23_BottledCloud_CE_01	0.375000	0.500000	0.437500	1.000000	768	128	896	256	
DyeBottle23_BottledCloud_CE_02	0.437500	0.500000	0.500000	1.000000	896	128	1024	256	
