Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
1H_Weapon_BloodshardVendor	0.001953	0.007813	0.064453	0.507813	2	2	66	130	
2H_Weapon_BloodshardVendor	0.068359	0.007813	0.130859	0.507813	70	2	134	130	
Amulet_BloodshardVendor	0.931641	0.007813	0.994141	0.257813	954	2	1018	66	
Belt_BloodshardVendor	0.068359	0.523438	0.130859	0.773438	70	134	134	198	
Boots_BloodshardVendor	0.267578	0.007813	0.330078	0.507813	274	2	338	130	
Bracer_BloodshardVendor	0.333984	0.007813	0.396484	0.507813	342	2	406	130	
Chest_BloodshardVendor	0.400391	0.007813	0.462891	0.507813	410	2	474	130	
Gloves_BloodshardVendor	0.466797	0.007813	0.529297	0.507813	478	2	542	130	
Helm_BloodshardVendor	0.533203	0.007813	0.595703	0.507813	546	2	610	130	
Mojo_BloodshardVendor	0.599609	0.007813	0.662109	0.507813	614	2	678	130	
Phylactery_BloodshardVendor	0.666016	0.007813	0.728516	0.507813	682	2	746	130	
Orb_BloodshardVendor	0.732422	0.007813	0.794922	0.507813	750	2	814	130	
Pants_BloodshardVendor	0.798828	0.007813	0.861328	0.507813	818	2	882	130	
Quiver_BloodshardVendor	0.201172	0.007813	0.263672	0.507813	206	2	270	130	
Ring_BloodshardVendor	0.001953	0.523438	0.064453	0.773438	2	134	66	198	
Shield_BloodshardVendor	0.134766	0.007813	0.197266	0.507813	138	2	202	130	
Shoulder_BloodshardVendor	0.865234	0.007813	0.927734	0.507813	886	2	950	130	
