Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
CollectionIcon_BlackKing_Elixer	0.000000	0.000000	0.027344	0.484375	0	0	56	124	
CollectionIcon_BlackKing_Gauntlet	0.027344	0.000000	0.054688	0.484375	56	0	112	124	
CollectionIcon_BlackKing_Journal	0.054688	0.000000	0.082031	0.484375	112	0	168	124	
CollectionIcon_BlackKing_Skull	0.082031	0.000000	0.109375	0.484375	168	0	224	124	
CollectionIcon_BlackKing_Trophy	0.109375	0.000000	0.136719	0.484375	224	0	280	124	
CollectionIcon_DarkCoven_Butterfly	0.136719	0.000000	0.164063	0.484375	280	0	336	124	
CollectionIcon_DarkCoven_Idol	0.164063	0.000000	0.191406	0.484375	336	0	392	124	
CollectionIcon_DarkCoven_JarEyes	0.191406	0.000000	0.218750	0.484375	392	0	448	124	
CollectionIcon_DarkCoven_Scroll	0.218750	0.000000	0.246094	0.484375	448	0	504	124	
CollectionIcon_DarkCoven_TortureDevice	0.246094	0.000000	0.273438	0.484375	504	0	560	124	
CollectionIcon_DeadlySins_Envy	0.273438	0.000000	0.300781	0.484375	560	0	616	124	
CollectionIcon_DeadlySins_Gluttony	0.300781	0.000000	0.328125	0.484375	616	0	672	124	
CollectionIcon_DeadlySins_Greed	0.328125	0.000000	0.355469	0.484375	672	0	728	124	
CollectionIcon_DeadlySins_Lust	0.054688	0.484375	0.085938	0.734375	112	124	176	188	
CollectionIcon_DeadlySins_Pride	0.382813	0.000000	0.410156	0.484375	784	0	840	124	
CollectionIcon_DeadlySins_Sloth	0.410156	0.000000	0.437500	0.484375	840	0	896	124	
CollectionIcon_DeadlySins_Wrath	0.085938	0.484375	0.117188	0.734375	176	124	240	188	
CollectionIcon_ThreeOaths_Rose	0.464844	0.000000	0.492188	0.484375	952	0	1008	124	
CollectionIcon_ThreeOaths_Spear	0.492188	0.000000	0.519531	0.484375	1008	0	1064	124	
CollectionIcon_ThreeOaths_Book	0.519531	0.000000	0.546875	0.484375	1064	0	1120	124	
CollectionIcon_BlackKing_Elixer_Inactive	0.546875	0.000000	0.574219	0.484375	1120	0	1176	124	
CollectionIcon_BlackKing_Gauntlet_Inactive	0.574219	0.000000	0.601563	0.484375	1176	0	1232	124	
CollectionIcon_BlackKing_Journal_Inactive	0.601563	0.000000	0.628906	0.484375	1232	0	1288	124	
CollectionIcon_BlackKing_Skull_Inactive	0.628906	0.000000	0.656250	0.484375	1288	0	1344	124	
CollectionIcon_BlackKing_Trophy_Inactive	0.656250	0.000000	0.683594	0.484375	1344	0	1400	124	
CollectionIcon_DarkCoven_Butterfly_Inactive	0.683594	0.000000	0.710938	0.484375	1400	0	1456	124	
CollectionIcon_DarkCoven_Idol_Inactive	0.710938	0.000000	0.738281	0.484375	1456	0	1512	124	
CollectionIcon_DarkCoven_JarEyes_Inactive	0.738281	0.000000	0.765625	0.484375	1512	0	1568	124	
CollectionIcon_DarkCoven_Scroll_Inactive	0.765625	0.000000	0.792969	0.484375	1568	0	1624	124	
CollectionIcon_DarkCoven_TortureDevice_Inactive	0.792969	0.000000	0.820313	0.484375	1624	0	1680	124	
CollectionIcon_DeadlySins_Envy_Inactive	0.820313	0.000000	0.847656	0.484375	1680	0	1736	124	
CollectionIcon_DeadlySins_Gluttony_Inactive	0.847656	0.000000	0.875000	0.484375	1736	0	1792	124	
CollectionIcon_DeadlySins_Greed_Inactive	0.875000	0.000000	0.902344	0.484375	1792	0	1848	124	
CollectionIcon_DeadlySins_Lust_Inactive	0.902344	0.000000	0.929688	0.484375	1848	0	1904	124	
CollectionIcon_DeadlySins_Pride_Inactive	0.929688	0.000000	0.957031	0.484375	1904	0	1960	124	
CollectionIcon_DeadlySins_Sloth_Inactive	0.957031	0.000000	0.984375	0.484375	1960	0	2016	124	
CollectionIcon_DeadlySins_Wrath_Inactive	0.000000	0.484375	0.027344	0.968750	0	124	56	248	
CollectionIcon_ThreeOaths_Rose_Inactive	0.437500	0.000000	0.464844	0.484375	896	0	952	124	
CollectionIcon_ThreeOaths_Spear_Inactive	0.355469	0.000000	0.382813	0.484375	728	0	784	124	
CollectionIcon_ThreeOaths_Book_Inactive	0.027344	0.484375	0.054688	0.968750	56	124	112	248	
