Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
-Elixir_Attack_01.tga	0.000000	0.000000	0.031250	0.500000	0	0	64	64	
-Elixir_Attack_02.tga	0.031250	0.000000	0.062500	0.500000	64	0	128	64	
-Elixir_Attack_03.tga	0.062500	0.000000	0.093750	0.500000	128	0	192	64	
-Elixir_Attack_04.tga	0.093750	0.000000	0.125000	0.500000	192	0	256	64	
-Elixir_Attack_05.tga	0.125000	0.000000	0.156250	0.500000	256	0	320	64	
-Elixir_Defense_01.tga	0.156250	0.000000	0.187500	0.500000	320	0	384	64	
-Elixir_Defense_02.tga	0.187500	0.000000	0.218750	0.500000	384	0	448	64	
-Elixir_Defense_03.tga	0.218750	0.000000	0.250000	0.500000	448	0	512	64	
-Elixir_Defense_04.tga	0.250000	0.000000	0.281250	0.500000	512	0	576	64	
-Elixir_Defense_05.tga	0.281250	0.000000	0.312500	0.500000	576	0	640	64	
-Elixir_Precision_01.tga	0.312500	0.000000	0.343750	0.500000	640	0	704	64	
-Elixir_Precision_02.tga	0.343750	0.000000	0.375000	0.500000	704	0	768	64	
-Elixir_Precision_03.tga	0.375000	0.000000	0.406250	0.500000	768	0	832	64	
-Elixir_Precision_04.tga	0.406250	0.000000	0.437500	0.500000	832	0	896	64	
-Elixir_Precision_05.tga	0.437500	0.000000	0.468750	0.500000	896	0	960	64	
-Elixir_Vitality_01.tga	0.468750	0.000000	0.500000	0.500000	960	0	1024	64	
-Elixir_Vitality_02.tga	0.500000	0.000000	0.531250	0.500000	1024	0	1088	64	
-Elixir_Vitality_03.tga	0.531250	0.000000	0.562500	0.500000	1088	0	1152	64	
-Elixir_Vitality_04.tga	0.562500	0.000000	0.593750	0.500000	1152	0	1216	64	
-Elixir_Vitality_05.tga	0.593750	0.000000	0.625000	0.500000	1216	0	1280	64	
-Elixir_Willpower_01.tga	0.625000	0.000000	0.656250	0.500000	1280	0	1344	64	
-Elixir_Willpower_02.tga	0.656250	0.000000	0.687500	0.500000	1344	0	1408	64	
-Elixir_Willpower_03.tga	0.687500	0.000000	0.718750	0.500000	1408	0	1472	64	
-Elixir_Willpower_04.tga	0.718750	0.000000	0.750000	0.500000	1472	0	1536	64	
-Elixir_Willpower_05.tga	0.750000	0.000000	0.781250	0.500000	1536	0	1600	64	
-Elixir_Regeneration_01.tga	0.781250	0.000000	0.812500	0.500000	1600	0	1664	64	
-Elixir_Regeneration_02.tga	0.812500	0.000000	0.843750	0.500000	1664	0	1728	64	
-Elixir_Regeneration_03.tga	0.843750	0.000000	0.875000	0.500000	1728	0	1792	64	
-Elixir_Regeneration_04.tga	0.875000	0.000000	0.906250	0.500000	1792	0	1856	64	
-Elixir_Regeneration_05.tga	0.906250	0.000000	0.937500	0.500000	1856	0	1920	64	
-Elixir_Superiority_01.tga	0.937500	0.000000	0.968750	0.500000	1920	0	1984	64	
-Elixir_Superiority_02.tga	0.968750	0.000000	1.000000	0.500000	1984	0	2048	64	
-Elixir_Superiority_03.tga	0.000000	0.500000	0.031250	1.000000	0	64	64	128	
-Elixir_Superiority_04.tga	0.031250	0.500000	0.062500	1.000000	64	64	128	128	
-Elixir_Superiority_05.tga	0.062500	0.500000	0.093750	1.000000	128	64	192	128	
-Elixir_Fear_05.tga	0.093750	0.500000	0.125000	1.000000	192	64	256	128	
