Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Follower_Enchantress_Crucible	0.000000	0.000000	0.062500	1.000000	0	0	64	64	
Follower_Enchantress_Eye	0.062500	0.000000	0.125000	1.000000	64	0	128	64	
Follower_Enchantress_Mirror	0.125000	0.000000	0.187500	1.000000	128	0	192	64	
Follower_Enchantress_Root	0.187500	0.000000	0.250000	1.000000	192	0	256	64	
Follower_Scoundrel_Clasp	0.250000	0.000000	0.312500	1.000000	256	0	320	64	
Follower_Scoundrel_Dice	0.312500	0.000000	0.375000	1.000000	320	0	384	64	
Follower_Scoundrel_Pouch	0.375000	0.000000	0.437500	1.000000	384	0	448	64	
Follower_Scoundrel_Dagger	0.437500	0.000000	0.500000	1.000000	448	0	512	64	
Follower_Templar_Chalice	0.500000	0.000000	0.562500	1.000000	512	0	576	64	
Follower_Templar_Shard	0.562500	0.000000	0.625000	1.000000	576	0	640	64	
Follower_Templar_Tears	0.625000	0.000000	0.687500	1.000000	640	0	704	64	
Follower_Templar_Tome	0.687500	0.000000	0.750000	1.000000	704	0	768	64	
