Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
twoHandedSword_norm_base_01	0.000000	0.000000	0.031250	1.000000	0	0	64	128	
twoHandedSword_norm_base_02	0.031250	0.000000	0.062500	1.000000	64	0	128	128	
twoHandedSword_norm_base_03	0.062500	0.000000	0.093750	1.000000	128	0	192	128	
twoHandedSword_norm_base_04	0.093750	0.000000	0.125000	1.000000	192	0	256	128	
twoHandedSword_norm_base_05	0.125000	0.000000	0.156250	1.000000	256	0	320	128	
twoHandedSword_norm_base_06	0.156250	0.000000	0.187500	1.000000	320	0	384	128	
twoHandedSword_norm_base_07	0.187500	0.000000	0.218750	1.000000	384	0	448	128	
twoHandedSword_unique_base_01	0.218750	0.000000	0.250000	1.000000	448	0	512	128	
twoHandedSword_unique_base_02	0.250000	0.000000	0.281250	1.000000	512	0	576	128	
twoHandedSword_unique_base_03	0.281250	0.000000	0.312500	1.000000	576	0	640	128	
twoHandedSword_unique_base_04	0.312500	0.000000	0.343750	1.000000	640	0	704	128	
twoHandedSword_unique_base_05	0.343750	0.000000	0.375000	1.000000	704	0	768	128	
twoHandedSword_unique_base_06	0.375000	0.000000	0.406250	1.000000	768	0	832	128	
twoHandedSword_unique_base_07	0.406250	0.000000	0.437500	1.000000	832	0	896	128	
twoHandedSword_unique_base_08	0.437500	0.000000	0.468750	1.000000	896	0	960	128	
twoHandedSword_unique_base_09	0.468750	0.000000	0.500000	1.000000	960	0	1024	128	
twoHandedSword_unique_base_010	0.500000	0.000000	0.531250	1.000000	1024	0	1088	128	
x1_twoHandedSword_norm_base_01_icon	0.531250	0.000000	0.562500	1.000000	1088	0	1152	128	
x1_twoHandedSword_norm_base_02_icon	0.562500	0.000000	0.593750	1.000000	1152	0	1216	128	
x1_twoHandedSword_norm_unique_011	0.593750	0.000000	0.625000	1.000000	1216	0	1280	128	
x1_twoHandedSword_norm_unique_012	0.625000	0.000000	0.656250	1.000000	1280	0	1344	128	
x1_twoHandedSword_norm_unique_013	0.656250	0.000000	0.687500	1.000000	1344	0	1408	128	
x2_twoHandedSword_norm_unique_015	0.687500	0.000000	0.718750	1.000000	1408	0	1472	128	
