Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Chal_3_Stooges	0.000000	0.000000	0.125000	0.125000	0	0	256	256	
Chal_Blacksmith_Killing_Blow	0.125000	0.000000	0.250000	0.125000	256	0	512	256	
Chal_Caldeum_Poison	0.250000	0.000000	0.375000	0.125000	512	0	768	256	
Chal_Chandelier_Kill	0.375000	0.000000	0.500000	0.125000	768	0	1024	256	
Chal_Crawling_Torso	0.500000	0.000000	0.625000	0.125000	1024	0	1280	256	
Chal_Demon_Forge_Scorpion	0.625000	0.000000	0.750000	0.125000	1280	0	1536	256	
Chal_Demonic_Tremor	0.750000	0.000000	0.875000	0.125000	1536	0	1792	256	
Chal_Despair_Ripper	0.875000	0.000000	1.000000	0.125000	1792	0	2048	256	
Chal_Destroy_Arcane	0.000000	0.125000	0.125000	0.250000	0	256	256	512	
Chal_Destroy_Corruption	0.125000	0.125000	0.250000	0.250000	256	256	512	512	
Chal_Destroy_Pillars	0.250000	0.125000	0.375000	0.250000	512	256	768	512	
Chal_Destroy_Pots	0.375000	0.125000	0.500000	0.250000	768	256	1024	512	
Chal_Destroy_Towers	0.500000	0.125000	0.625000	0.250000	1024	256	1280	512	
Chal_Disrupt_Illusionists	0.625000	0.125000	0.750000	0.250000	1280	256	1536	512	
Chal_Dodge_Mag_Insects	0.750000	0.125000	0.875000	0.250000	1536	256	1792	512	
Chal_Elemental_Spiders	0.875000	0.125000	1.000000	0.250000	1792	256	2048	512	
Chal_Escape_Hell_Rifts	0.000000	0.250000	0.125000	0.375000	0	512	256	768	
Chal_Escort_Caldeum_Citizens	0.125000	0.250000	0.250000	0.375000	256	512	512	768	
Chal_Farts	0.250000	0.250000	0.375000	0.375000	512	512	768	768	
Chal_Free_Angels	0.375000	0.250000	0.500000	0.375000	768	512	1024	768	
Chal_Free_Prisoners	0.500000	0.250000	0.625000	0.375000	1024	512	1280	768	
Chal_Free_Prisoners2	0.625000	0.250000	0.750000	0.375000	1280	512	1536	768	
Chal_Headcleaver_Kill	0.750000	0.250000	0.875000	0.375000	1536	512	1792	768	
Chal_Jeweller	0.875000	0.250000	1.000000	0.375000	1792	512	2048	768	
Chal_Kill_Artillery	0.000000	0.375000	0.125000	0.500000	0	768	256	1024	
Chal_Kill_Izual_and_Adds	0.125000	0.375000	0.250000	0.500000	256	768	512	1024	
Chal_Kill_Mobs	0.250000	0.375000	0.375000	0.500000	512	768	768	1024	
Chal_Kill_Shadow_Vermin	0.375000	0.375000	0.500000	0.500000	768	768	1024	1024	
Chal_Killing_Blow_Brigand	0.500000	0.375000	0.625000	0.500000	1024	768	1280	1024	
Chal_Knockback_Dust_Imps	0.625000	0.375000	0.750000	0.500000	1280	768	1536	1024	
Chal_Kulle_Guardians	0.750000	0.375000	0.875000	0.500000	1536	768	1792	1024	
Chal_Kulle_Head	0.875000	0.375000	1.000000	0.500000	1792	768	2048	1024	
Chal_Last_Stand01	0.000000	0.500000	0.125000	0.625000	0	1024	256	1280	
Chal_Licked_Soul_Rippers	0.125000	0.500000	0.250000	0.625000	256	1024	512	1280	
Chal_Light_Signal_Fires	0.250000	0.500000	0.375000	0.625000	512	1024	768	1280	
Chal_No_Damage_Spiders	0.375000	0.500000	0.500000	0.625000	768	1024	1024	1280	
Chal_Recruits	0.500000	0.500000	0.625000	0.625000	1024	1024	1280	1280	
Chal_Skeleton_Kills_Jondar	0.625000	0.500000	0.750000	0.625000	1280	1024	1536	1280	
Chal_Speed_Kill_King	0.750000	0.500000	0.875000	0.625000	1536	1024	1792	1280	
Chal_Spider_Queen	0.875000	0.500000	1.000000	0.625000	1792	1024	2048	1280	
Chal_Zombie_Kills	0.000000	0.625000	0.125000	0.750000	0	1280	256	1536	
Class_Barb_Bleed_Kills	0.125000	0.625000	0.250000	0.750000	256	1280	512	1536	
Class_Barb_Blocks	0.250000	0.625000	0.375000	0.750000	512	1280	768	1536	
Class_Barb_Buff_Follower	0.375000	0.625000	0.500000	0.750000	768	1280	1024	1536	
Class_Barb_Equip_Items	0.500000	0.625000	0.625000	0.750000	1024	1280	1280	1536	
