Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Chal_Chandelier_Kill_Beta	0.000000	0.000000	0.125000	0.125000	0	0	256	256	
Chal_Last_Stand01_Beta	0.125000	0.000000	0.250000	0.125000	256	0	512	256	
Chal_Zombie_Kills_Beta	0.250000	0.000000	0.375000	0.125000	512	0	768	256	
Class_Barb_Normal_Beta	0.375000	0.000000	0.500000	0.125000	768	0	1024	256	
Class_DH_Normal_Beta	0.500000	0.000000	0.625000	0.125000	1024	0	1280	256	
Class_Monk_Normal_Beta	0.625000	0.000000	0.750000	0.125000	1280	0	1536	256	
Class_WD_Normal_Beta	0.750000	0.000000	0.875000	0.125000	1536	0	1792	256	
Class_Wiz_Normal_Beta	0.875000	0.000000	1.000000	0.125000	1792	0	2048	256	
Combat_EliteKills_1_Beta	0.000000	0.125000	0.125000	0.250000	0	256	256	512	
Combat_EliteKills_2_Beta	0.125000	0.125000	0.250000	0.250000	256	256	512	512	
Combat_EliteKills_3_Beta	0.250000	0.125000	0.375000	0.250000	512	256	768	512	
Combat_EliteKills_4_Beta	0.375000	0.125000	0.500000	0.250000	768	256	1024	512	
Combat_EliteKills_5_Beta	0.500000	0.125000	0.625000	0.250000	1024	256	1280	512	
Combat_Environment_Kills_Beta	0.625000	0.125000	0.750000	0.250000	1280	256	1536	512	
Combat_Hitcounter_OneHit_Beta	0.750000	0.125000	0.875000	0.250000	1536	256	1792	512	
Combat_King_TeamKill_Beta	0.875000	0.125000	1.000000	0.250000	1792	256	2048	512	
Combat_S_King_Hell_Beta	0.000000	0.250000	0.125000	0.375000	0	512	256	768	
Combat_S_King_Normal_Barb_Beta	0.125000	0.250000	0.250000	0.375000	256	512	512	768	
Combat_S_King_Normal_DH_Beta	0.250000	0.250000	0.375000	0.375000	512	512	768	768	
Combat_S_King_Normal_Monk_Beta	0.375000	0.250000	0.500000	0.375000	768	512	1024	768	
Combat_S_King_Normal_WD_Beta	0.500000	0.250000	0.625000	0.375000	1024	512	1280	768	
Combat_S_King_Normal_Wiz_Beta	0.625000	0.250000	0.750000	0.375000	1280	512	1536	768	
Combat_Defeat_Champ_Boss_Beta	0.750000	0.250000	0.875000	0.375000	1536	512	1792	768	
Coop_Act1_Event_Jar_of_Souls_Beta	0.875000	0.250000	1.000000	0.375000	1792	512	2048	768	
Coop_Act1_Event_Matriarch_Beta	0.000000	0.375000	0.125000	0.500000	0	768	256	1024	
Coop_EliteKills_1_Beta	0.125000	0.375000	0.250000	0.500000	256	768	512	1024	
Coop_EliteKills_2_Beta	0.250000	0.375000	0.375000	0.500000	512	768	768	1024	
Coop_EliteKills_3_Beta	0.375000	0.375000	0.500000	0.500000	768	768	1024	1024	
Coop_EliteKills_4_Beta	0.500000	0.375000	0.625000	0.500000	1024	768	1280	1024	
Coop_EliteKills_5_Beta	0.625000	0.375000	0.750000	0.500000	1280	768	1536	1024	
Coop_Qst_Act1_2_Legacy_Cain_Beta	0.750000	0.375000	0.875000	0.500000	1536	768	1792	1024	
Coop_Ressurect_Player_Types_Beta	0.875000	0.375000	1.000000	0.500000	1792	768	2048	1024	
Craft_Bsmith_rec_0_Beta	0.000000	0.500000	0.125000	0.625000	0	1024	256	1280	
Craft_Craft_Item_1_Beta	0.125000	0.500000	0.250000	0.625000	256	1024	512	1280	
Craft_Bsmith_Level_2_Beta	0.250000	0.500000	0.375000	0.625000	512	1024	768	1280	
Expl_Discovery_T_Cathedral_Beta	0.375000	0.500000	0.500000	0.625000	768	1024	1024	1280	
Expl_Discovery_Tristram_Beta	0.500000	0.500000	0.625000	0.625000	1024	1024	1280	1280	
General_Gold_0_Beta	0.625000	0.500000	0.750000	0.625000	1280	1024	1536	1280	
General_Gold_1_Beta	0.750000	0.500000	0.875000	0.625000	1536	1024	1792	1280	
General_Gold_3_Beta	0.875000	0.500000	1.000000	0.625000	1792	1024	2048	1280	
General_Level_10_Beta	0.000000	0.625000	0.125000	0.750000	0	1280	256	1536	
General_lvl13_lvl_5_classes_Beta	0.125000	0.625000	0.250000	0.750000	256	1280	512	1536	
General_Templar_Beta	0.250000	0.625000	0.375000	0.750000	512	1280	768	1536	
Qst_Act1_2_Legacy_Cain_Beta	0.375000	0.625000	0.500000	0.750000	768	1280	1024	1536	
Qst_Act1_Event_Jar_of_Souls_Beta	0.500000	0.625000	0.625000	0.750000	1024	1280	1280	1536	
Qst_Act1_Event_Matriarch_Beta	0.625000	0.625000	0.750000	0.750000	1280	1280	1536	1536	
