Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
PVP_Challenge_DoHealing	0.000000	0.000000	0.125000	0.125000	0	0	256	256	
PVP_Challenge_KillAfterDeath	0.125000	0.000000	0.250000	0.125000	256	0	512	256	
PVP_Challenge_Killstreak	0.250000	0.000000	0.375000	0.125000	512	0	768	256	
PVP_Challenge_WinFromBehind	0.375000	0.000000	0.500000	0.125000	768	0	1024	256	
PVP_Challenge_WinNoDeaths	0.500000	0.000000	0.625000	0.125000	1024	0	1280	256	
PVP_Class_Barb_PullInEnemies	0.625000	0.000000	0.750000	0.125000	1280	0	1536	256	
PVP_Class_Barb_PVPRank_0	0.750000	0.000000	0.875000	0.125000	1536	0	1792	256	
PVP_Class_Barb_PVPRank_1	0.875000	0.000000	1.000000	0.125000	1792	0	2048	256	
PVP_Class_Barb_PVPRank_2	0.000000	0.125000	0.125000	0.250000	0	256	256	512	
PVP_Class_Barb_PVPRank_3	0.125000	0.125000	0.250000	0.250000	256	256	512	512	
PVP_Class_BarbGenerateFury	0.250000	0.125000	0.375000	0.250000	512	256	768	512	
PVP_Class_BarbGetKills	0.375000	0.125000	0.500000	0.250000	768	256	1024	512	
PVP_Class_BarbGetStunEnemies	0.500000	0.125000	0.625000	0.250000	1024	256	1280	512	
PVP_Class_BarbKillEnemyRanged	0.625000	0.125000	0.750000	0.250000	1280	256	1536	512	
PVP_Class_CompleteAll	0.750000	0.125000	0.875000	0.250000	1536	256	1792	512	
PVP_Class_CompleteBarbarian	0.875000	0.125000	1.000000	0.250000	1792	256	2048	512	
PVP_Class_CompleteClassKills	0.000000	0.250000	0.125000	0.375000	0	512	256	768	
PVP_Class_CompleteDemonhunter	0.125000	0.250000	0.250000	0.375000	256	512	512	768	
PVP_Class_CompleteMonk	0.250000	0.250000	0.375000	0.375000	512	512	768	768	
PVP_Class_CompleteWitchdoctor	0.375000	0.250000	0.500000	0.375000	768	512	1024	768	
PVP_Class_CompleteWizard	0.500000	0.250000	0.625000	0.375000	1024	512	1280	768	
PVP_Class_DH_GetKills	0.625000	0.250000	0.750000	0.375000	1280	512	1536	768	
PVP_Class_DH_PVPRank_0	0.750000	0.250000	0.875000	0.375000	1536	512	1792	768	
PVP_Class_DH_PVPRank_1	0.875000	0.250000	1.000000	0.375000	1792	512	2048	768	
PVP_Class_DH_PVPRank_2	0.000000	0.375000	0.125000	0.500000	0	768	256	1024	
PVP_Class_DH_PVPRank_3	0.125000	0.375000	0.250000	0.500000	256	768	512	1024	
PVP_Class_DH_SentryKills	0.250000	0.375000	0.375000	0.500000	512	768	768	1024	
PVP_Class_DH_SmokeScreenKill	0.375000	0.375000	0.500000	0.500000	768	768	1024	1024	
PVP_Class_DH_SnaredKills	0.500000	0.375000	0.625000	0.500000	1024	768	1280	1024	
