Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
p1_Conquest_Seasonal_BossKill	0.000977	0.000977	0.125977	0.125977	2	2	258	258	
p1_Conquest_Seasonal_Hardcore_BossKill	0.127930	0.000977	0.252930	0.125977	262	2	518	258	
p1_Conquest_Seasonal_Language	0.254883	0.000977	0.379883	0.125977	522	2	778	258	
p1_Conquest_Seasonal_Hardcore_Language	0.381836	0.000977	0.506836	0.125977	782	2	1038	258	
p1_Conquest_Seasonal_Avaritia	0.508789	0.000977	0.633789	0.125977	1042	2	1298	258	
p1_Conquest_Seasonal_Hardcore_Avaritia	0.635742	0.000977	0.760742	0.125977	1302	2	1558	258	
p1_Conquest_Seasonal_Lionhearted	0.762695	0.000977	0.887695	0.125977	1562	2	1818	258	
p1_Conquest_Seasonal_Hardcore_Lionhearted	0.000977	0.127930	0.125977	0.252930	2	262	258	518	
p1_Conquest_Seasonal_NephalemRift	0.127930	0.127930	0.252930	0.252930	262	262	518	518	
p1_Conquest_Seasonal_Hardcore_NephalemRift	0.254883	0.127930	0.379883	0.252930	522	262	778	518	
p1_Seasonal_BestiaryLore_ActI	0.381836	0.127930	0.506836	0.252930	782	262	1038	518	
p1_Seasonal_Hardcore_BestiaryLore_ActI	0.508789	0.127930	0.633789	0.252930	1042	262	1298	518	
p1_Seasonal_BestiaryLore_ActII	0.635742	0.127930	0.760742	0.252930	1302	262	1558	518	
p1_Seasonal_Hardcore_BestiaryLore_ActII	0.762695	0.127930	0.887695	0.252930	1562	262	1818	518	
p1_Seasonal_BestiaryLore_ActIII	0.000977	0.254883	0.125977	0.379883	2	522	258	778	
p1_Seasonal_Hardcore_BestiaryLore_ActIII	0.127930	0.254883	0.252930	0.379883	262	522	518	778	
p1_Seasonal_BestiaryLore_ActIV	0.254883	0.254883	0.379883	0.379883	522	522	778	778	
p1_Seasonal_Hardcore_BestiaryLore_ActIV	0.381836	0.254883	0.506836	0.379883	782	522	1038	778	
p1_Seasonal_BestiaryLore_ActV	0.508789	0.254883	0.633789	0.379883	1042	522	1298	778	
p1_Seasonal_Hardcore_BestiaryLore_ActV	0.635742	0.254883	0.760742	0.379883	1302	522	1558	778	
p1_Seasonal_PeopleLore_ActI	0.762695	0.254883	0.887695	0.379883	1562	522	1818	778	
p1_Seasonal_Hardcore_PeopleLore_ActI	0.000977	0.381836	0.125977	0.506836	2	782	258	1038	
p1_Seasonal_PeopleLore_ActII	0.127930	0.381836	0.252930	0.506836	262	782	518	1038	
p1_Seasonal_Hardcore_PeopleLore_ActII	0.254883	0.381836	0.379883	0.506836	522	782	778	1038	
p1_Seasonal_PeopleLore_ActIII	0.381836	0.381836	0.506836	0.506836	782	782	1038	1038	
p1_Seasonal_Hardcore_PeopleLore_ActIII	0.508789	0.381836	0.633789	0.506836	1042	782	1298	1038	
p1_Seasonal_PeopleLore_ActIV	0.635742	0.381836	0.760742	0.506836	1302	782	1558	1038	
p1_Seasonal_Hardcore_PeopleLore_ActIV	0.762695	0.381836	0.887695	0.506836	1562	782	1818	1038	
p1_Seasonal_PeopleLore_ActV	0.000977	0.508789	0.125977	0.633789	2	1042	258	1298	
p1_Seasonal_Hardcore_PeopleLore_ActV	0.127930	0.508789	0.252930	0.633789	262	1042	518	1298	
p1_Seasonal_QuestLore_ActI	0.254883	0.508789	0.379883	0.633789	522	1042	778	1298	
p1_Seasonal_Hardcore_QuestLore_ActI	0.381836	0.508789	0.506836	0.633789	782	1042	1038	1298	
p1_Seasonal_QuestLore_ActII	0.508789	0.508789	0.633789	0.633789	1042	1042	1298	1298	
p1_Seasonal_Hardcore_QuestLore_ActII	0.635742	0.508789	0.760742	0.633789	1302	1042	1558	1298	
p1_Seasonal_QuestLore_ActIII	0.762695	0.508789	0.887695	0.633789	1562	1042	1818	1298	
p1_Seasonal_Hardcore_QuestLore_ActIII	0.000977	0.635742	0.125977	0.760742	2	1302	258	1558	
p1_Seasonal_QuestLore_ActIV	0.127930	0.635742	0.252930	0.760742	262	1302	518	1558	
p1_Seasonal_Hardcore_QuestLore_ActIV	0.254883	0.635742	0.379883	0.760742	522	1302	778	1558	
p1_Seasonal_QuestLore_ActV	0.381836	0.635742	0.506836	0.760742	782	1302	1038	1558	
p1_Seasonal_Hardcore_QuestLore_ActV	0.508789	0.635742	0.633789	0.760742	1042	1302	1298	1558	
p1_Seasonal_WorldLore_ActI	0.635742	0.635742	0.760742	0.760742	1302	1302	1558	1558	
p1_Seasonal_Hardcore_WorldLore_ActI	0.762695	0.635742	0.887695	0.760742	1562	1302	1818	1558	
p1_Seasonal_WorldLore_ActII	0.000977	0.762695	0.125977	0.887695	2	1562	258	1818	
p1_Seasonal_Hardcore_WorldLore_ActII	0.127930	0.762695	0.252930	0.887695	262	1562	518	1818	
p1_Seasonal_WorldLore_ActIII	0.254883	0.762695	0.379883	0.887695	522	1562	778	1818	
