Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
p3_SeasonJourney_PartIAchievementIcon	0.000000	0.000000	0.125000	0.250000	0	0	256	256	
p3_SeasonJourney_PartIIAchievementIcon	0.125000	0.000000	0.250000	0.250000	256	0	512	256	
p3_SeasonJourney_PartIIIAchievementIcon	0.250000	0.000000	0.375000	0.250000	512	0	768	256	
p3_SeasonJourney_PartIVAchievementIcon	0.375000	0.000000	0.500000	0.250000	768	0	1024	256	
p3_SeasonJourney_SlayerAchievementIcon	0.500000	0.000000	0.625000	0.250000	1024	0	1280	256	
p3_SeasonJourney_ChampionAchievementIcon	0.625000	0.000000	0.750000	0.250000	1280	0	1536	256	
p3_SeasonJourney_DestroyerAchievementIcon	0.750000	0.000000	0.875000	0.250000	1536	0	1792	256	
p3_SeasonJourney_ConquerorAchievementIcon	0.875000	0.000000	1.000000	0.250000	1792	0	2048	256	
p3_SeasonJourney_GuardianAchievementIcon	0.000000	0.250000	0.125000	0.500000	0	256	256	512	
p3_Season_GreaterRifts_Level15	0.125000	0.250000	0.250000	0.500000	256	256	512	512	
p3_Season_GreaterRifts_Level20	0.250000	0.250000	0.375000	0.500000	512	256	768	512	
p3_Season_GreaterRifts_Level25	0.375000	0.250000	0.500000	0.500000	768	256	1024	512	
p3_Season_GreaterRifts_Level30	0.500000	0.250000	0.625000	0.500000	1024	256	1280	512	
p3_Season_GreaterRifts_Level35	0.625000	0.250000	0.750000	0.500000	1280	256	1536	512	
p3_Season_GreaterRifts_Level40	0.750000	0.250000	0.875000	0.500000	1536	256	1792	512	
p3_Conquest_GreaterRifts_Level40	0.875000	0.250000	1.000000	0.500000	1792	256	2048	512	
p3_Conquest_GreaterRifts_Level40_HC	0.000000	0.500000	0.125000	0.750000	0	512	256	768	
p3_Season_SkeletonKing_Maghda	0.125000	0.500000	0.250000	0.750000	256	512	512	768	
p3_Season_Siegebreaker_ZK	0.250000	0.500000	0.375000	0.750000	512	512	768	768	
p3_Season_Rakanoth_Ghom	0.375000	0.500000	0.500000	0.750000	768	512	1024	768	
p3_Crafting_Cube_01	0.500000	0.500000	0.625000	0.750000	1024	512	1280	768	
p3_Crafting_Cube_02	0.625000	0.500000	0.750000	0.750000	1280	512	1536	768	
p3_Crafting_Cube_03	0.750000	0.500000	0.875000	0.750000	1536	512	1792	768	
p3_Crafting_Cube_04	0.875000	0.500000	1.000000	0.750000	1792	512	2048	768	
p3_Crafting_Cube_05	0.000000	0.750000	0.125000	1.000000	0	768	256	1024	
P3_Feat_Malthaels_Phantom	0.125000	0.750000	0.250000	1.000000	256	768	512	1024	
p3_Feat_BC2015	0.250000	0.750000	0.375000	1.000000	512	768	768	1024	
