Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
x1_Crafting_Enchant_property_100	0.000000	0.000000	0.125000	0.125000	0	0	256	256	
x1_Crafting_Enchant_property_250	0.125000	0.000000	0.250000	0.125000	256	0	512	256	
x1_Crafting_Enchant_property_500	0.250000	0.000000	0.375000	0.125000	512	0	768	256	
x1_Crafting_Enchant_property_1000	0.375000	0.000000	0.500000	0.125000	768	0	1024	256	
x1_Crafting_Jeweler_Level12	0.500000	0.000000	0.625000	0.125000	1024	0	1280	256	
x1_Crafting_LevelMystic	0.625000	0.000000	0.750000	0.125000	1280	0	1536	256	
x1_Crafting_lvl70_HellfireRing	0.750000	0.000000	0.875000	0.125000	1536	0	1792	256	
x1_Crafting_Mystic_Level5	0.875000	0.000000	1.000000	0.125000	1792	0	2048	256	
x1_Crafting_Mystic_Level10	0.000000	0.125000	0.125000	0.250000	0	256	256	512	
x1_Crafting_Mystic_Level12	0.125000	0.125000	0.250000	0.250000	256	256	512	512	
x1_Crafting_Transmog_look_legendary	0.250000	0.125000	0.375000	0.250000	512	256	768	512	
X1_General_All_Legendary	0.375000	0.125000	0.500000	0.250000	768	256	1024	512	
X1_General_Conv_Artisans	0.500000	0.125000	0.625000	0.250000	1024	256	1280	512	
X1_General_Conv_Blacksmith	0.625000	0.125000	0.750000	0.250000	1280	256	1536	512	
X1_General_Conv_Enchantress	0.750000	0.125000	0.875000	0.250000	1536	256	1792	512	
X1_General_Conv_Followers	0.875000	0.125000	1.000000	0.250000	1792	256	2048	512	
X1_General_Conv_Jeweler	0.000000	0.250000	0.125000	0.375000	0	512	256	768	
X1_General_Conv_Lorath	0.125000	0.250000	0.250000	0.375000	256	512	512	768	
X1_General_Conv_MainChars	0.250000	0.250000	0.375000	0.375000	512	512	768	768	
X1_General_Conv_Meta	0.375000	0.250000	0.500000	0.375000	768	512	1024	768	
X1_General_Conv_Mystic	0.500000	0.250000	0.625000	0.375000	1024	512	1280	768	
X1_General_Conv_Scoundrel	0.625000	0.250000	0.750000	0.375000	1280	512	1536	768	
X1_General_Conv_Templar	0.750000	0.250000	0.875000	0.375000	1536	512	1792	768	
X1_General_Conv_Torion	0.875000	0.250000	1.000000	0.375000	1792	512	2048	768	
X1_General_Conv_Tyrael	0.000000	0.375000	0.125000	0.500000	0	768	256	1024	
X1_General_Conv_Vendors	0.125000	0.375000	0.250000	0.500000	256	768	512	1024	
X1_General_Health_Wells	0.250000	0.375000	0.375000	0.500000	512	768	768	1024	
X1_General_Level_70	0.375000	0.375000	0.500000	0.500000	768	768	1024	1024	
X1_General_lvl70_lvl_6_classes	0.500000	0.375000	0.625000	0.500000	1024	768	1280	1024	
X1_Hardcore_Adria_Normal	0.625000	0.375000	0.750000	0.500000	1280	768	1536	1024	
x1_Hardcore_Champions_allTypes	0.750000	0.375000	0.875000	0.500000	1536	768	1792	1024	
X1_Hardcore_Izual_Normal	0.875000	0.375000	1.000000	0.500000	1792	768	2048	1024	
X1_Hardcore_Level_70	0.000000	0.500000	0.125000	0.625000	0	1024	256	1280	
X1_Hardcore_Malthael_Normal	0.125000	0.500000	0.250000	0.625000	256	1024	512	1280	
X1_Hardcore_Iskatu_Normal	0.250000	0.500000	0.375000	0.625000	512	1024	768	1280	
