Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Artisan_Blacksmith_ModifyItem	0.498047	0.007813	0.737305	0.716797	1020	8	1510	734	
Artisan_Blacksmith_EnhanceItem	0.003906	0.007813	0.243164	0.716797	8	8	498	734	
Artisan_Blacksmith_Salvage	0.250977	0.007813	0.490234	0.716797	514	8	1004	734	
Salvage_Button_Normal	0.745117	0.007813	0.798828	0.115234	1526	8	1636	118	
Salvage_Button_Mouseover	0.806641	0.007813	0.860352	0.115234	1652	8	1762	118	
Salvage_Button_Pushed	0.868164	0.007813	0.921875	0.115234	1778	8	1888	118	
Salvage_Button_Inactive	0.929688	0.007813	0.983398	0.115234	1904	8	2014	118	
Salvage_Button_Rare_Normal	0.922852	0.342773	0.959473	0.416016	1890	351	1965	426	
Salvage_Button_Rare_Mouseover	0.878418	0.342773	0.915039	0.416016	1799	351	1874	426	
Salvage_Button_Rare_Pushed	0.745117	0.253906	0.781738	0.327148	1526	260	1601	335	
Salvage_Button_Rare_Inactive	0.929688	0.130859	0.966309	0.204102	1904	134	1979	209	
Salvage_Button_White_Normal	0.745117	0.431641	0.781738	0.504883	1526	442	1601	517	
Salvage_Button_White_Mouseover	0.789551	0.253906	0.826172	0.327148	1617	260	1692	335	
Salvage_Button_White_Pushed	0.833984	0.253906	0.870605	0.327148	1708	260	1783	335	
Salvage_Button_White_Inactive	0.878418	0.253906	0.915039	0.327148	1799	260	1874	335	
Salvage_Button_Magic_Normal	0.922852	0.253906	0.959473	0.327148	1890	260	1965	335	
Salvage_Button_Magic_Mouseover	0.745117	0.342773	0.781738	0.416016	1526	351	1601	426	
Salvage_Button_Magic_Pushed	0.789551	0.342773	0.826172	0.416016	1617	351	1692	426	
Salvage_Button_Magic_Inactive	0.833984	0.342773	0.870605	0.416016	1708	351	1783	426	
Salvage_Button_Active_Normal	0.806641	0.130859	0.860352	0.238281	1652	134	1762	244	
Salvage_Button_Active_Mouseover	0.745117	0.130859	0.798828	0.238281	1526	134	1636	244	
Salvage_Button_Active_Pushed	0.868164	0.130859	0.921875	0.238281	1778	134	1888	244	
Salvage_MaterialFrame.tga	0.789551	0.431641	0.824707	0.501953	1617	442	1689	514	
