Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Artisan_Mystic_ModifyItem	0.003906	0.366211	0.243164	0.720703	8	750	498	1476	
Artisan_Mystic_EnhanceItem	0.003906	0.003906	0.243164	0.358398	8	8	498	734	
Artisan_Mystic_Transmogrify	0.250977	0.003906	0.490234	0.358398	514	8	1004	734	
Artisan_Mystic_Enchant	0.498047	0.003906	0.737305	0.358398	1020	8	1510	734	
Artisan_Mystic_Enchant_Arrow	0.428711	0.453613	0.471191	0.495117	878	929	965	1014	
Artisan_Mystic_Enchant_Progress_Full	0.493652	0.422363	0.728516	0.445801	1011	865	1492	913	
Artisan_Mystic_Enchant_Progress_Empty	0.736328	0.422363	0.971191	0.445801	1508	865	1989	913	
Artisan_Mystic_Enchant_Selection	0.534668	0.366211	0.769531	0.389648	1095	750	1576	798	
Artisan_Mystic_Enchant_ListBackground	0.250977	0.422363	0.485840	0.445801	514	865	995	913	
Artisan_Mystic_Enchant_ListBackgroundGlow	0.250977	0.366211	0.526855	0.414551	514	750	1079	849	
Artisan_Mystic_Enchant_IconGlow	0.250977	0.453613	0.320313	0.563965	514	929	656	1155	
Artisan_Mystic_RevertBtn_Normal	0.803223	0.366211	0.821289	0.384277	1645	750	1682	787	
Artisan_Mystic_RevertBtn_Mouseover	0.829102	0.366211	0.847168	0.384277	1698	750	1735	787	
Artisan_Mystic_RevertBtn_Pushed	0.777344	0.366211	0.795410	0.384277	1592	750	1629	787	
Artisan_Mystic_Dye	0.745117	0.003906	0.984375	0.358398	1526	8	2016	734	
Artisan_Mystic_Dye_Glow	0.328125	0.453613	0.420898	0.546387	672	929	862	1119	
Artisan_Mystic_DyeAllIcon	0.854980	0.366211	0.871094	0.376953	1751	750	1784	772	
Artisan_Mystic_RemoveDyeIcon	0.878906	0.366211	0.893066	0.375977	1800	750	1829	770	
