Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Artisan_Craft_base	0.718262	0.003906	0.957520	0.358398	1471	8	1961	734	
Artisan_Divider	0.224121	0.410645	0.352539	0.424805	459	841	722	870	
Artisan_List_ProgressBar_Empty	0.688965	0.366211	0.885254	0.379883	1411	750	1813	778	
Artisan_List_ProgressBar_Full	0.224121	0.389160	0.420410	0.402832	459	797	861	825	
Artisan_List_Select	0.428223	0.389160	0.624512	0.402832	877	797	1279	825	
Artisan_List_Star	0.965332	0.053711	0.977539	0.065918	1977	110	2002	135	
Artisan_MaterialFrame	0.965332	0.003906	0.994629	0.045898	1977	8	2037	94	
Artisan_train_base	0.471191	0.003906	0.710449	0.358398	965	8	1455	734	
Artisan_Train_Base_Master	0.224121	0.003906	0.463379	0.358398	459	8	949	734	
Artisan_Train_ProgressBar_Empty	0.456543	0.366211	0.681152	0.381348	935	750	1395	781	
Artisan_Train_ProgressBar_Full	0.224121	0.366211	0.448730	0.381348	459	750	919	781	
Artisan_Button_Inactive	0.290527	0.432617	0.326172	0.500000	595	886	668	1024	
Artisan_Button_Mouseover	0.333984	0.432617	0.369629	0.500000	684	886	757	1024	
Artisan_Button_Normal	0.377441	0.432617	0.413086	0.500000	773	886	846	1024	
Artisan_Button_LockGold	0.420898	0.432617	0.456543	0.500000	862	886	935	1024	
Artisan_Button_LockGray	0.464355	0.432617	0.500000	0.500000	951	886	1024	1024	
Artisan_Button_Tint	0.507813	0.432617	0.543457	0.500000	1040	886	1113	1024	
Slotflash_Large	0.224121	0.432617	0.282715	0.526367	459	886	579	1078	
Slotflash_Generic	0.551270	0.432617	0.615723	0.497070	1129	886	1261	1018	
Artisan_Preview	0.003906	0.003906	0.216309	0.589844	8	8	443	1208	
Button_RotateLeft_Normal	0.662598	0.432617	0.693848	0.463867	1357	886	1421	950	
Button_RotateLeft_Mouseover	0.701660	0.432617	0.732910	0.463867	1437	886	1501	950	
Button_RotateLeft_Pushed	0.740723	0.432617	0.771973	0.463867	1517	886	1581	950	
Button_RotateRight_Normal	0.779785	0.432617	0.811035	0.463867	1597	886	1661	950	
Button_RotateRight_Mouseover	0.623535	0.432617	0.654785	0.463867	1277	886	1341	950	
Button_RotateRight_Pushed	0.818848	0.432617	0.850098	0.463867	1677	886	1741	950	
