Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
TargetHealthbar	0.790039	0.273438	0.860352	0.292969	809	70	881	75	
TargetHealthFill	0.875977	0.273438	0.946289	0.292969	897	70	969	75	
RareHealthbar	0.007813	0.273438	0.282227	0.589844	8	70	289	151	
RareHealthFill	0.565430	0.273438	0.774414	0.328125	579	70	793	84	
EnemyHealthbar_Static_Base	0.297852	0.273438	0.549805	0.406250	305	70	563	104	
EnemyHealthbar_Static_Full	0.700195	0.468750	0.885742	0.535156	717	120	907	137	
EnemyHealthbar_Static_Empty	0.499023	0.468750	0.684570	0.535156	511	120	701	137	
Castbar_Static_Full	0.297852	0.468750	0.483398	0.535156	305	120	495	137	
ObjectiveMeter_Fill_Empty	0.677734	0.031250	0.970703	0.187500	694	8	994	48	
ObjectiveMeter_Fill_Full_red	0.369141	0.031250	0.662109	0.187500	378	8	678	48	
ObjectiveMeter_Frame	0.007813	0.031250	0.353516	0.210938	8	8	362	54	
