Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BossWindow_Top	0.202148	0.001953	0.398438	0.050781	414	4	816	104	
BossWindow_Bottom	0.001953	0.001953	0.198242	0.050781	4	4	406	104	
BossWindow_BottomBreak	0.402344	0.001953	0.587891	0.003906	824	4	1204	8	
SmallBtn_Normal	0.492188	0.007813	0.578125	0.028320	1008	16	1184	58	
SmallBtn_Mouseover	0.402344	0.007813	0.488281	0.028320	824	16	1000	58	
SmallBtn_Pushed	0.582031	0.007813	0.667969	0.028320	1192	16	1368	58	
SmallBtn_Inactive	0.671875	0.007813	0.757813	0.028320	1376	16	1552	58	
BossWindow_Mural_Belial	0.626953	0.054688	0.779297	0.223145	1284	112	1596	457	
BossWindow_Mural_Butcher	0.783203	0.054688	0.935547	0.223145	1604	112	1916	457	
BossWindow_Mural_cain	0.001953	0.227051	0.154297	0.395508	4	465	316	810	
BossWindow_Mural_ZoltunKulle	0.158203	0.227051	0.310547	0.395508	324	465	636	810	
BossWindow_Mural_SpiderQueen	0.314453	0.227051	0.466797	0.395508	644	465	956	810	
BossWindow_Mural_Diablo	0.470703	0.227051	0.623047	0.395508	964	465	1276	810	
BossWindow_Mural_AdriasPrison	0.626953	0.227051	0.779297	0.395508	1284	465	1596	810	
BossWindow_Mural_AdriasBetrayal	0.783203	0.227051	0.935547	0.395508	1604	465	1916	810	
BossWindow_Mural_Azmodan	0.001953	0.399414	0.154297	0.567871	4	818	316	1163	
BossWindow_Mural_1000Battle	0.158203	0.399414	0.310547	0.567871	324	818	636	1163	
BossWindow_Mural_CainEvent	0.314453	0.399414	0.466797	0.567871	644	818	956	1163	
BossWindow_Mural_Despair	0.470703	0.399414	0.623047	0.567871	964	818	1276	1163	
BossWindow_Mural_Gluttony	0.626953	0.399414	0.779297	0.567871	1284	818	1596	1163	
BossWindow_Mural_Mistress	0.783203	0.399414	0.935547	0.567871	1604	818	1916	1163	
BossWindow_Mural_TyraelEvent	0.001953	0.571777	0.154297	0.740234	4	1171	316	1516	
BossWindow_Mural_Maghdafight	0.158203	0.571777	0.310547	0.740234	324	1171	636	1516	
BossWindow_Mural_ImperiusEvent	0.314453	0.571777	0.466797	0.740234	644	1171	956	1516	
BossWindow_Mural_SkeletonKing	0.470703	0.571777	0.623047	0.740234	964	1171	1276	1516	
BossWindow_Mural_siegebreaker	0.626953	0.571777	0.779297	0.740234	1284	1171	1596	1516	
BossWindow_Mural_PandemoniumEvent	0.783203	0.571777	0.935547	0.740234	1604	1171	1916	1516	
BossWindow_Mural_RamEvent	0.001953	0.744141	0.154297	0.912598	4	1524	316	1869	
BossWindow_Mural_Enchantress	0.158203	0.744141	0.310547	0.912598	324	1524	636	1869	
BossWindow_Mural_Jeweler	0.314453	0.744141	0.466797	0.912598	644	1524	956	1869	
BossWindow_Mural_Scoundrel	0.470703	0.744141	0.623047	0.912598	964	1524	1276	1869	
BossWindow_Mural_Templar	0.626953	0.744141	0.779297	0.912598	1284	1524	1596	1869	
x1_BossWindow_Mural_Urzael	0.470703	0.054688	0.623047	0.223145	964	112	1276	457	
x1_BossWindow_Mural_AdriaBoss	0.314453	0.054688	0.466797	0.223145	644	112	956	457	
x1_BossWindow_Mural_Malthael	0.158203	0.054688	0.310547	0.223145	324	112	636	457	
x1_BossWindow_Mural_Greed	0.001953	0.054688	0.154297	0.223145	4	112	316	457	
p1_BossWindow_Mural_Rift	0.783203	0.744141	0.935547	0.912598	1604	1524	1916	1869	
