Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BulletIcon	0.003906	0.582031	0.011719	0.644531	8	149	24	165	
ExperienceBarFill01	0.003906	0.031250	0.368164	0.070313	8	8	754	18	
ExperienceBarFill02	0.375977	0.031250	0.740234	0.070313	770	8	1516	18	
ExperienceBarFill03	0.003906	0.132813	0.368164	0.171875	8	34	754	44	
BtnSkills_Normal	0.668945	0.234375	0.683594	0.484375	1370	60	1400	124	
BtnSkills_Mouseover	0.305664	0.234375	0.320313	0.484375	626	60	656	124	
BtnSkills_Pushed	0.036133	0.234375	0.050781	0.484375	74	60	104	124	
BtnInventory_Normal	0.058594	0.234375	0.073242	0.484375	120	60	150	124	
BtnInventory_Mouseover	0.081055	0.234375	0.095703	0.484375	166	60	196	124	
BtnInventory_Pushed	0.103516	0.234375	0.118164	0.484375	212	60	242	124	
BtnQuests_Normal	0.125977	0.234375	0.140625	0.484375	258	60	288	124	
BtnQuests_Mouseover	0.148438	0.234375	0.163086	0.484375	304	60	334	124	
BtnQuests_Pushed	0.170898	0.234375	0.185547	0.484375	350	60	380	124	
BtnAchievements_Normal	0.193359	0.234375	0.208008	0.484375	396	60	426	124	
BtnAchievements_Mouseover	0.215820	0.234375	0.230469	0.484375	442	60	472	124	
BtnAchievements_Pushed	0.238281	0.234375	0.252930	0.484375	488	60	518	124	
BtnMain_Normal	0.260742	0.234375	0.275391	0.484375	534	60	564	124	
BtnMain_Mouseover	0.283203	0.234375	0.297852	0.484375	580	60	610	124	
BtnMain_Pushed	0.691406	0.234375	0.706055	0.484375	1416	60	1446	124	
BtnSkills_Active_Normal	0.328125	0.234375	0.342773	0.484375	672	60	702	124	
BtnSkills_Active_Mouseover	0.350586	0.234375	0.365234	0.484375	718	60	748	124	
BtnSkills_Active_Pushed	0.373047	0.234375	0.387695	0.484375	764	60	794	124	
BtnInventory_Active_Normal	0.395508	0.234375	0.410156	0.484375	810	60	840	124	
BtnInventory_Active_Mouseover	0.713867	0.234375	0.728516	0.484375	1462	60	1492	124	
BtnInventory_Active_Pushed	0.444336	0.234375	0.458984	0.484375	910	60	940	124	
BtnQuests_Active_Normal	0.466797	0.234375	0.481445	0.484375	956	60	986	124	
BtnQuests_Active_Mouseover	0.489258	0.234375	0.503906	0.484375	1002	60	1032	124	
BtnQuests_Active_Pushed	0.511719	0.234375	0.526367	0.484375	1048	60	1078	124	
BtnAchievements_Active_Normal	0.534180	0.234375	0.548828	0.484375	1094	60	1124	124	
BtnAchievements_Active_Mouseover	0.556641	0.234375	0.571289	0.484375	1140	60	1170	124	
BtnAchievements_Active_Pushed	0.579102	0.234375	0.593750	0.484375	1186	60	1216	124	
BtnMain_Active_Normal	0.601563	0.234375	0.616211	0.484375	1232	60	1262	124	
BtnMain_Active_Mouseover	0.624023	0.234375	0.638672	0.484375	1278	60	1308	124	
BtnMain_Active_Pushed	0.646484	0.234375	0.661133	0.484375	1324	60	1354	124	
LatencyMeter_Green	0.014648	0.234375	0.017578	0.519531	30	60	36	133	
LatencyMeter_Yellow	0.025391	0.234375	0.028320	0.519531	52	60	58	133	
LatencyMeter_Red	0.003906	0.234375	0.006836	0.519531	8	60	14	133	
StoneOfRecall_Button_Inactive	0.736328	0.234375	0.754883	0.484375	1508	60	1546	124	
StoneOfRecall_Button_Normal	0.762695	0.234375	0.781250	0.484375	1562	60	1600	124	
StoneOfRecall_Button_Mouseover	0.789063	0.234375	0.807617	0.484375	1616	60	1654	124	
StoneOfRecall_Button_Pushed	0.417969	0.234375	0.436523	0.484375	856	60	894	124	
SkillLockIcon	0.815430	0.234375	0.846680	0.484375	1670	60	1734	124	
BuffDurationFrame	0.892090	0.234375	0.921875	0.285156	1827	60	1888	73	
BuffDurationFrameOnMouse	0.929688	0.234375	0.959473	0.285156	1904	60	1965	73	
BuffDurationBarEmpty	0.854492	0.347656	0.884277	0.398438	1750	89	1811	102	
BuffDurationBarFill	0.892090	0.347656	0.921875	0.398438	1827	89	1888	102	
BuffDurationBarFill_Yellow	0.854492	0.234375	0.884277	0.285156	1750	60	1811	73	
