Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BuffFrame	0.684570	0.500000	0.712891	0.726563	1402	128	1460	186	
DebuffFrame	0.656250	0.500000	0.684570	0.726563	1344	128	1402	186	
Buff_DeathState	0.062500	0.000000	0.093750	0.250000	128	0	192	64	
Debuff_General_Blind	0.093750	0.000000	0.125000	0.250000	192	0	256	64	
Debuff_General_Fear	0.125000	0.000000	0.156250	0.250000	256	0	320	64	
Debuff_General_Immobilize	0.156250	0.000000	0.187500	0.250000	320	0	384	64	
Debuff_General_Slow	0.187500	0.000000	0.218750	0.250000	384	0	448	64	
Debuff_General_Stun	0.218750	0.000000	0.250000	0.250000	448	0	512	64	
DebuffBurning	0.250000	0.000000	0.281250	0.250000	512	0	576	64	
DebuffFrozen	0.281250	0.000000	0.312500	0.250000	576	0	640	64	
DebuffPoisoned	0.312500	0.000000	0.343750	0.250000	640	0	704	64	
DebuffStun	0.343750	0.000000	0.375000	0.250000	704	0	768	64	
DebuffSilence	0.375000	0.000000	0.406250	0.250000	768	0	832	64	
DebuffSlow	0.406250	0.000000	0.437500	0.250000	832	0	896	64	
DebuffMaghdasMark	0.437500	0.000000	0.468750	0.250000	896	0	960	64	
DebuffChilled	0.468750	0.000000	0.500000	0.250000	960	0	1024	64	
DebuffBlind	0.500000	0.000000	0.531250	0.250000	1024	0	1088	64	
DebuffFeared	0.531250	0.000000	0.562500	0.250000	1088	0	1152	64	
DebuffRooted	0.562500	0.000000	0.593750	0.250000	1152	0	1216	64	
DebuffDOT	0.593750	0.000000	0.625000	0.250000	1216	0	1280	64	
Debuff_Enraged	0.625000	0.000000	0.656250	0.250000	1280	0	1344	64	
Debuff_BonePrison	0.656250	0.000000	0.687500	0.250000	1344	0	1408	64	
Debuff_CurseOfDestruction	0.687500	0.000000	0.718750	0.250000	1408	0	1472	64	
Debuff_Anguish	0.718750	0.000000	0.750000	0.250000	1472	0	1536	64	
Debuff_Hate	0.750000	0.000000	0.781250	0.250000	1536	0	1600	64	
Debuff_Pain	0.781250	0.000000	0.812500	0.250000	1600	0	1664	64	
Debuff_Mud	0.812500	0.000000	0.843750	0.250000	1664	0	1728	64	
Debuff_Rust	0.843750	0.000000	0.875000	0.250000	1728	0	1792	64	
Debuff_RingOfFire	0.875000	0.000000	0.906250	0.250000	1792	0	1856	64	
Debuff_Skunk	0.906250	0.000000	0.937500	0.250000	1856	0	1920	64	
Buff_Blessed	0.937500	0.000000	0.968750	0.250000	1920	0	1984	64	
Buff_Enlightened	0.968750	0.000000	1.000000	0.250000	1984	0	2048	64	
Buff_Fortune	0.000000	0.250000	0.031250	0.500000	0	64	64	128	
Buff_Frenzied	0.031250	0.250000	0.062500	0.500000	64	64	128	128	
Buff_Skill	0.062500	0.250000	0.093750	0.500000	128	64	192	128	
Buff_Scroll	0.093750	0.250000	0.125000	0.500000	192	64	256	128	
Buff_Fleeting	0.125000	0.250000	0.156250	0.500000	256	64	320	128	
Buff_Empowered	0.156250	0.250000	0.187500	0.500000	320	64	384	128	
Buff_Shrine_Casting	0.187500	0.250000	0.218750	0.500000	384	64	448	128	
Buff_Shrine_Damage	0.218750	0.250000	0.250000	0.500000	448	64	512	128	
Buff_Shrine_Electrified	0.250000	0.250000	0.281250	0.500000	512	64	576	128	
Buff_Shrine_Invulnerable	0.281250	0.250000	0.312500	0.500000	576	64	640	128	
Buff_Shrine_Running	0.312500	0.250000	0.343750	0.500000	640	64	704	128	
Wizard_Instability	0.343750	0.250000	0.375000	0.500000	704	64	768	128	
Buff_Monk_HandsOfLightning	0.000000	0.000000	0.031250	0.250000	0	0	64	64	
Debuff_Wiz_TemporalFlux	0.406250	0.250000	0.437500	0.500000	832	64	896	128	
Buff_Wiz_ArcaneDynamo	0.437500	0.250000	0.468750	0.500000	896	64	960	128	
Buff_Wiz_GalvanizingWard	0.468750	0.250000	0.500000	0.500000	960	64	1024	128	
Buff_WD_VisionQuest	0.500000	0.250000	0.531250	0.500000	1024	64	1088	128	
Buff_WD_RushEssence	0.531250	0.250000	0.562500	0.500000	1088	64	1152	128	
Buff_WD_GruesomeFeast	0.562500	0.250000	0.593750	0.500000	1152	64	1216	128	
Buff_WD_DeathTrance	0.593750	0.250000	0.625000	0.500000	1216	64	1280	128	
Buff_Monk_GuidingLight	0.625000	0.250000	0.656250	0.500000	1280	64	1344	128	
Buff_Monk_Resolve	0.656250	0.250000	0.687500	0.500000	1344	64	1408	128	
Buff_Monk_GuardiansPath	0.687500	0.250000	0.718750	0.500000	1408	64	1472	128	
Buff_DH_SteadyAim	0.718750	0.250000	0.750000	0.500000	1472	64	1536	128	
Buff_DH_ThrillOfTheHunt	0.750000	0.250000	0.781250	0.500000	1536	64	1600	128	
Buff_DH_Archery	0.781250	0.250000	0.812500	0.500000	1600	64	1664	128	
Buff_DH_Sharpshooter	0.812500	0.250000	0.843750	0.500000	1664	64	1728	128	
Buff_DH_Brooding	0.843750	0.250000	0.875000	0.500000	1728	64	1792	128	
Buff_DH_HotPursuit	0.875000	0.250000	0.906250	0.500000	1792	64	1856	128	
Buff_Barb_Relentless	0.906250	0.250000	0.937500	0.500000	1856	64	1920	128	
Buff_Barb_Brawler	0.937500	0.250000	0.968750	0.500000	1920	64	1984	128	
Buff_Barb_BerserkerRage	0.968750	0.250000	1.000000	0.500000	1984	64	2048	128	
Buff_InTown	0.000000	0.500000	0.031250	0.750000	0	128	64	192	
Buff_MagicFind	0.031250	0.500000	0.062500	0.750000	64	128	128	192	
Buff_XPboost	0.062500	0.500000	0.093750	0.750000	128	128	192	192	
Buff_PVP_Balance	0.093750	0.500000	0.125000	0.750000	192	128	256	192	
Debuff_Chicken	0.712891	0.500000	0.733398	0.667969	1460	128	1502	171	
Buff_Multiplayer	0.156250	0.500000	0.187500	0.750000	320	128	384	192	
Buff_PowerGlobe	0.187500	0.500000	0.218750	0.750000	384	128	448	192	
Buff_Sidekick	0.218750	0.500000	0.250000	0.750000	448	128	512	192	
Buff_Amulet_norm_unique_17	0.250000	0.500000	0.281250	0.750000	512	128	576	192	
Buff_Helm_norm_unique_15	0.281250	0.500000	0.312500	0.750000	576	128	640	192	
Buff_Helm_Set06_wizard_phoenix	0.312500	0.500000	0.343750	0.750000	640	128	704	192	
Buff_Mace_normal_unique_12	0.343750	0.500000	0.375000	0.750000	704	128	768	192	
Buff_Spiritstone_norm_unique_15	0.375000	0.500000	0.406250	0.750000	768	128	832	192	
Buff_Sword_norm_set_03	0.406250	0.500000	0.437500	0.750000	832	128	896	192	
Buff_TwoHandedSword_norm_unique_012	0.437500	0.500000	0.468750	0.750000	896	128	960	192	
Buff_Voodoomask_norm_unique_05	0.468750	0.500000	0.500000	0.750000	960	128	1024	192	
Buff_Belt_norm_unique_19	0.500000	0.500000	0.531250	0.750000	1024	128	1088	192	
