Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Buff_Legendary_Ring_norm_unique_01_p2	0.000000	0.000000	0.031250	0.500000	0	0	64	64	
Buff_Legendary_Unique_VoodooMask_001_x1_p2	0.031250	0.000000	0.062500	0.500000	64	0	128	64	
Buff_Legendary_Ring_Arcane_p2	0.062500	0.000000	0.093750	0.500000	128	0	192	64	
Buff_Legendary_Ring_Fire_p2	0.093750	0.000000	0.125000	0.500000	192	0	256	64	
Buff_Legendary_Ring_Frost_p2	0.125000	0.000000	0.156250	0.500000	256	0	320	64	
Buff_Legendary_Ring_Holy_p2	0.156250	0.000000	0.187500	0.500000	320	0	384	64	
Buff_Legendary_Ring_Lightning_p2	0.187500	0.000000	0.218750	0.500000	384	0	448	64	
Buff_Legendary_Ring_Physical_p2	0.218750	0.000000	0.250000	0.500000	448	0	512	64	
Buff_Legendary_Ring_Poison_p2	0.250000	0.000000	0.281250	0.500000	512	0	576	64	
Buff_Legendary_p2_sword_norm_unique_01_p2	0.281250	0.000000	0.312500	0.500000	576	0	640	64	
Buff_Anniversary_P2	0.312500	0.000000	0.343750	0.500000	640	0	704	64	
Buff_Legendary_Item_Potion_Health_p2	0.343750	0.000000	0.375000	0.500000	704	0	768	64	
Buff_Legendary_MonkBracer_p2	0.375000	0.000000	0.406250	0.500000	768	0	832	64	
Buff_Legendary_Ring_set001_p2	0.406250	0.000000	0.437500	0.500000	832	0	896	64	
Buff_Legendary_Ring_set002_p2	0.437500	0.000000	0.468750	0.500000	896	0	960	64	
Buff_Legendary_TalRasha_p2	0.468750	0.000000	0.500000	0.500000	960	0	1024	64	
Buff_Legendary_Helm_Demonhunter_set05_p2	0.500000	0.000000	0.531250	0.500000	1024	0	1088	64	
Buff_Legendary_p3_Belt_norm_unique_03	0.531250	0.000000	0.562500	0.500000	1088	0	1152	64	
Buff_Legendary_orb_unique_base_05	0.562500	0.000000	0.593750	0.500000	1152	0	1216	64	
Buff_FistWeapons_norm_unique_11_p3	0.593750	0.000000	0.625000	0.500000	1216	0	1280	64	
Buff_FistWeapons_norm_unique_12_p3	0.625000	0.000000	0.656250	0.500000	1280	0	1344	64	
Buff_p3_Bracers_norm_unique_03_p3	0.656250	0.000000	0.687500	0.500000	1344	0	1408	64	
Buff_p3_Bracers_norm_unique_02_p3	0.687500	0.000000	0.718750	0.500000	1408	0	1472	64	
Buff_p4_Unique_Sword_1H_107_x1	0.718750	0.000000	0.750000	0.500000	1472	0	1536	64	
Buff_p4_Unique_Chest_012	0.750000	0.000000	0.781250	0.500000	1536	0	1600	64	
Buff_p4_HelmSet06_wizard_phoenix	0.781250	0.000000	0.812500	0.500000	1600	0	1664	64	
Buff_p4_Unique_Ring_02	0.812500	0.000000	0.843750	0.500000	1664	0	1728	64	
Buff_p4_Unique_Amulet_008_Defense	0.843750	0.000000	0.875000	0.500000	1728	0	1792	64	
Buff_p4_Unique_Ring_013_Offense	0.875000	0.000000	0.906250	0.500000	1792	0	1856	64	
Buff_p4_Unique_Ring_05	0.906250	0.000000	0.937500	0.500000	1856	0	1920	64	
Buff_p4_HandXBow_norm_unique_02_p2	0.937500	0.000000	0.968750	0.500000	1920	0	1984	64	
P6_Buff_Legendary_Blood_LifeForDamage	0.968750	0.000000	1.000000	0.500000	1984	0	2048	64	
P6_Buff_Legendary_Blood_MaxLife	0.000000	0.500000	0.031250	1.000000	0	64	64	128	
P6_Buff_Legendary_Bone_DamageReduction	0.031250	0.500000	0.062500	1.000000	64	64	128	128	
P6_Buff_Legendary_Plague_Damage	0.062500	0.500000	0.093750	1.000000	128	64	192	128	
P6_Buff_Legendary_Plague_BoneSpear	0.093750	0.500000	0.125000	1.000000	192	64	256	128	
P6_Buff_Legendary_chestArmor_norm_unique_22	0.125000	0.500000	0.156250	1.000000	256	64	320	128	
P6_Buff_Legendary_gloves_norm_unique_22	0.156250	0.500000	0.187500	1.000000	320	64	384	128	
P6_Buff_Legendary_helm_norm_unique_22	0.187500	0.500000	0.218750	1.000000	384	64	448	128	
P6_Buff_Legendary_Unique_Scythe2H_04	0.218750	0.500000	0.250000	1.000000	448	64	512	128	
P6_Buff_Legendary_shoulderPads_norm_unique_21	0.250000	0.500000	0.281250	1.000000	512	64	576	128	
P6_Buff_Legendary_Unique_Scythe2H_03	0.281250	0.500000	0.312500	1.000000	576	64	640	128	
P6_Buff_Legendary_Unique_Amulet_01	0.312500	0.500000	0.343750	1.000000	640	64	704	128	
P6_Buff_ItemPassive_Unique_Ring_001	0.343750	0.500000	0.375000	1.000000	704	64	768	128	
P6_Debuff_RaiseGolem	0.375000	0.500000	0.406250	1.000000	768	64	832	128	
P6_Buff_SetDungeon	0.406250	0.500000	0.437500	1.000000	832	64	896	128	
P6_Buff_ChallengeRift	0.437500	0.500000	0.468750	1.000000	896	64	960	128	
P6_Buff_SkeletalMage	0.468750	0.500000	0.500000	1.000000	960	64	1024	128	
Buff_p4_SetDungTimer	0.500000	0.500000	0.531250	1.000000	1024	64	1088	128	
