Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
TextBtnNormalLeftCap	0.439453	0.527344	0.501953	0.632813	450	270	514	324	
TextBtnNormalCenter	0.572266	0.527344	0.603516	0.632813	586	270	618	324	
TextBtnNormalCenter2	0.712891	0.527344	0.744141	0.632813	730	270	762	324	
TextBtnNormalCenter3	0.748047	0.527344	0.779297	0.632813	766	270	798	324	
TextBtnNormalCenter4	0.783203	0.527344	0.814453	0.632813	802	270	834	324	
TextBtnNormalRightCap	0.306641	0.527344	0.369141	0.632813	314	270	378	324	
TextBtnMouseoverLeftCap	0.505859	0.527344	0.568359	0.632813	518	270	582	324	
TextBtnMouseoverCenter	0.818359	0.527344	0.849609	0.632813	838	270	870	324	
TextBtnMouseoverCenter2	0.853516	0.527344	0.884766	0.632813	874	270	906	324	
TextBtnMouseoverCenter3	0.958984	0.527344	0.990234	0.632813	982	270	1014	324	
TextBtnMouseoverCenter4	0.607422	0.527344	0.638672	0.632813	622	270	654	324	
TextBtnMouseoverRightCap	0.912109	0.402344	0.974609	0.507813	934	206	998	260	
TextBtnPushedLeftCap	0.845703	0.402344	0.908203	0.507813	866	206	930	260	
TextBtnPushedCenter	0.642578	0.527344	0.673828	0.632813	658	270	690	324	
TextBtnPushedCenter2	0.677734	0.527344	0.708984	0.632813	694	270	726	324	
TextBtnPushedCenter3	0.923828	0.527344	0.955078	0.632813	946	270	978	324	
TextBtnPushedCenter4	0.888672	0.527344	0.919922	0.632813	910	270	942	324	
TextBtnPushedRightCap	0.373047	0.527344	0.435547	0.632813	382	270	446	324	
ButtonCancelNormal	0.142578	0.710938	0.181641	0.789063	146	364	186	404	
ButtonCancelMouseover	0.185547	0.710938	0.224609	0.789063	190	364	230	404	
ButtonCancelPushed	0.228516	0.710938	0.267578	0.789063	234	364	274	404	
ButtonCloseNormal	0.271484	0.710938	0.310547	0.789063	278	364	318	404	
