Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
CrusaderSelectNormal	0.001953	0.003906	0.126953	0.454102	4	4	260	465	
CrusaderSelectHighlight	0.130859	0.003906	0.255859	0.454102	268	4	524	465	
SlayerSelectNormal	0.365723	0.461914	0.483398	0.798828	749	473	990	818	
SlayerSelectHighlight	0.487305	0.461914	0.604980	0.798828	998	473	1239	818	
RangerSelectNormal	0.517578	0.003906	0.642578	0.454102	1060	4	1316	465	
RangerSelectHighlight	0.646484	0.003906	0.771484	0.454102	1324	4	1580	465	
WarlockSelectNormal	0.388672	0.003906	0.513672	0.454102	796	4	1052	465	
WarlockSelectHighlight	0.259766	0.003906	0.384766	0.454102	532	4	788	465	
WizardSelectNormal	0.775391	0.003906	0.893066	0.367188	1588	4	1829	376	
WizardSelectHighlight	0.001953	0.461914	0.119629	0.825195	4	473	245	845	
WitchdoctorSelectNormal	0.123535	0.461914	0.240723	0.802734	253	473	493	822	
WitchdoctorSelectHighlight	0.244629	0.461914	0.361816	0.802734	501	473	741	822	
