Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Chat_Balloon_Bottom	0.003906	0.062500	0.042969	0.687500	4	4	44	44	
Chat_Balloon_Center	0.050781	0.062500	0.089844	0.687500	52	4	92	44	
Chat_Balloon_Left	0.097656	0.062500	0.136719	0.687500	100	4	140	44	
Chat_Balloon_LLcorner	0.144531	0.062500	0.183594	0.687500	148	4	188	44	
Chat_Balloon_LRcorner	0.191406	0.062500	0.230469	0.687500	196	4	236	44	
Chat_Balloon_Pointer_Down	0.238281	0.062500	0.277344	0.687500	244	4	284	44	
Chat_Balloon_Pointer_Left	0.518555	0.062500	0.556641	0.671875	531	4	570	43	
Chat_Balloon_Pointer_Right	0.472656	0.062500	0.510742	0.671875	484	4	523	43	
Chat_Balloon_Pointer_Up	0.564453	0.062500	0.602539	0.671875	578	4	617	43	
Chat_Balloon_Right	0.425781	0.062500	0.464844	0.687500	436	4	476	44	
Chat_Balloon_Top	0.378906	0.062500	0.417969	0.687500	388	4	428	44	
Chat_Balloon_ULcorner	0.332031	0.062500	0.371094	0.687500	340	4	380	44	
Chat_Balloon_URcorner	0.285156	0.062500	0.324219	0.687500	292	4	332	44	
