Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
ChatBackroundStrip	0.001953	0.015625	0.635254	0.265625	4	4	1301	68	
ChatButton_Down_Mouseover	0.265625	0.296875	0.285156	0.453125	544	76	584	116	
ChatButton_Down_Normal	0.242188	0.296875	0.261719	0.453125	496	76	536	116	
ChatButton_Down_Pushed	0.967285	0.015625	0.986816	0.171875	1981	4	2021	44	
ChatButton_End_Mouseover	0.943848	0.015625	0.963379	0.171875	1933	4	1973	44	
ChatButton_End_Normal	0.920410	0.015625	0.939941	0.171875	1885	4	1925	44	
ChatButton_End_Pushed	0.756348	0.015625	0.775879	0.171875	1549	4	1589	44	
ChatButton_Up_Mouseover	0.639160	0.015625	0.658691	0.171875	1309	4	1349	44	
ChatButton_Up_Normal	0.662598	0.015625	0.682129	0.171875	1357	4	1397	44	
ChatButton_Up_Pushed	0.686035	0.015625	0.705566	0.171875	1405	4	1445	44	
ChatButton_Right_Mouseover	0.709473	0.015625	0.729004	0.171875	1453	4	1493	44	
ChatButton_Right_Normal	0.732910	0.015625	0.752441	0.171875	1501	4	1541	44	
ChatButton_Right_Pushed	0.289063	0.296875	0.308594	0.453125	592	76	632	116	
ChatButton_Settings_Mouseover	0.779785	0.015625	0.799316	0.171875	1597	4	1637	44	
ChatButton_Settings_Normal	0.803223	0.015625	0.822754	0.171875	1645	4	1685	44	
ChatButton_Settings_Pushed	0.826660	0.015625	0.846191	0.171875	1693	4	1733	44	
ChatButton_Glow	0.850098	0.015625	0.869629	0.171875	1741	4	1781	44	
ChatNotification_Up	0.873535	0.015625	0.893066	0.171875	1789	4	1829	44	
ChatNotification_Over	0.896973	0.015625	0.916504	0.171875	1837	4	1877	44	
ChatButton_Notification	0.162109	0.296875	0.198242	0.554688	332	76	406	142	
ChatButton_Up_74x66	0.122070	0.296875	0.158203	0.554688	250	76	324	142	
ChatButton_Over_74x66	0.082031	0.296875	0.118164	0.554688	168	76	242	142	
ChatButton_Down_74x66	0.041992	0.296875	0.078125	0.554688	86	76	160	142	
ChatButton_Selected_74x66	0.001953	0.296875	0.038086	0.554688	4	76	78	142	
ChatButton_Disabled_74x66	0.202148	0.296875	0.238281	0.554688	414	76	488	142	
