Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Console_HeroCreate_Divider	0.438965	0.003906	0.610840	0.062500	899	2	1251	32	
Console_HeroCreate_VideoFrame	0.228027	0.527344	0.360840	0.830078	467	270	739	425	
Console_HeroCreate_GenderFemaleUp	0.438965	0.230469	0.484863	0.414063	899	118	993	212	
Console_HeroCreate_GenderFemaleSelected	0.486816	0.230469	0.532715	0.414063	997	118	1091	212	
Console_HeroCreate_GenderMaleUp	0.582520	0.230469	0.628418	0.414063	1193	118	1287	212	
Console_HeroCreate_GenderMaleSelected	0.534668	0.230469	0.580566	0.414063	1095	118	1189	212	
Console_Cinematics_VideoFrame	0.228027	0.003906	0.437012	0.519531	467	2	895	266	
Console_HardcoreHeroWarning	0.000977	0.003906	0.226074	0.943359	2	2	463	483	
Console_Nameplate_Ready	0.602051	0.070313	0.614746	0.134766	1233	36	1259	69	
Console_Nameplate_NotReady	0.587402	0.070313	0.600098	0.134766	1203	36	1229	69	
Console_Nameplate_Error	0.438965	0.070313	0.585449	0.222656	899	36	1199	114	
Console_HeroType_StandardUp	0.710449	0.230469	0.748535	0.384766	1455	118	1533	197	
Console_HeroType_StandardSelected	0.750488	0.230469	0.788574	0.384766	1537	118	1615	197	
Console_HeroType_HardcoreUp	0.790527	0.230469	0.828613	0.384766	1619	118	1697	197	
Console_HeroType_HardcoreSelected	0.830566	0.230469	0.868652	0.384766	1701	118	1779	197	
Console_HeroType_SeasonalUp	0.870605	0.230469	0.908691	0.384766	1783	118	1861	197	
Console_HeroType_SeasonalSelected	0.910645	0.230469	0.948730	0.384766	1865	118	1943	197	
Console_HeroType_HardcoreSeasonalUp	0.670410	0.230469	0.708496	0.384766	1373	118	1451	197	
Console_HeroType_HardcoreSeasonalSelected	0.630371	0.230469	0.668457	0.384766	1291	118	1369	197	
