Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Console_Artisan_WeaponSlot_Fist	0.309570	0.801758	0.367188	0.859375	317	821	376	880	
Console_Artisan_WeaponSlot_FistSelected	0.740234	0.494141	0.797852	0.551758	758	506	817	565	
Console_Artisan_WeaponSlot_Bow	0.801758	0.494141	0.859375	0.551758	821	506	880	565	
Console_Artisan_WeaponSlot_BowSelected	0.678711	0.555664	0.736328	0.613281	695	569	754	628	
Console_Artisan_WeaponSlot_Sword	0.740234	0.555664	0.797852	0.613281	758	569	817	628	
Console_Artisan_WeaponSlot_SwordSelected	0.801758	0.555664	0.859375	0.613281	821	569	880	628	
Console_Artisan_WeaponSlot_Crossbow	0.863281	0.555664	0.920898	0.613281	884	569	943	628	
Console_Artisan_WeaponSlot_CrossbowSelected	0.924805	0.555664	0.982422	0.613281	947	569	1006	628	
Console_Artisan_WeaponSlot_Dagger	0.186523	0.617188	0.244141	0.674805	191	632	250	691	
Console_Artisan_WeaponSlot_DaggerSelected	0.125000	0.617188	0.182617	0.674805	128	632	187	691	
Console_Artisan_WeaponSlot_Mace	0.432617	0.555664	0.490234	0.613281	443	569	502	628	
Console_Artisan_WeaponSlot_MaceSelected	0.371094	0.555664	0.428711	0.613281	380	569	439	628	
Console_Artisan_WeaponSlot_Wand	0.309570	0.555664	0.367188	0.613281	317	569	376	628	
Console_Artisan_WeaponSlot_WandSelected	0.248047	0.555664	0.305664	0.613281	254	569	313	628	
Console_Artisan_WeaponSlot_MightyWeapon	0.186523	0.555664	0.244141	0.613281	191	569	250	628	
Console_Artisan_WeaponSlot_MightyWeaponSelected	0.125000	0.555664	0.182617	0.613281	128	569	187	628	
Console_Artisan_WeaponSlot_Staff	0.063477	0.555664	0.121094	0.613281	65	569	124	628	
Console_Artisan_WeaponSlot_StaffSelected	0.001953	0.555664	0.059570	0.613281	2	569	61	628	
Console_Artisan_WeaponSlot_Axe	0.924805	0.494141	0.982422	0.551758	947	506	1006	565	
Console_Artisan_WeaponSlot_AxeSelected	0.863281	0.494141	0.920898	0.551758	884	506	943	565	
