Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Console_PressStart	0.000977	0.777344	0.440430	0.880859	2	398	902	451	
Console_TextFX_DestructionJP	0.471680	0.003906	0.940430	0.066406	966	2	1926	34	
Console_TextFX_TrapJP	0.000977	0.074219	0.469727	0.136719	2	38	962	70	
Console_TextFX_Massacre1JP	0.471680	0.074219	0.940430	0.136719	966	38	1926	70	
Console_TextFX_Massacre2JP	0.000977	0.144531	0.469727	0.207031	2	74	962	106	
Console_TextFX_Massacre3JP	0.471680	0.144531	0.940430	0.207031	966	74	1926	106	
Console_TextFX_Massacre4JP	0.000977	0.214844	0.469727	0.277344	2	110	962	142	
Console_TextFX_Massacre5JP	0.471680	0.214844	0.940430	0.277344	966	110	1926	142	
Console_TextFX_Massacre6JP	0.000977	0.285156	0.469727	0.347656	2	146	962	178	
Console_TextFX_Massacre7JP	0.471680	0.285156	0.940430	0.347656	966	146	1926	178	
Console_TextFX_Massacre8JP	0.000977	0.355469	0.469727	0.417969	2	182	962	214	
Console_TextFX_Massacre9JP	0.000977	0.003906	0.469727	0.066406	2	2	962	34	
Console_TextFX_Massacre10JP	0.000977	0.425781	0.469727	0.488281	2	218	962	250	
Console_TextFX_MassacreReport1JP	0.471680	0.425781	0.940430	0.488281	966	218	1926	250	
Console_TextFX_MassacreReport2JP	0.000977	0.496094	0.469727	0.558594	2	254	962	286	
Console_TextFX_MassacreReport3JP	0.471680	0.496094	0.940430	0.558594	966	254	1926	286	
Console_TextFX_MassacreReport4JP	0.000977	0.566406	0.469727	0.628906	2	290	962	322	
Console_TextFX_MassacreReport5JP	0.471680	0.566406	0.940430	0.628906	966	290	1926	322	
Console_TextFX_MassacreReport6JP	0.000977	0.636719	0.469727	0.699219	2	326	962	358	
Console_TextFX_MassacreReport7JP	0.471680	0.636719	0.940430	0.699219	966	326	1926	358	
Console_TextFX_MassacreReport8JP	0.000977	0.707031	0.469727	0.769531	2	362	962	394	
Console_TextFX_MassacreReport9JP	0.471680	0.707031	0.940430	0.769531	966	362	1926	394	
Console_TextFX_MassacreReport10JP	0.471680	0.355469	0.940430	0.417969	966	182	1926	214	
