Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Console_TextFX_Glow1	0.194824	0.512695	0.386719	0.562012	399	1050	792	1151	
Console_TextFX_Glow2	0.863770	0.161133	0.979492	0.191406	1769	330	2006	392	
Console_TextFX_Glow3	0.863770	0.256836	0.963867	0.295898	1769	526	1974	606	
Console_TextFX_Glow4	0.863770	0.000977	0.980469	0.052734	1769	2	2008	108	
Console_TextFX_Glow5	0.000977	0.512695	0.192871	0.566406	2	1050	395	1160	
Console_TextFX_GlowP1	0.863770	0.086914	0.979492	0.117188	1769	178	2006	240	
Console_TextFX_GlowP2	0.863770	0.193359	0.979492	0.223633	1769	396	2006	458	
Console_TextFX_GlowP3	0.863770	0.054688	0.979492	0.084961	1769	112	2006	174	
Console_TextFX_GlowP4	0.863770	0.128906	0.979492	0.159180	1769	264	2006	326	
Console_TextFX_GlowSeasons	0.149414	0.568359	0.295898	0.714844	306	1164	606	1464	
Console_TextFX_GlowSeasonsHardcore	0.000977	0.568359	0.147461	0.714844	2	1164	302	1464	
Console_TextFX_BigStamp_Massacre1	0.576172	0.384766	0.861816	0.510742	1180	788	1765	1046	
Console_TextFX_BigStamp_Massacre2	0.288574	0.384766	0.574219	0.510742	591	788	1176	1046	
Console_TextFX_BigStamp_Massacre3	0.000977	0.384766	0.286621	0.510742	2	788	587	1046	
Console_TextFX_BigStamp_Massacre4	0.000977	0.000977	0.286621	0.126953	2	2	587	260	
Console_TextFX_BigStamp_Massacre5	0.288574	0.256836	0.574219	0.382813	591	526	1176	784	
Console_TextFX_BigStamp_Massacre6	0.000977	0.256836	0.286621	0.382813	2	526	587	784	
Console_TextFX_BigStamp_Massacre7	0.576172	0.128906	0.861816	0.254883	1180	264	1765	522	
Console_TextFX_BigStamp_Massacre8	0.288574	0.128906	0.574219	0.254883	591	264	1176	522	
Console_TextFX_BigStamp_Massacre9	0.000977	0.128906	0.286621	0.254883	2	264	587	522	
Console_TextFX_BigStamp_Massacre10	0.576172	0.000977	0.861816	0.126953	1180	2	1765	260	
Console_TextFX_BigStamp_MassacreTimerBG	0.863770	0.225586	0.933594	0.244629	1769	462	1912	501	
Console_TextFX_BigStamp_MassacreTimerDot	0.981445	0.054688	0.997070	0.070313	2010	112	2042	144	
Console_TextFX_BigStamp_MassacreTimerDot1	0.981445	0.086914	0.997070	0.102539	2010	178	2042	210	
Console_TextFX_BigStamp_MassacreTimerDot2	0.982422	0.036133	0.998047	0.051758	2012	74	2044	106	
Console_TextFX_BigStamp_MassacreTimerDot3	0.982422	0.000977	0.998047	0.016602	2012	2	2044	34	
Console_TextFX_BigStamp_MassacreTimerDot4	0.982422	0.018555	0.998047	0.034180	2012	38	2044	70	
Console_TextFX_BigStamp_MassacreTitleBG	0.288574	0.000977	0.574219	0.126953	591	2	1176	260	
PC_TextFX_BigStamp_Massacre1	0.576172	0.256836	0.861816	0.382813	1180	526	1765	784	
