Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
EditBoxNormal	0.001953	0.171875	0.343750	0.367188	4	44	704	94	
EditBox2Normal	0.001953	0.015625	0.501953	0.140625	4	4	1028	36	
EditBoxCursor01	0.728516	0.015625	0.736328	0.078125	1492	4	1508	20	
EditBoxCursor02	0.716797	0.015625	0.724609	0.078125	1468	4	1484	20	
Grey64Square	0.107422	0.671875	0.138672	0.921875	220	172	284	236	
Black64Square	0.142578	0.671875	0.173828	0.921875	292	172	356	236	
Blue64Square	0.212891	0.671875	0.244141	0.921875	436	172	500	236	
CheckboxNormal	0.177734	0.671875	0.208984	0.921875	364	172	428	236	
CheckboxMouseover	0.001953	0.671875	0.033203	0.921875	4	172	68	236	
CheckboxNormalChecked	0.037109	0.671875	0.068359	0.921875	76	172	140	236	
CheckboxMouseoverChecked	0.072266	0.671875	0.103516	0.921875	148	172	212	236	
ScrollSmallUp_Mouseover	0.835938	0.171875	0.855469	0.328125	1712	44	1752	84	
ScrollSmallUp_Normal	0.859375	0.171875	0.878906	0.328125	1760	44	1800	84	
ScrollSmallUp_Pushed	0.789063	0.171875	0.808594	0.328125	1616	44	1656	84	
ScrollSmallDown_Mouseover	0.718750	0.171875	0.738281	0.328125	1472	44	1512	84	
ScrollSmallDown_Normal	0.812500	0.171875	0.832031	0.328125	1664	44	1704	84	
ScrollSmallDown_Pushed	0.695313	0.171875	0.714844	0.328125	1424	44	1464	84	
ScrollSmallMiddle	0.648438	0.171875	0.667969	0.328125	1328	44	1368	84	
ScrollbarThumbMouseover	0.914063	0.171875	0.925781	0.308594	1872	44	1896	79	
ScrollbarThumbNormal	0.882813	0.171875	0.894531	0.308594	1808	44	1832	79	
ScrollbarThumbPushed	0.898438	0.171875	0.910156	0.308594	1840	44	1864	79	
ComboBtn_Up_Mouseover	0.652344	0.015625	0.664551	0.113281	1336	4	1361	29	
ComboBtn_Up_Normal	0.668457	0.015625	0.680664	0.113281	1369	4	1394	29	
ComboBtn_Up_Pushed	0.636230	0.015625	0.648438	0.113281	1303	4	1328	29	
ComboBtn_Down_Mouseover	0.700684	0.015625	0.712891	0.113281	1435	4	1460	29	
ComboBtn_Down_Normal	0.620117	0.015625	0.632324	0.113281	1270	4	1295	29	
ComboBtn_Down_Pushed	0.684570	0.015625	0.696777	0.113281	1402	4	1427	29	
ExpandCollapse_PlusIcon_Up	0.601074	0.015625	0.616211	0.121094	1231	4	1262	31	
ExpandCollapse_PlusIcon_Over	0.543945	0.015625	0.559082	0.121094	1114	4	1145	31	
ExpandCollapse_PlusIcon_Disabled	0.524902	0.015625	0.540039	0.121094	1075	4	1106	31	
ExpandCollapse_MinusIcon_Up	0.582031	0.015625	0.597168	0.121094	1192	4	1223	31	
ExpandCollapse_MinusIcon_Over	0.562988	0.015625	0.578125	0.121094	1153	4	1184	31	
ExpandCollapse_MinusIcon_Disabled	0.505859	0.015625	0.520996	0.121094	1036	4	1067	31	
ScrollSmallThumb_Mouseover	0.671875	0.171875	0.691406	0.328125	1376	44	1416	84	
ScrollSmallThumb_Normal	0.742188	0.171875	0.761719	0.328125	1520	44	1560	84	
ScrollSmallThumb_Pushed	0.765625	0.171875	0.785156	0.328125	1568	44	1608	84	
SliderBarHorizontalNormal	0.498047	0.171875	0.644531	0.328125	1020	44	1320	84	
SliderBarHorizontalMouseover	0.347656	0.171875	0.494141	0.328125	712	44	1012	84	
ScrollSmallThumbPointer_Mouseover	0.675293	0.398438	0.694824	0.593750	1383	102	1423	152	
ScrollSmallThumbPointer_Normal	0.722168	0.398438	0.741699	0.593750	1479	102	1519	152	
ScrollSmallThumbPointer_Pushed	0.698730	0.398438	0.718262	0.593750	1431	102	1471	152	
SliderBarHorizontalPointerNormal	0.524902	0.398438	0.671387	0.593750	1075	102	1375	152	
SliderBarHorizontalPointerMouseover	0.374512	0.398438	0.520996	0.593750	767	102	1067	152	
InputField_62x350	0.199707	0.398438	0.370605	0.640625	409	102	759	164	
InputField_62x397	0.001953	0.398438	0.195801	0.640625	4	102	401	164	
