Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
CraftingBase	0.003906	0.001953	0.579102	0.587891	4	4	593	1204	
CraftingTooltip	0.586914	0.001953	0.992188	0.451172	601	4	1016	924	
Accent_Anvil	0.269531	0.599609	0.318359	0.622070	276	1228	326	1274	
Accent_Check	0.809570	0.474121	0.837891	0.488281	829	971	858	1000	
CraftSlot_Complete	0.220703	0.643555	0.310547	0.707031	226	1318	318	1448	
CraftSlot_Creating	0.318359	0.643555	0.408203	0.707031	326	1318	418	1448	
CraftSlot_Empty	0.123047	0.643555	0.212891	0.707031	126	1318	218	1448	
CraftSlot_Order	0.416016	0.643555	0.505859	0.707031	426	1318	518	1448	
Create_Progressbar_Empty	0.453125	0.591797	0.894531	0.595703	464	1212	916	1220	
Create_Progressbar_Full	0.003906	0.591797	0.445313	0.595703	4	1212	456	1220	
CreateBtn_Inactive	0.586914	0.455078	0.801758	0.470215	601	932	821	963	
CreateBtn_Mouseover	0.586914	0.512207	0.801758	0.527344	601	1049	821	1080	
CreateBtn_Normal	0.586914	0.474121	0.801758	0.489258	601	971	821	1002	
CreateBtn_Pushed	0.586914	0.493164	0.801758	0.508301	601	1010	821	1041	
Material_Slot	0.209961	0.599609	0.261719	0.625488	215	1228	268	1281	
PagingBlock	0.809570	0.455078	0.897461	0.465820	829	932	919	954	
PageBackBtn_Inactive	0.962891	0.474121	0.984375	0.484863	986	971	1008	993	
PageBackBtn_Mouseover	0.963867	0.455078	0.985352	0.465820	987	932	1009	954	
PageBackBtn_Normal	0.904297	0.474121	0.925781	0.484863	926	971	948	993	
PageBackBtn_Pushed	0.845703	0.474121	0.867188	0.484863	866	971	888	993	
PageForwardBtn_Inactive	0.875000	0.474121	0.896484	0.484863	896	971	918	993	
PageForwardBtn_Mouseover	0.933594	0.474121	0.955078	0.484863	956	971	978	993	
PageForwardBtn_Normal	0.934570	0.455078	0.956055	0.465820	957	932	979	954	
PageForwardBtn_Pushed	0.905273	0.455078	0.926758	0.465820	927	932	949	954	
Recipe_Mouseover	0.003906	0.599609	0.202148	0.639648	4	1228	207	1310	
Recipe_Normal	0.586914	0.531250	0.785156	0.571289	601	1088	804	1170	
Recipe_Selected	0.792969	0.531250	0.991211	0.571289	812	1088	1015	1170	
Recipe_Quality_Artifact	0.513672	0.643555	0.576172	0.699707	526	1318	590	1433	
Recipe_Quality_Magic	0.583984	0.643555	0.646484	0.699707	598	1318	662	1433	
Recipe_Quality_Legendary	0.654297	0.643555	0.716797	0.699707	670	1318	734	1433	
Recipe_Quality_Rare	0.724609	0.643555	0.787109	0.699707	742	1318	806	1433	
Recipe_Tag	0.003906	0.643555	0.115234	0.721680	4	1318	118	1478	
