Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
EnemyHPbar01_Base	0.001953	0.605469	0.122070	0.789063	4	155	250	202	
EnemyHPbar01_Meter_Empty	0.882813	0.015625	0.975586	0.082031	1808	4	1998	21	
EnemyHPbar01_Meter_Full	0.882813	0.121094	0.975586	0.187500	1808	31	1998	48	
EnemyHPbar02_Base	0.001953	0.390625	0.147461	0.574219	4	100	302	147	
EnemyHPbar02_Meter_Empty	0.835938	0.230469	0.958984	0.304688	1712	59	1964	78	
EnemyHPbar02_Meter_Full	0.151367	0.390625	0.274414	0.464844	310	100	562	119	
EnemyHPbar03_Base	0.497070	0.015625	0.709473	0.199219	1018	4	1453	51	
EnemyHPbar03_Meter_Empty	0.497070	0.230469	0.662598	0.304688	1018	59	1357	78	
EnemyHPbar03_Meter_Full	0.713379	0.121094	0.878906	0.195313	1461	31	1800	50	
EnemyHPbar04_Base	0.001953	0.015625	0.245605	0.359375	4	4	503	92	
EnemyHPbar04b_Base	0.249512	0.015625	0.493164	0.359375	511	4	1010	92	
EnemyHPbar04_Meter_Empty	0.713379	0.015625	0.878906	0.089844	1461	4	1800	23	
EnemyHPbar04_Meter_Full	0.666504	0.230469	0.832031	0.304688	1365	59	1704	78	
