Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Tab_EquipmentManager_30_off	0.003906	0.007813	0.060547	0.147461	8	8	124	151	
Tab_EquipmentManager_30_over	0.068359	0.007813	0.125000	0.147461	140	8	256	151	
Tab_EquipmentManager_30_down	0.132813	0.007813	0.189453	0.147461	272	8	388	151	
Tab_EquipmentManager_30_offEquipped	0.197266	0.007813	0.253906	0.147461	404	8	520	151	
Tab_EquipmentManager_30_overEquipped	0.261719	0.007813	0.318359	0.147461	536	8	652	151	
Tab_EquipmentManager_30_downEquipped	0.326172	0.007813	0.382813	0.147461	668	8	784	151	
Tab_EquipmentManager_31_off	0.390625	0.007813	0.447266	0.147461	800	8	916	151	
Tab_EquipmentManager_31_over	0.455078	0.007813	0.511719	0.147461	932	8	1048	151	
Tab_EquipmentManager_31_down	0.519531	0.007813	0.576172	0.147461	1064	8	1180	151	
Tab_EquipmentManager_31_offEquipped	0.583984	0.007813	0.640625	0.147461	1196	8	1312	151	
Tab_EquipmentManager_31_overEquipped	0.648438	0.007813	0.705078	0.147461	1328	8	1444	151	
Tab_EquipmentManager_31_downEquipped	0.712891	0.007813	0.769531	0.147461	1460	8	1576	151	
Tab_EquipmentManager_32_off	0.777344	0.007813	0.833984	0.147461	1592	8	1708	151	
Tab_EquipmentManager_32_over	0.841797	0.007813	0.898438	0.147461	1724	8	1840	151	
Tab_EquipmentManager_32_down	0.906250	0.007813	0.962891	0.147461	1856	8	1972	151	
Tab_EquipmentManager_32_offEquipped	0.003906	0.163086	0.060547	0.302734	8	167	124	310	
Tab_EquipmentManager_32_overEquipped	0.068359	0.163086	0.125000	0.302734	140	167	256	310	
Tab_EquipmentManager_32_downEquipped	0.132813	0.163086	0.189453	0.302734	272	167	388	310	
Tab_EquipmentManager_33_off	0.197266	0.163086	0.253906	0.302734	404	167	520	310	
Tab_EquipmentManager_33_over	0.261719	0.163086	0.318359	0.302734	536	167	652	310	
Tab_EquipmentManager_33_down	0.326172	0.163086	0.382813	0.302734	668	167	784	310	
Tab_EquipmentManager_33_offEquipped	0.390625	0.163086	0.447266	0.302734	800	167	916	310	
