Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Tab_EquipmentManager_01_off	0.003906	0.003906	0.060547	0.073730	8	8	124	151	
Tab_EquipmentManager_01_over	0.068359	0.003906	0.125000	0.073730	140	8	256	151	
Tab_EquipmentManager_01_down	0.132813	0.003906	0.189453	0.073730	272	8	388	151	
Tab_EquipmentManager_01_offEquipped	0.197266	0.003906	0.253906	0.073730	404	8	520	151	
Tab_EquipmentManager_01_overEquipped	0.261719	0.003906	0.318359	0.073730	536	8	652	151	
Tab_EquipmentManager_01_downEquipped	0.326172	0.003906	0.382813	0.073730	668	8	784	151	
Tab_EquipmentManager_02_off	0.390625	0.003906	0.447266	0.073730	800	8	916	151	
Tab_EquipmentManager_02_over	0.455078	0.003906	0.511719	0.073730	932	8	1048	151	
Tab_EquipmentManager_02_down	0.519531	0.003906	0.576172	0.073730	1064	8	1180	151	
Tab_EquipmentManager_02_offEquipped	0.583984	0.003906	0.640625	0.073730	1196	8	1312	151	
Tab_EquipmentManager_02_overEquipped	0.648438	0.003906	0.705078	0.073730	1328	8	1444	151	
Tab_EquipmentManager_02_downEquipped	0.712891	0.003906	0.769531	0.073730	1460	8	1576	151	
Tab_EquipmentManager_03_off	0.777344	0.003906	0.833984	0.073730	1592	8	1708	151	
Tab_EquipmentManager_03_over	0.841797	0.003906	0.898438	0.073730	1724	8	1840	151	
Tab_EquipmentManager_03_down	0.906250	0.003906	0.962891	0.073730	1856	8	1972	151	
Tab_EquipmentManager_03_offEquipped	0.003906	0.081543	0.060547	0.151367	8	167	124	310	
Tab_EquipmentManager_03_overEquipped	0.068359	0.081543	0.125000	0.151367	140	167	256	310	
Tab_EquipmentManager_03_downEquipped	0.132813	0.081543	0.189453	0.151367	272	167	388	310	
Tab_EquipmentManager_04_off	0.197266	0.081543	0.253906	0.151367	404	167	520	310	
Tab_EquipmentManager_04_over	0.261719	0.081543	0.318359	0.151367	536	167	652	310	
Tab_EquipmentManager_04_down	0.326172	0.081543	0.382813	0.151367	668	167	784	310	
Tab_EquipmentManager_04_offEquipped	0.390625	0.081543	0.447266	0.151367	800	167	916	310	
Tab_EquipmentManager_04_overEquipped	0.455078	0.081543	0.511719	0.151367	932	167	1048	310	
Tab_EquipmentManager_04_downEquipped	0.519531	0.081543	0.576172	0.151367	1064	167	1180	310	
Tab_EquipmentManager_05_off	0.583984	0.081543	0.640625	0.151367	1196	167	1312	310	
Tab_EquipmentManager_05_over	0.648438	0.081543	0.705078	0.151367	1328	167	1444	310	
Tab_EquipmentManager_05_down	0.712891	0.081543	0.769531	0.151367	1460	167	1576	310	
Tab_EquipmentManager_05_offEquipped	0.777344	0.081543	0.833984	0.151367	1592	167	1708	310	
Tab_EquipmentManager_05_overEquipped	0.841797	0.081543	0.898438	0.151367	1724	167	1840	310	
Tab_EquipmentManager_05_downEquipped	0.906250	0.081543	0.962891	0.151367	1856	167	1972	310	
Tab_EquipmentManager_06_off	0.003906	0.159180	0.060547	0.229004	8	326	124	469	
Tab_EquipmentManager_06_over	0.068359	0.159180	0.125000	0.229004	140	326	256	469	
Tab_EquipmentManager_06_down	0.132813	0.159180	0.189453	0.229004	272	326	388	469	
Tab_EquipmentManager_06_offEquipped	0.197266	0.159180	0.253906	0.229004	404	326	520	469	
Tab_EquipmentManager_06_overEquipped	0.261719	0.159180	0.318359	0.229004	536	326	652	469	
Tab_EquipmentManager_06_downEquipped	0.326172	0.159180	0.382813	0.229004	668	326	784	469	
Tab_EquipmentManager_07_off	0.390625	0.159180	0.447266	0.229004	800	326	916	469	
Tab_EquipmentManager_07_over	0.455078	0.159180	0.511719	0.229004	932	326	1048	469	
Tab_EquipmentManager_07_down	0.519531	0.159180	0.576172	0.229004	1064	326	1180	469	
Tab_EquipmentManager_07_offEquipped	0.583984	0.159180	0.640625	0.229004	1196	326	1312	469	
Tab_EquipmentManager_07_overEquipped	0.648438	0.159180	0.705078	0.229004	1328	326	1444	469	
Tab_EquipmentManager_07_downEquipped	0.712891	0.159180	0.769531	0.229004	1460	326	1576	469	
Tab_EquipmentManager_08_off	0.777344	0.159180	0.833984	0.229004	1592	326	1708	469	
Tab_EquipmentManager_08_over	0.841797	0.159180	0.898438	0.229004	1724	326	1840	469	
Tab_EquipmentManager_08_down	0.906250	0.159180	0.962891	0.229004	1856	326	1972	469	
Tab_EquipmentManager_08_offEquipped	0.003906	0.236816	0.060547	0.306641	8	485	124	628	
Tab_EquipmentManager_08_overEquipped	0.068359	0.236816	0.125000	0.306641	140	485	256	628	
