Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
EquipmentManager_Base	0.003906	0.003906	0.291504	0.589844	8	8	597	1208	
EquipmentManager_Trim	0.250977	0.597656	0.474121	0.663086	514	1224	971	1358	
EquippedManager_InspectBackground	0.299316	0.003906	0.717285	0.371582	613	8	1469	761	
EquipmentManager_WarningGlow	0.481934	0.597656	0.534180	0.646484	987	1224	1094	1324	
equipmentManager_Input_top	0.299316	0.434082	0.717285	0.499023	613	889	1469	1022	
equipmentManager_Input_text	0.299316	0.506836	0.717285	0.587891	613	1038	1469	1204	
equipmentManager_Input_bottom	0.299316	0.379395	0.717285	0.426270	613	777	1469	873	
equipmentManager_ribbon	0.725098	0.434082	0.968262	0.482910	1485	889	1983	989	
equipmentManager_ribbon_over	0.725098	0.506836	0.968262	0.555664	1485	1038	1983	1138	
equipmentManager_equipped	0.725098	0.003906	0.955078	0.323242	1485	8	1956	662	
EquipmentManagerBase_TabPick	0.003906	0.597656	0.243164	0.982910	8	1224	498	2013	
EquipmentManagerTab_Highlight	0.250977	0.670898	0.307617	0.740723	514	1374	630	1517	
EquipmentManagerTab_equippedHighlight	0.315430	0.670898	0.372070	0.740723	646	1374	762	1517	
equipmentInspect_off	0.962891	0.082031	0.994141	0.113281	1972	168	2036	232	
equipmentInspect_over	0.962891	0.003906	0.994141	0.035156	1972	8	2036	72	
equipmentInspect_down	0.962891	0.042969	0.994141	0.074219	1972	88	2036	152	
