Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
FollowerBase_v2	0.293457	0.001953	0.581055	0.587891	601	4	1190	1204	
FollowerBase_v5_x1	0.001953	0.001953	0.289551	0.587891	4	4	593	1204	
FollowerXPBar_Empty	0.584961	0.145508	0.765625	0.148438	1198	298	1568	304	
FollowerXPBar_Full	0.769531	0.145508	0.950195	0.148438	1576	298	1946	304	
FollowerPadLock	0.866211	0.104004	0.897461	0.135254	1774	213	1838	277	
FollowerDividerLineGray	0.828125	0.001953	0.912109	0.002930	1696	4	1868	6	
FollowerMenuBtn_Normal	0.828125	0.070801	0.896484	0.100098	1696	145	1836	205	
FollowerMenuBtn_Mouseover	0.900391	0.006836	0.968750	0.036133	1844	14	1984	74	
FollowerMenuBtn_Pushed	0.828125	0.006836	0.896484	0.036133	1696	14	1836	74	
FollowerSwap_Tile_Bottom	0.584961	0.001953	0.824219	0.053223	1198	4	1688	109	
FollowerSwap_Tile_Middle	0.584961	0.057129	0.824219	0.066895	1198	117	1688	137	
FollowerSwap_Tile_Top	0.584961	0.070801	0.824219	0.141602	1198	145	1688	290	
SelectedSkillFrame00	0.828125	0.104004	0.862305	0.135254	1696	213	1766	277	
FollowerLevelUp_Btn_Mouseover	0.636719	0.152344	0.680176	0.196289	1304	312	1393	402	
FollowerLevelUp_Btn_Normal	0.684082	0.152344	0.727539	0.196289	1401	312	1490	402	
FollowerLevelUp_Btn_Pushed	0.584961	0.152344	0.632813	0.200195	1198	312	1296	410	
