Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
audio	0.876465	0.031250	0.891113	0.265625	1795	4	1825	34	
bullet	0.431641	0.031250	0.447266	0.281250	884	4	916	36	
bullet2	0.451172	0.031250	0.466797	0.281250	924	4	956	36	
bullet3	0.470703	0.031250	0.486328	0.281250	964	4	996	36	
enchanted	0.490234	0.031250	0.505859	0.281250	1004	4	1036	36	
bullet_powerextracted	0.509766	0.031250	0.525391	0.281250	1044	4	1076	36	
bullet_poweravailableforextract	0.529297	0.031250	0.544922	0.281250	1084	4	1116	36	
gold	0.568359	0.031250	0.583984	0.281250	1164	4	1196	36	
platinum	0.607422	0.031250	0.623047	0.281250	1244	4	1276	36	
lmb	0.646484	0.031250	0.662109	0.281250	1324	4	1356	36	
rmb	0.841797	0.031250	0.857422	0.281250	1724	4	1756	36	
arcane	0.705078	0.031250	0.720703	0.281250	1444	4	1476	36	
cold	0.763672	0.031250	0.779297	0.281250	1564	4	1596	36	
fire	0.822266	0.031250	0.837891	0.281250	1684	4	1716	36	
lightning	0.744141	0.031250	0.759766	0.281250	1524	4	1556	36	
poison	0.724609	0.031250	0.740234	0.281250	1484	4	1516	36	
physical	0.412109	0.031250	0.427734	0.281250	844	4	876	36	
temp	0.392578	0.031250	0.408203	0.281250	804	4	836	36	
DebugIcon	0.142578	0.031250	0.173828	0.531250	292	4	356	68	
status_available	0.272949	0.593750	0.280762	0.718750	559	76	575	92	
status_away	0.308105	0.593750	0.315918	0.718750	631	76	647	92	
status_busy	0.296387	0.593750	0.304199	0.718750	607	76	623	92	
status_offline	0.284668	0.593750	0.292480	0.718750	583	76	599	92	
bnet_broadcast	0.177734	0.593750	0.187988	0.757813	364	76	385	97	
bnet_note	0.986816	0.031250	0.997070	0.195313	2021	4	2042	25	
bnet	0.955566	0.031250	0.967285	0.218750	1957	4	1981	28	
sc2	0.162109	0.593750	0.173828	0.781250	332	76	356	100	
wow	0.099609	0.593750	0.111328	0.781250	204	76	228	100	
hearth	0.115234	0.593750	0.126953	0.781250	236	76	260	100	
ow	0.146484	0.593750	0.158203	0.781250	300	76	324	100	
hots	0.130859	0.593750	0.142578	0.781250	268	76	292	100	
d3	0.971191	0.031250	0.982910	0.218750	1989	4	2013	28	
PVP_token	0.685547	0.031250	0.701172	0.281250	1404	4	1436	36	
lifeGlobe	0.319824	0.593750	0.327637	0.718750	655	76	671	92	
check	0.347656	0.031250	0.366211	0.312500	712	4	750	40	
check_large	0.370117	0.031250	0.388672	0.312500	758	4	796	40	
hourglass	0.861328	0.031250	0.872559	0.273438	1764	4	1787	35	
legendarystar	0.783203	0.031250	0.798828	0.281250	1604	4	1636	36	
Marker_Set	0.802734	0.031250	0.818359	0.281250	1644	4	1676	36	
Marker_Guide_CombatElite	0.001953	0.031250	0.033203	0.531250	4	4	68	68	
Marker_Guide_TreasureGoblin	0.037109	0.031250	0.068359	0.531250	76	4	140	68	
Marker_NPC_CombatElite	0.072266	0.031250	0.103516	0.531250	148	4	212	68	
Marker_NPC_TreasureGoblin	0.107422	0.031250	0.138672	0.531250	220	4	284	68	
Seasonal	0.911621	0.031250	0.921387	0.234375	1867	4	1887	30	
NonSeasonal	0.895020	0.031250	0.907715	0.250000	1833	4	1859	32	
compare_heart	0.260254	0.593750	0.269043	0.734375	533	76	551	94	
compare_shield	0.331543	0.593750	0.338867	0.710938	679	76	694	91	
compare_sword	0.342773	0.593750	0.350098	0.710938	702	76	717	91	
x1_shard	0.666016	0.031250	0.681641	0.281250	1364	4	1396	36	
Console_ApprenticeWingRight	0.940430	0.031250	0.951660	0.226563	1926	4	1949	29	
Console_ApprenticeWingLeft	0.925293	0.031250	0.936523	0.226563	1895	4	1918	29	
Calendar	0.051758	0.593750	0.072266	0.921875	106	76	148	118	
BattleNetStore_CurrencyIcon	0.626953	0.031250	0.642578	0.281250	1284	4	1316	36	
BattleNetStore_CurrencyIconlg	0.210938	0.031250	0.239746	0.492188	432	4	491	63	
BattleNetStore_PTR_NecroCoin	0.587891	0.031250	0.603516	0.281250	1204	4	1236	36	
BattleNetStore_PTR_NecroCoinlg	0.177734	0.031250	0.207031	0.500000	364	4	424	64	
ChatLine_D3	0.191895	0.593750	0.201660	0.750000	393	76	413	96	
ChatLine_Hardcore	0.205566	0.593750	0.215332	0.750000	421	76	441	96	
ChatLine_Seasonal	0.219238	0.593750	0.229004	0.750000	449	76	469	96	
ChatLine_SeasonalHardcore	0.232910	0.593750	0.242676	0.750000	477	76	497	96	
ChatLine_Leaderboard	0.246582	0.593750	0.256348	0.750000	505	76	525	96	
XPBoost	0.548828	0.031250	0.564453	0.281250	1124	4	1156	36	
RightCurlArrow	0.272461	0.031250	0.296875	0.343750	558	4	608	44	
BloodshardUpgradeIcon	0.243652	0.031250	0.268555	0.476563	499	4	550	61	
SetDungeon_MasteryAlert_ForFontIcon	0.300781	0.031250	0.320313	0.328125	616	4	656	42	
SetDungeon_RedSetIcon	0.076172	0.593750	0.095703	0.906250	156	76	196	116	
RedExclaimationIcon	0.324219	0.031250	0.343750	0.328125	664	4	704	42	
BuffBarDot	0.001953	0.593750	0.022949	0.929688	4	76	47	119	
BuffBarDotFlipped	0.026855	0.593750	0.047852	0.929688	55	76	98	119	
